attack,model,metric,score,macro_f1,ci_low,ci_high,permutation_baseline,permutation_p_value,samples,chance,confusion_matrix,accept,feature_set,split
ACTION_TYPE_TIMING,LogisticRegression,TOP1,0.125,0.11721491228070174,0.03125,0.21875,0.253125,0.9800995024875622,32,0.25,"[[0, 3, 3, 2], [3, 2, 2, 1], [1, 3, 1, 3], [2, 3, 2, 1]]",False,SOCKET_TIMING_ALL,FROZEN_CONFIRMATORY
ACTION_TYPE_TIMING,RandomForest,TOP1,0.125,0.10277777777777777,0.0,0.25,0.24609375,0.9651741293532339,32,0.25,"[[1, 2, 3, 2], [3, 0, 2, 3], [4, 0, 3, 1], [2, 2, 4, 0]]",True,SOCKET_TIMING_ALL,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,LogisticRegression,TOP1,0.1875,0.16428571428571426,0.0625,0.34375,0.249375,0.8507462686567164,32,0.25,"[[0, 2, 3, 3], [2, 1, 4, 1], [2, 0, 4, 2], [2, 3, 2, 1]]",True,REQUEST_SLIP,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,RandomForest,TOP1,0.15625,0.15633484162895928,0.03125,0.3125,0.24453125,0.9054726368159204,32,0.25,"[[2, 3, 1, 2], [3, 0, 1, 4], [2, 2, 2, 2], [5, 1, 1, 1]]",True,REQUEST_SLIP,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,LogisticRegression,TOP1,0.125,0.12826939142728616,0.03125,0.28125,0.2475,0.9800995024875622,32,0.25,"[[1, 3, 1, 3], [1, 1, 4, 2], [1, 2, 1, 4], [2, 5, 0, 1]]",True,REQUEST_INGRESS,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,RandomForest,TOP1,0.15625,0.1626082251082251,0.0625,0.28125,0.2578125,0.9552238805970149,32,0.25,"[[1, 4, 2, 1], [1, 1, 4, 2], [3, 3, 2, 0], [1, 6, 0, 1]]",True,REQUEST_INGRESS,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,LogisticRegression,TOP1,0.15625,0.1530448717948718,0.03125,0.3125,0.2478125,0.9402985074626866,32,0.25,"[[1, 3, 2, 2], [2, 2, 3, 1], [1, 3, 1, 3], [1, 4, 2, 1]]",True,RESPONSE_SLIP,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,RandomForest,TOP1,0.15625,0.15416666666666667,0.03125,0.28125,0.2484375,0.9154228855721394,32,0.25,"[[2, 4, 0, 2], [2, 1, 4, 1], [2, 2, 2, 2], [2, 5, 1, 0]]",True,RESPONSE_SLIP,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,LogisticRegression,TOP1,0.25,0.25380216189039717,0.125,0.40625,0.24921875,0.5920398009950248,32,0.25,"[[2, 2, 2, 2], [2, 2, 4, 0], [3, 2, 2, 1], [1, 3, 2, 2]]",True,RESPONSE_EGRESS,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,RandomForest,TOP1,0.3125,0.3137254901960784,0.15625,0.46875,0.25046875,0.2835820895522388,32,0.25,"[[2, 2, 2, 2], [2, 2, 3, 1], [2, 2, 3, 1], [3, 1, 1, 3]]",False,RESPONSE_EGRESS,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,LogisticRegression,TOP1,0.28125,0.226010101010101,0.125,0.4375,0.25703125,0.38308457711442784,32,0.25,"[[2, 4, 1, 1], [2, 6, 0, 0], [2, 3, 1, 2], [4, 3, 1, 0]]",True,ROUND_TRIP,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,RandomForest,TOP1,0.28125,0.261032071376899,0.125,0.4375,0.25125,0.40298507462686567,32,0.25,"[[5, 2, 0, 1], [4, 1, 1, 2], [5, 0, 2, 1], [7, 0, 0, 1]]",True,ROUND_TRIP,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,LogisticRegression,TOP1,0.125,0.11329334365325078,0.030468750000000017,0.28125,0.25296875,0.9751243781094527,32,0.25,"[[1, 3, 2, 2], [2, 1, 4, 1], [4, 1, 2, 1], [1, 4, 3, 0]]",True,INTER_REQUEST,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,RandomForest,TOP1,0.09375,0.08888888888888888,0.0,0.1875,0.25,1.0,32,0.25,"[[0, 3, 1, 4], [2, 1, 2, 3], [3, 2, 2, 1], [2, 1, 5, 0]]",False,INTER_REQUEST,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,LogisticRegression,TOP1,0.21875,0.21697461035696333,0.09375,0.3445312500000002,0.25328125,0.7562189054726368,32,0.25,"[[3, 1, 2, 2], [0, 2, 6, 0], [2, 3, 1, 2], [4, 2, 1, 1]]",True,INTER_RESPONSE,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,RandomForest,TOP1,0.21875,0.19597069597069597,0.09375,0.34375,0.250625,0.7562189054726368,32,0.25,"[[4, 2, 1, 1], [4, 1, 2, 1], [4, 2, 1, 1], [6, 1, 0, 1]]",True,INTER_RESPONSE,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,LogisticRegression,TOP1,0.0625,0.06203007518796992,0.0,0.15625,0.25203125,1.0,32,0.25,"[[0, 1, 5, 2], [4, 0, 3, 1], [4, 1, 1, 2], [2, 3, 2, 1]]",False,SESSION_RELATIVE,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,RandomForest,TOP1,0.25,0.24299719887955185,0.09296875000000002,0.40625,0.2521875,0.572139303482587,32,0.25,"[[3, 1, 1, 3], [2, 2, 2, 2], [1, 2, 3, 2], [4, 1, 3, 0]]",True,SESSION_RELATIVE,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,LogisticRegression,TOP1,0.1875,0.135,0.0625,0.34375,0.249375,0.8756218905472637,32,0.25,"[[3, 1, 0, 4], [5, 0, 1, 2], [4, 1, 0, 3], [5, 0, 0, 3]]",True,ABSOLUTE_PHASE,FROZEN_CONFIRMATORY
ACTION_TYPE_ABLATION,RandomForest,TOP1,0.28125,0.28095238095238095,0.125,0.4375,0.24953125,0.42786069651741293,32,0.25,"[[2, 2, 1, 3], [6, 2, 0, 0], [4, 0, 4, 0], [1, 3, 3, 1]]",True,ABSOLUTE_PHASE,FROZEN_CONFIRMATORY
