operation_id,selected_agent_id,descriptor_authenticated_from_real_pir,descriptor_schema,catalog_epoch,action_kind,private_route_handle,effect_semantics,provider_calls,result_round,delivery_ledger_state,lifecycle_stages,all_required_stages,framework_delivered,pass
functional-100-0006,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,5,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0013,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,4,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0020,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,6,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0027,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,7,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0034,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,9,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0041,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,8,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0048,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,10,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0055,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,11,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0062,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,12,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0069,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,13,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0076,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,14,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0083,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,15,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0090,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,16,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
functional-100-0097,13,True,AgentDescriptorV7/7,20260829,REAL_AGENT_SERVICE,route-agent-13,NON_IDEMPOTENT_EFFECT,1,17,FRAMEWORK_DELIVERED,ACCEPTED|CLIENT_BHTTP_DECODED|GATEWAY_DELIVERY_ACK_DURABLE|PROVIDER_CALL_BEGIN|PROVIDER_STARTED_DURABLE|READY_PUBLISHED|RESULT_COMMITTED,True,True,True
