semantics,crash_point,expected,observed,status,pass
READ_ONLY,BEFORE_PROVIDER_START,EXECUTE,EXECUTE,RECOVERED,True
READ_ONLY,AFTER_DURABLE_PROVIDER_START_BEFORE_CALL,EXECUTE,EXECUTE,RECOVERED,True
READ_ONLY,AFTER_PROVIDER_CALL_BEGINS,EXECUTE,EXECUTE,RECOVERED,True
READ_ONLY,AFTER_PROVIDER_RESULT_BEFORE_DURABLE_COMMIT,EXECUTE,EXECUTE,RECOVERED,True
READ_ONLY,AFTER_DURABLE_RESULT_COMMIT_BEFORE_PUBLICATION,RETURN_COMMITTED_RESULT,RETURN_COMMITTED_RESULT,RECOVERED,True
READ_ONLY,AFTER_PUBLICATION_BEFORE_PUBLIC_RESPONSE,RETURN_COMMITTED_RESULT,RETURN_COMMITTED_RESULT+READY_REPLAYABLE,RECOVERED,True
READ_ONLY,AFTER_PUBLIC_RESPONSE_SEND_BEFORE_GATEWAY_ACK,RETURN_COMMITTED_RESULT,RETURN_COMMITTED_RESULT+READY_REPLAYABLE,RECOVERED,True
IDEMPOTENT_EFFECT,BEFORE_PROVIDER_START,EXECUTE,EXECUTE,RECOVERED,True
IDEMPOTENT_EFFECT,AFTER_DURABLE_PROVIDER_START_BEFORE_CALL,EXECUTE,EXECUTE,RECOVERED,True
IDEMPOTENT_EFFECT,AFTER_PROVIDER_CALL_BEGINS,EXECUTE,EXECUTE,RECOVERED,True
IDEMPOTENT_EFFECT,AFTER_PROVIDER_RESULT_BEFORE_DURABLE_COMMIT,EXECUTE,EXECUTE,RECOVERED,True
IDEMPOTENT_EFFECT,AFTER_DURABLE_RESULT_COMMIT_BEFORE_PUBLICATION,RETURN_COMMITTED_RESULT,RETURN_COMMITTED_RESULT,RECOVERED,True
IDEMPOTENT_EFFECT,AFTER_PUBLICATION_BEFORE_PUBLIC_RESPONSE,RETURN_COMMITTED_RESULT,RETURN_COMMITTED_RESULT+READY_REPLAYABLE,RECOVERED,True
IDEMPOTENT_EFFECT,AFTER_PUBLIC_RESPONSE_SEND_BEFORE_GATEWAY_ACK,RETURN_COMMITTED_RESULT,RETURN_COMMITTED_RESULT+READY_REPLAYABLE,RECOVERED,True
NON_IDEMPOTENT_EFFECT,BEFORE_PROVIDER_START,EXECUTE,EXECUTE,RECOVERED,True
NON_IDEMPOTENT_EFFECT,AFTER_DURABLE_PROVIDER_START_BEFORE_CALL,EFFECT_OUTCOME_UNKNOWN,EFFECT_OUTCOME_UNKNOWN,RECOVERED,True
NON_IDEMPOTENT_EFFECT,AFTER_PROVIDER_CALL_BEGINS,EFFECT_OUTCOME_UNKNOWN,EFFECT_OUTCOME_UNKNOWN,RECOVERED,True
NON_IDEMPOTENT_EFFECT,AFTER_PROVIDER_RESULT_BEFORE_DURABLE_COMMIT,EFFECT_OUTCOME_UNKNOWN,EFFECT_OUTCOME_UNKNOWN,RECOVERED,True
NON_IDEMPOTENT_EFFECT,AFTER_DURABLE_RESULT_COMMIT_BEFORE_PUBLICATION,RETURN_COMMITTED_RESULT,RETURN_COMMITTED_RESULT,RECOVERED,True
NON_IDEMPOTENT_EFFECT,AFTER_PUBLICATION_BEFORE_PUBLIC_RESPONSE,RETURN_COMMITTED_RESULT,RETURN_COMMITTED_RESULT+READY_REPLAYABLE,RECOVERED,True
NON_IDEMPOTENT_EFFECT,AFTER_PUBLIC_RESPONSE_SEND_BEFORE_GATEWAY_ACK,RETURN_COMMITTED_RESULT,RETURN_COMMITTED_RESULT+READY_REPLAYABLE,RECOVERED,True
ALL,EXACT_GATEWAY_RESULT_REPLAY_AFTER_DURABLE_DELIVERY,SUPPRESS_ALREADY_DELIVERED,SUPPRESS_ALREADY_DELIVERED,PASS,True
ALL,AFTER_CLIENT_DECAPSULATION_BEFORE_FRAMEWORK_CALLBACK,DELIVER_AFTER_RESTART,DELIVER,PASS,True
ALL,AFTER_FRAMEWORK_CALLBACK_BEFORE_DURABLE_DELIVERED_STATE,CALLBACK_AMBIGUITY_EXPLICIT,DELIVER,PARTIAL,True
