framework,pinned_commit,relative_path,line,behavior_kind,detail,disposition,reason
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,12,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,12,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,12,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,18,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,18,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,18,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,24,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,24,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,24,termination,Agent,COMPILED,bounded RETURN is in the control IR
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,30,instructions,Agent,COMPILED,static instruction handle when literal; callable form is recorded separately
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,30,llm,Agent,SHARED_PRIMITIVE,model work remains a common heavy primitive
