framework,pinned_commit,relative_path,bytes,discovered_materialized_python_file,included_ir_v1,inclusion_rule,exclusion_reason
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/implementation-final-review/scripts/review_protocol.py,61729,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/implementation-final-review/scripts/review_state.py,25165,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/implementation-final-review/scripts/test_review_protocol.py,79279,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/implementation-final-review/scripts/test_review_state.py,33829,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/implementation-final-review/scripts/test_skill_contract.py,32178,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/implementation-kickoff/scripts/test_validate_handoff.py,11078,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/implementation-kickoff/scripts/validate_handoff.py,10326,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/release-candidate-prep/scripts/prepare.py,21508,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/release-candidate-prep/scripts/test_prepare.py,25978,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/runtime-behavior-probe/templates/python_probe.py,6772,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/sensitive-logging-audit/scripts/inventory_logging.py,11946,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.agents/skills/sensitive-logging-audit/scripts/test_inventory.py,5669,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.github/scripts/check_optional_truthiness.py,18833,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.github/scripts/run_integration_tests.py,26899,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.github/scripts/run_serial_tests.py,1346,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.github/scripts/select-release-milestone.py,5927,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.github/scripts/update_rclone_pin.py,14502,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,.github/scripts/update_released_api_contract.py,4570,YES,NO,EXCLUDED,OUTSIDE_FROZEN_IR_V1_CORPUS_ROOT
