framework,pinned_commit,relative_path,bytes,parse_error,agent_constructors,workflow_instances,tool_instances,handoff_edges,conditional_edges,loops,fanout_fanin,agents_as_tools,dynamic_instructions,guardrails,state_memory,hitl_resume,middleware,mcp_tool_invocation,nested_subagent_patterns
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/__init__.py,259,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,2725,,5,0,3,0,1,0,0,6,0,0,0,0,0,0,6
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,6001,,4,0,6,0,7,3,1,6,0,0,3,4,0,0,6
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_streaming.py,2230,,2,0,4,0,1,0,0,1,0,0,0,0,0,0,1
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_structured.py,1976,,2,0,1,0,1,0,0,2,0,0,0,0,0,0,2
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/deterministic.py,2622,,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/forcing_tool_use.py,3609,,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/hosted_multi_agent_beta.py,3222,,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,4010,,1,0,5,0,2,2,0,0,0,0,5,3,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_custom_rejection.py,3790,,1,0,3,0,2,2,0,0,0,0,3,3,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,3531,,1,0,5,0,2,2,0,0,0,0,3,3,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/input_guardrails.py,3755,,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/llm_as_a_judge.py,2866,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/output_guardrails.py,2379,,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/parallelization.py,1696,,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/routing.py,2502,,4,0,0,3,1,1,0,0,0,0,0,0,0,0,3
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/streaming_guardrails.py,3305,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/auto_mode.py,1208,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/agent_lifecycle_example.py,4445,,2,0,4,1,1,0,0,0,0,0,0,0,0,0,1
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/dynamic_system_prompt.py,1668,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/hello_world.py,424,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/hello_world_gpt_5.py,1072,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/hello_world_gpt_oss.py,1255,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/image_tool_output.py,1023,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/lifecycle_example.py,7578,,2,0,4,1,1,0,0,0,0,0,0,0,0,0,1
