profile,cache_hit_probability,real_queries,dummy_queries,total_public_queries,expected_pir_latency_ms,expected_bytes,cache_hit_leakage
STRICT,0.0,1.0,0.0,1,52.24,73568,NONE_BY_SCHEDULE
ENTERPRISE_EFFICIENT,0.0,1.0,0,1.0,52.24,73568,DECLARED
STRICT,0.25,0.75,0.25,1,52.24,73568,NONE_BY_SCHEDULE
ENTERPRISE_EFFICIENT,0.25,0.75,0,0.75,39.18,55176,DECLARED
STRICT,0.5,0.5,0.5,1,52.24,73568,NONE_BY_SCHEDULE
ENTERPRISE_EFFICIENT,0.5,0.5,0,0.5,26.12,36784,DECLARED
STRICT,0.75,0.25,0.75,1,52.24,73568,NONE_BY_SCHEDULE
ENTERPRISE_EFFICIENT,0.75,0.25,0,0.25,13.06,18392,DECLARED
STRICT,0.9,0.09999999999999998,0.9,1,52.24,73568,NONE_BY_SCHEDULE
ENTERPRISE_EFFICIENT,0.9,0.09999999999999998,0,0.09999999999999998,5.223999999999999,7357,DECLARED
STRICT,1.0,0.0,1.0,1,52.24,73568,NONE_BY_SCHEDULE
ENTERPRISE_EFFICIENT,1.0,0.0,0,0.0,0.0,0,DECLARED
