case,status,evidence,test_log
read-only action,PASS,TestJournalReadOnlyCanRetrySameOperationIDAfterCrash,results_v6/gateway_effect_tests_v2.txt
idempotent effect,PASS_WITH_PROVIDER_CONTRACT,TestJournalIdempotentEffectCanRetrySameOperationIDAfterCrash,results_v6/gateway_effect_tests_v2.txt
non-idempotent effect,PARTIAL_FAIL_CLOSED_AMBIGUOUS,TestJournalFailedNonIdempotentCallRequiresReconciliation,results_v6/gateway_effect_tests_v2.txt
timeout before effect,PASS,TestProviderTimeoutBeforeEffectRecordsNoEffect,results_v6/gateway_effect_tests_v2.txt
timeout after effect,PARTIAL_AMBIGUOUS,TestProviderTimeoutAfterEffectIsExplicitlyAmbiguous,results_v6/gateway_effect_tests_v2.txt
provider error,PASS_PRIVATE_ERROR,TestProviderErrorAndConnectionInterruptionMapToPrivateError,results_v6/gateway_effect_tests_v2.txt
result after originating session,PASS_UNIT,TestLateResultContinuesInNextPublicSession,results_v6/gateway_effect_tests_v2.txt
result after public cutoff,PASS_UNIT,TestLateResultContinuesInNextPublicSession,results_v6/gateway_effect_tests_v2.txt
duplicate operation ID,PASS,TestProviderDuplicateOperationIDCanReturnCachedResultExactlyOnce,results_v6/gateway_effect_tests_v2.txt
Worker restart,PASS_JOURNAL_REOPEN,TestJournalCrashAfterCommitReturnsDurableResultWithoutEffectReplay,results_v6/gateway_effect_tests_v2.txt
Gateway restart,OPEN,NO_DURABLE_TRANSPORT_SESSION_RECOVERY_TEST,results_v6/gateway_effect_tests_v2.txt
result-ring saturation,PASS_FAIL_CLOSED_NO_OVERWRITE,TestResultRingSaturationFailsClosedWithoutOverwrite,results_v6/gateway_effect_tests_v2.txt
