case_id,framework,action_family,agent_service_subtype,argument_schema,effect_semantics,outcome_class,native_canonical_projection_equal,native_framework_action_reached,canonical_framework_action_reached,canonical_result,effect_count,dummy_heavy_ops,profile_overflow_events,official_simplepir,rfc9292_rfc9458,development_only
matrix-openai-schema-0,OpenAI Agents SDK,TOOL,,ONE_STR,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:f730f5ac86c876c62e555bc9,0,0,0,True,True,True
matrix-openai-schema-1,OpenAI Agents SDK,TOOL,,ONE_INT,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:aacc551913047a37512fcfe5,0,0,0,True,True,True
matrix-openai-schema-2,OpenAI Agents SDK,TOOL,,ONE_BOOL,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:66f400d5eafe91c56dc2fa53,0,0,0,True,True,True
matrix-openai-schema-3,OpenAI Agents SDK,TOOL,,OPTIONAL_PRIMITIVE,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:6a9885c012d9e33cc0a125ae,0,0,0,True,True,True
matrix-openai-schema-4,OpenAI Agents SDK,TOOL,,TWO_PRIMITIVES,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:c9fb68dc0747cf4357287e6f,0,0,0,True,True,True
matrix-openai-schema-5,OpenAI Agents SDK,TOOL,,THREE_PRIMITIVES,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:b3ee851554621d362d488841,0,0,0,True,True,True
matrix-openai-schema-6,OpenAI Agents SDK,TOOL,,BOUNDED_OBJECT,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:478519faf9f80027d41220b3,0,0,0,True,True,True
matrix-microsoft-schema-0,Microsoft Agent Framework,TOOL,,ONE_STR,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:665e88607620563a97ac4cbd,0,0,0,True,True,True
matrix-microsoft-schema-1,Microsoft Agent Framework,TOOL,,ONE_INT,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:62ddb4ea220b1857741f6f5e,0,0,0,True,True,True
matrix-microsoft-schema-2,Microsoft Agent Framework,TOOL,,ONE_BOOL,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:ee6a90f8155ff6f22b768ecc,0,0,0,True,True,True
matrix-microsoft-schema-3,Microsoft Agent Framework,TOOL,,OPTIONAL_PRIMITIVE,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:4323ca47f1daaefaade9e348,0,0,0,True,True,True
matrix-microsoft-schema-4,Microsoft Agent Framework,TOOL,,TWO_PRIMITIVES,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:fc666acf1d3f37aee8ed2b52,0,0,0,True,True,True
matrix-microsoft-schema-5,Microsoft Agent Framework,TOOL,,THREE_PRIMITIVES,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:c994817934b4d67dddd649dc,0,0,0,True,True,True
matrix-microsoft-schema-6,Microsoft Agent Framework,TOOL,,BOUNDED_OBJECT,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:3caa931eb6952bea8f5fbe98,0,0,0,True,True,True
matrix-openai-agent-as-tool,OpenAI Agents SDK,AGENT_SERVICE,AGENT_AS_TOOL,AGENT_TASK,READ_ONLY,SUCCESS,True,True,True,V11_RESULT:90c0683ccaa5c64d04d2906f,0,0,0,True,True,True
