gate,required_artifact,backend,current_status,canonical_claim_allowed,evidence_or_blocker
library_provenance,pinned_source_version_hash_license,RFC9458_OHTTP,NOT_IMPLEMENTED_OFFLINE,False,OHTTP_LIBRARY_SELECTION_V7.md
rfc_conformance,Appendix_A_and_RFC9292_roundtrip,RFC9458_OHTTP,NOT_TESTED,False,OHTTP_RFC9458_CONFORMANCE_V7.md
agent_tool_route_separation,authorization_and_route_tests,V7_TRUSTED_ROUTER,PASS,True,tests/test_v7_ohttp_architecture.py
opaque_relay,exact_RFC_bytes_and_public_only_log,OHTTP_RELAY_CONTRACT,PARTIAL,False,common_action_gateway_v2/v7ohttp/v7ohttp_test.go
functional_1_10_50_100,N_of_N_actual_OHTTP,RFC9458_OHTTP,NOT_RUN,False,OHTTP_FUNCTIONAL_RESULTS_V7.csv
result_reliability,durable_queue_journal_admission,LEGACY_DEV_TRANSPORT,161_OF_161_PRE_OHTTP,True,results_v7/functional_gate/functional_gate.csv
strict_structural,actual_OHTTP_relay_traces,RFC9458_OHTTP,OPEN,False,OHTTP_STRUCTURAL_SIZE_RESULTS_V7.csv
strict_size,final_encapsulated_lengths,RFC9458_OHTTP,OPEN,False,OHTTP_STRUCTURAL_SIZE_RESULTS_V7.csv
long_horizon,actual_OHTTP_multi_slot_traces,RFC9458_OHTTP,OPEN,False,OHTTP_STRUCTURAL_SIZE_RESULTS_V7.csv
timing,observer_boundary_confirmation,OHTTP_PLUS_PACER,NOT_TESTED,False,TIMING_GAP_OHTTP_PACER_V7.md
packet_timing,lower_layer_enforcement,OHTTP_PLUS_PACER,OPEN,False,TIMING_GAP_OHTTP_PACER_V7.md
