panel,attack,condition,metric,value,chance,ci95_low,ci95_high,p_value,sample_count,evidence_scope
access,Same-Agent linking,Unprotected visible-AgentID control,AUC,1.0,0.5,1.0,1.0,0.00009999,800,CURRENT_V15E_POSITIVE_CONTROL
access,Same-Agent linking,OAE,AUC,0.486525,0.5,0.446330168241386,0.526100862490875,0.7383261673832616,800,CURRENT_V15E_COMPLETE_CAPTURE_ALL
access,Cross-session same-slot linking,Unprotected visible-AgentID control,AUC,1.0,0.5,1.0,1.0,0.00009999,1574,CURRENT_V15E_POSITIVE_CONTROL
access,Cross-session same-slot linking,OAE,AUC,0.5187957421181881,0.5,0.4900823412577719,0.5472720011132917,0.10088991100889912,1574,CURRENT_V15E_COMPLETE_CAPTURE_ALL
access,Cross-session cross-slot linking,Unprotected visible-AgentID control,AUC,1.0,0.5,1.0,1.0,0.00009999,1558,CURRENT_V15E_POSITIVE_CONTROL
access,Cross-session cross-slot linking,OAE,AUC,0.47209647996756976,0.5,0.44351626671424627,0.5009589395204164,0.9712028797120288,1558,CURRENT_V15E_COMPLETE_CAPTURE_ALL
sequence,Four-class ordering/recurrence,Unprotected visible-AgentID-sequence control,Accuracy,1.0,0.25,1.0,1.0,0.00009999,800,CURRENT_V15E_POSITIVE_CONTROL
sequence,Four-class ordering/recurrence,OAE,Accuracy,0.25625,0.25,0.22625,0.28625,0.35296470352964704,800,CURRENT_V15E_COMPLETE_CAPTURE_ALL
sequence,Rare insertion AAA vs AAB,Unprotected visible-AgentID-sequence control,AUC,1.0,0.5,1.0,1.0,0.00009999,400,CURRENT_V15E_POSITIVE_CONTROL
sequence,Rare insertion AAA vs AAB,OAE,AUC,0.5246000000000001,0.5,0.467086495853766,0.5817104225444188,0.20107989201079893,400,CURRENT_V15E_COMPLETE_CAPTURE_ALL
sequence,Recurrence AAA vs ABC,Unprotected visible-AgentID-sequence control,AUC,1.0,0.5,1.0,1.0,0.00009999,400,CURRENT_V15E_POSITIVE_CONTROL
sequence,Recurrence AAA vs ABC,OAE,AUC,0.46345000000000003,0.5,0.40715140018216334,0.5210662005294208,0.8919108089191081,400,CURRENT_V15E_COMPLETE_CAPTURE_ALL
sequence,Return pattern ABA vs ABC,Unprotected visible-AgentID-sequence control,AUC,1.0,0.5,1.0,1.0,0.00009999,400,CURRENT_V15E_POSITIVE_CONTROL
sequence,Return pattern ABA vs ABC,OAE,AUC,0.55125,0.5,0.4946418091540688,0.6077870086516137,0.038896110388961104,400,CURRENT_V15E_COMPLETE_CAPTURE_ALL_RESIDUAL
structural,Four-class execution trajectory,Unnormalized positive control,Accuracy,1.0,0.25,1.0,1.0,,800,MATCHED_UNNORMALIZED_COMPONENT_CONTROL
structural,Four-class execution trajectory,OAE,Accuracy,0.2125,0.25,0.15,0.275,,800,EXACT_FINAL_COMPONENT_COMPOSITION
timing,Deployed vs unprovisioned vs idle,OAE application timing,Accuracy,0.6633333333333333,0.3333333333333333,0.61,0.7166666666666667,0.00009999,300,PRESERVED_FINAL_PIPELINE_V15D_RESIDUAL
timing,Tool vs Agent-as-Tool / OpenAI Agents SDK,One-sided positive control,AUC,0.980763888888889,0.5,0.9681232638888889,0.9909739583333333,,80,HISTORICAL_MATCHED_COMPONENT_CONTROL
timing,Tool vs Agent-as-Tool / OpenAI Agents SDK,OAE,AUC,0.6225,0.5,0.44,0.7875,0.09129,40,FRESH_FINAL_PROTECTED
timing,Tool vs Agent-as-Tool / Microsoft Agent Framework,One-sided positive control,AUC,0.9693055555555555,0.5,0.9468055555555556,0.9875694444444445,,80,HISTORICAL_MATCHED_COMPONENT_CONTROL
timing,Tool vs Agent-as-Tool / Microsoft Agent Framework,OAE,AUC,0.645,0.5,0.465,0.8175,0.06119,40,FRESH_FINAL_PROTECTED_RESIDUAL
timing,Provider readiness / OpenAI Agents SDK,One-sided positive control,AUC,0.9779861111111111,0.5,0.9579166666666666,0.9930555555555556,,80,HISTORICAL_MATCHED_COMPONENT_CONTROL
timing,Provider readiness / OpenAI Agents SDK,OAE,AUC,0.4425,0.5,0.2525,0.63,0.7246,40,FRESH_FINAL_PROTECTED
timing,Provider readiness / Microsoft Agent Framework,One-sided positive control,AUC,0.9902777777777778,0.5,0.9809027777777778,0.9969444444444444,,80,HISTORICAL_MATCHED_COMPONENT_CONTROL
timing,Provider readiness / Microsoft Agent Framework,OAE,AUC,0.55625,0.5,0.36625,0.73878125,0.28,40,FRESH_FINAL_PROTECTED
