framework,workload,configuration,measured_executions,successes,failures,task_latency_p50_ms,task_latency_p95_ms,task_latency_mean_ms,task_latency_stdev_ms,retries,scope,oae_workload,oae_measured_executions,oae_successes,oae_failures,oae_task_latency_p50_ms,oae_task_latency_p95_ms,additive_p50_overhead_ms,p50_slowdown_ratio
OpenAI Agents SDK,PROVISIONED_ORDINARY,NATIVE,10,10,0,1.634663,1.7526841499999999,1.6538028,0.06456772493161304,0,CURRENT_FINAL_WORKLOAD_NATIVE_SEMANTIC_BASELINE,PROVISIONED_ORDINARY,20,20,0,1177.1701865,1280.1666247500011,1175.5355235,720.1301959486451
OpenAI Agents SDK,UNPROVISIONED_ORDINARY,NATIVE,10,10,0,1.6454355,1.7122426499999999,1.6483917000000001,0.042617335685141075,0,CURRENT_FINAL_WORKLOAD_NATIVE_SEMANTIC_BASELINE,UNPROVISIONED_ORDINARY,20,20,0,7292.6042720000005,7502.8861316,7290.958836500001,4432.020745875484
OpenAI Agents SDK,NESTED_AGENT_AS_TOOL,NATIVE,10,10,0,5.291356,5.86535945,5.4136310000000005,0.283094112176695,0,CURRENT_FINAL_WORKLOAD_NATIVE_SEMANTIC_BASELINE,PROVISIONED_NESTED_AGENT_AS_TOOL,20,20,0,1184.3627305,1205.0714166,1179.0713745,223.82971973535703
OpenAI Agents SDK,REPEATED_AGENT,NATIVE,10,10,0,4.859616,12.463866399999986,6.2362796000000005,4.363663171454415,0,CURRENT_FINAL_WORKLOAD_NATIVE_SEMANTIC_BASELINE,REPEATED_AGENT,20,20,0,1171.6699255,1204.5622958000001,1166.8103095000001,241.10339695564426
OpenAI Agents SDK,MIXED_AGENT_LLM_TOOL,NATIVE,10,10,0,6.9157095,7.152048749999999,6.9378936,0.14450180117078112,0,CURRENT_FINAL_WORKLOAD_NATIVE_SEMANTIC_BASELINE,MIXED_AGENT_LLM_TOOL,20,20,0,7290.002743999999,7990.0021691,7283.087034499999,1054.1221756061325
Microsoft Agent Framework,PROVISIONED_ORDINARY,NATIVE,10,10,0,0.44896199999999997,0.5285549,0.4522991,0.0715574241515939,0,CURRENT_FINAL_WORKLOAD_NATIVE_SEMANTIC_BASELINE,PROVISIONED_ORDINARY,20,20,0,1168.2600655,1185.9269188,1167.8111035000002,2602.135738659397
Microsoft Agent Framework,UNPROVISIONED_ORDINARY,NATIVE,10,10,0,0.4172055,0.4252184,0.4169978,0.006140218577361699,0,CURRENT_FINAL_WORKLOAD_NATIVE_SEMANTIC_BASELINE,UNPROVISIONED_ORDINARY,20,20,0,7287.491754,7316.01561305,7287.0745485,17467.391379068587
Microsoft Agent Framework,NESTED_AGENT_AS_TOOL,NATIVE,10,10,0,1.275877,1.30280955,1.2694751,0.025114498311400398,0,CURRENT_FINAL_WORKLOAD_NATIVE_SEMANTIC_BASELINE,PROVISIONED_NESTED_AGENT_AS_TOOL,20,20,0,1176.041624,1206.9224157,1174.765747,921.7515669613921
Microsoft Agent Framework,REPEATED_AGENT,NATIVE,10,10,0,1.1838955,1.201832,1.1796847,0.019168449372456924,0,CURRENT_FINAL_WORKLOAD_NATIVE_SEMANTIC_BASELINE,REPEATED_AGENT,20,20,0,1171.154531,1190.7271503999998,1169.9706354999998,989.2380966056547
Microsoft Agent Framework,MIXED_AGENT_LLM_TOOL,NATIVE,10,10,0,1.7203694999999999,1.7939728499999998,1.7128742,0.07643035345521362,0,CURRENT_FINAL_WORKLOAD_NATIVE_SEMANTIC_BASELINE,MIXED_AGENT_LLM_TOOL,20,20,0,7263.5266425,7621.020010100001,7261.806273,4222.073596689549
