run_id,framework,workload,configuration,repetition,execution_order,start_monotonic_ns,semantic_completion_monotonic_ns,task_latency_ms,semantic_success,failure_category,expected_result_count,observed_result_count,real_agent_executions,framework_model_invocations,framework_agent_as_tool_invocations,apsi_operations,simplepir_operations,gateway_public_sessions,cover_schedule_slots,retry_count
V15E-NATIVE-001,OpenAI Agents SDK,PROVISIONED_ORDINARY,NATIVE,1,1,25370407239328461,25370407241163042,1.834581,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-002,OpenAI Agents SDK,UNPROVISIONED_ORDINARY,NATIVE,1,2,25370407241186432,25370407242813802,1.62737,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-003,OpenAI Agents SDK,NESTED_AGENT_AS_TOOL,NATIVE,1,3,25370407242831074,25370407248229452,5.398378,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-004,OpenAI Agents SDK,REPEATED_AGENT,NATIVE,1,4,25370407248248587,25370407253125453,4.876866,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-005,OpenAI Agents SDK,MIXED_AGENT_LLM_TOOL,NATIVE,1,5,25370407253143327,25370407260018343,6.875016,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-006,Microsoft Agent Framework,PROVISIONED_ORDINARY,NATIVE,1,6,25370407260037786,25370407260554678,0.516892,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-007,Microsoft Agent Framework,UNPROVISIONED_ORDINARY,NATIVE,1,7,25370407260568528,25370407260987539,0.419011,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-008,Microsoft Agent Framework,NESTED_AGENT_AS_TOOL,NATIVE,1,8,25370407260998745,25370407262278516,1.279771,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-009,Microsoft Agent Framework,REPEATED_AGENT,NATIVE,1,9,25370407262293045,25370407263484331,1.191286,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-010,Microsoft Agent Framework,MIXED_AGENT_LLM_TOOL,NATIVE,1,10,25370407263495914,25370407265266654,1.77074,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-011,Microsoft Agent Framework,MIXED_AGENT_LLM_TOOL,NATIVE,2,1,25370407265286470,25370407266952951,1.666481,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-012,Microsoft Agent Framework,REPEATED_AGENT,NATIVE,2,2,25370407266968128,25370407268156667,1.188539,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-013,Microsoft Agent Framework,NESTED_AGENT_AS_TOOL,NATIVE,2,3,25370407268168916,25370407269408991,1.240075,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-014,Microsoft Agent Framework,UNPROVISIONED_ORDINARY,NATIVE,2,4,25370407269424187,25370407269850840,0.426653,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-015,Microsoft Agent Framework,PROVISIONED_ORDINARY,NATIVE,2,5,25370407269862310,25370407270246281,0.383971,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-016,OpenAI Agents SDK,MIXED_AGENT_LLM_TOOL,NATIVE,2,6,25370407270256722,25370407277244735,6.988013,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-017,OpenAI Agents SDK,REPEATED_AGENT,NATIVE,2,7,25370407277264174,25370407282133861,4.869687,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-018,OpenAI Agents SDK,NESTED_AGENT_AS_TOOL,NATIVE,2,8,25370407282151890,25370407287443482,5.291592,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-019,OpenAI Agents SDK,UNPROVISIONED_ORDINARY,NATIVE,2,9,25370407287463647,25370407289202990,1.739343,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-020,OpenAI Agents SDK,PROVISIONED_ORDINARY,NATIVE,2,10,25370407289220922,25370407290866674,1.645752,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-021,OpenAI Agents SDK,PROVISIONED_ORDINARY,NATIVE,3,1,25370407290885681,25370407292513566,1.627885,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-022,OpenAI Agents SDK,UNPROVISIONED_ORDINARY,NATIVE,3,2,25370407292529184,25370407294162923,1.633739,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-023,OpenAI Agents SDK,NESTED_AGENT_AS_TOOL,NATIVE,3,3,25370407294178052,25370407299435756,5.257704,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-024,OpenAI Agents SDK,REPEATED_AGENT,NATIVE,3,4,25370407299455010,25370407304304555,4.849545,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-025,OpenAI Agents SDK,MIXED_AGENT_LLM_TOOL,NATIVE,3,5,25370407304322616,25370407311195146,6.87253,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-026,Microsoft Agent Framework,PROVISIONED_ORDINARY,NATIVE,3,6,25370407311214702,25370407311732070,0.517368,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-027,Microsoft Agent Framework,UNPROVISIONED_ORDINARY,NATIVE,3,7,25370407311744916,25370407312160316,0.4154,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-028,Microsoft Agent Framework,NESTED_AGENT_AS_TOOL,NATIVE,3,8,25370407312172178,25370407313477085,1.304907,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-029,Microsoft Agent Framework,REPEATED_AGENT,NATIVE,3,9,25370407313492203,25370407314688887,1.196684,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-030,Microsoft Agent Framework,MIXED_AGENT_LLM_TOOL,NATIVE,3,10,25370407314700617,25370407316472059,1.771442,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-031,Microsoft Agent Framework,MIXED_AGENT_LLM_TOOL,NATIVE,4,1,25370407316491097,25370407318161096,1.669999,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-032,Microsoft Agent Framework,REPEATED_AGENT,NATIVE,4,2,25370407318175946,25370407319330420,1.154474,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-033,Microsoft Agent Framework,NESTED_AGENT_AS_TOOL,NATIVE,4,3,25370407319342758,25370407320615612,1.272854,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-034,Microsoft Agent Framework,UNPROVISIONED_ORDINARY,NATIVE,4,4,25370407320631191,25370407321054656,0.423465,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-035,Microsoft Agent Framework,PROVISIONED_ORDINARY,NATIVE,4,5,25370407321065850,25370407321451085,0.385235,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-036,OpenAI Agents SDK,MIXED_AGENT_LLM_TOOL,NATIVE,4,6,25370407321461643,25370407328743852,7.282209,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-037,OpenAI Agents SDK,REPEATED_AGENT,NATIVE,4,7,25370407328763898,25370407347419174,18.655276,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-038,OpenAI Agents SDK,NESTED_AGENT_AS_TOOL,NATIVE,4,8,25370407347463477,25370407352947951,5.484474,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-039,OpenAI Agents SDK,UNPROVISIONED_ORDINARY,NATIVE,4,9,25370407352968485,25370407354647605,1.67912,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-040,OpenAI Agents SDK,PROVISIONED_ORDINARY,NATIVE,4,10,25370407354664962,25370407356289710,1.624748,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-041,OpenAI Agents SDK,PROVISIONED_ORDINARY,NATIVE,5,1,25370407356309097,25370407357950538,1.641441,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-042,OpenAI Agents SDK,UNPROVISIONED_ORDINARY,NATIVE,5,2,25370407357967091,25370407359577601,1.61051,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-043,OpenAI Agents SDK,NESTED_AGENT_AS_TOOL,NATIVE,5,3,25370407359593513,25370407364884633,5.29112,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-044,OpenAI Agents SDK,REPEATED_AGENT,NATIVE,5,4,25370407364903875,25370407369790932,4.887057,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-045,OpenAI Agents SDK,MIXED_AGENT_LLM_TOOL,NATIVE,5,5,25370407369809178,25370407376669940,6.860762,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-046,Microsoft Agent Framework,PROVISIONED_ORDINARY,NATIVE,5,6,25370407376689434,25370407377225620,0.536186,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-047,Microsoft Agent Framework,UNPROVISIONED_ORDINARY,NATIVE,5,7,25370407377238490,25370407377651471,0.412981,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-048,Microsoft Agent Framework,NESTED_AGENT_AS_TOOL,NATIVE,5,8,25370407377662509,25370407378962755,1.300246,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-049,Microsoft Agent Framework,REPEATED_AGENT,NATIVE,5,9,25370407378977830,25370407380157484,1.179654,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-050,Microsoft Agent Framework,MIXED_AGENT_LLM_TOOL,NATIVE,5,10,25370407380169768,25370407381954321,1.784553,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-051,Microsoft Agent Framework,MIXED_AGENT_LLM_TOOL,NATIVE,6,1,25370407381973645,25370407383629750,1.656105,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-052,Microsoft Agent Framework,REPEATED_AGENT,NATIVE,6,2,25370407383644000,25370407384850044,1.206044,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-053,Microsoft Agent Framework,NESTED_AGENT_AS_TOOL,NATIVE,6,3,25370407384861989,25370407386095009,1.23302,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-054,Microsoft Agent Framework,UNPROVISIONED_ORDINARY,NATIVE,6,4,25370407386110180,25370407386531112,0.420932,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-055,Microsoft Agent Framework,PROVISIONED_ORDINARY,NATIVE,6,5,25370407386542316,25370407386930475,0.388159,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-056,OpenAI Agents SDK,MIXED_AGENT_LLM_TOOL,NATIVE,6,6,25370407386940800,25370407393921378,6.980578,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-057,OpenAI Agents SDK,REPEATED_AGENT,NATIVE,6,7,25370407393940471,25370407398770358,4.829887,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-058,OpenAI Agents SDK,NESTED_AGENT_AS_TOOL,NATIVE,6,8,25370407398788483,25370407404965476,6.176993,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-059,OpenAI Agents SDK,UNPROVISIONED_ORDINARY,NATIVE,6,9,25370407404985099,25370407406642231,1.657132,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-060,OpenAI Agents SDK,PROVISIONED_ORDINARY,NATIVE,6,10,25370407406658671,25370407408284771,1.6261,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-061,OpenAI Agents SDK,PROVISIONED_ORDINARY,NATIVE,7,1,25370407408303362,25370407409928654,1.625292,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-062,OpenAI Agents SDK,UNPROVISIONED_ORDINARY,NATIVE,7,2,25370407409944186,25370407411551582,1.607396,True,,1,1,1,1,0,0,0,0,0,0
