figure,panel,metric,condition,value,CI_low,CI_high,chance,sample_count,evidence_scope,p_value,p95,source_file,source_row,status
FIG2,a_access_linking,AUC,Same-Agent,0.486525,0.446330168241386,0.526100862490875,0.5,800,CURRENT_FULL_SYSTEM,0.7383261673832616,,V15E_ACCESS_PRIVACY_RESULTS.csv,SAME_AGENT_WITHIN_SESSION|ALL,ESTABLISHED
FIG2,a_access_linking,AUC,"Cross-session
same",0.5187957421181881,0.4900823412577719,0.5472720011132917,0.5,1574,CURRENT_FULL_SYSTEM,0.10088991100889912,,V15E_ACCESS_PRIVACY_RESULTS.csv,CROSS_SESSION_SAME_SLOT|ALL,ESTABLISHED
FIG2,a_access_linking,AUC,"Cross-session
cross",0.47209647996756976,0.44351626671424627,0.5009589395204164,0.5,1558,CURRENT_FULL_SYSTEM,0.9712028797120288,,V15E_ACCESS_PRIVACY_RESULTS.csv,CROSS_SESSION_CROSS_SLOT|ALL,ESTABLISHED
FIG2,a_access_linking,AUC,"Rare
insertion",0.5246000000000001,0.467086495853766,0.5817104225444188,0.5,400,CURRENT_FULL_SYSTEM,0.20107989201079893,,V15E_SEQUENCE_RESULTS.csv,RARE_INSERTION_AAA_VS_AAB|ALL,ESTABLISHED
FIG2,a_access_linking,AUC,Recurrence,0.46345000000000003,0.40715140018216334,0.5210662005294208,0.5,400,CURRENT_FULL_SYSTEM,0.8919108089191081,,V15E_SEQUENCE_RESULTS.csv,RECURRENCE_AAA_VS_ABC|ALL,ESTABLISHED
FIG2,a_access_linking,AUC,"Return
pattern",0.55125,0.4946418091540688,0.6077870086516137,0.5,400,CURRENT_FULL_SYSTEM,0.038896110388961104,,V15E_SEQUENCE_RESULTS.csv,RETURN_PATTERN_ABA_VS_ABC|ALL,NOT_ESTABLISHED
FIG2,b_sequence_structure,Accuracy,"Access
OAE",0.25625,0.22625,0.28625,0.25,800,CURRENT_FULL_SYSTEM,0.35296470352964704,,V15E_SEQUENCE_RESULTS.csv,FOUR_CLASS_ORDERING_RECURRENCE|ALL,EMPIRICALLY_SUPPORTED
FIG2,b_sequence_structure,Accuracy,"Access
control",1.0,1.0,1.0,0.25,800,CURRENT_FULL_SYSTEM,9.999000099990002e-05,,V15E_SEQUENCE_RESULTS.csv,FOUR_CLASS_ORDERING_RECURRENCE|UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,EMPIRICALLY_SUPPORTED
FIG2,b_sequence_structure,Accuracy,"Trajectory
OAE",0.2125,0.15,0.275,0.25,160,CURRENT_COMPONENT,1.0,,FINAL_SEQUENCE_RESULTS.csv,FOUR_CLASS_EXECUTION_TRAJECTORY|FINAL_OAE_STRUCTURAL_COMPOSITION,EMPIRICALLY_SUPPORTED
FIG2,b_sequence_structure,Accuracy,"Trajectory
control",1.0,1.0,1.0,0.25,160,CURRENT_COMPONENT,9.999000099990002e-05,,FINAL_SEQUENCE_RESULTS.csv,FOUR_CLASS_EXECUTION_TRAJECTORY|UNNORMALIZED_VISIBLE_ACTION_ENDPOINT_POSITIVE_CONTROL,EMPIRICALLY_SUPPORTED
FIG2,c_realized_timing,Accuracy,"Branch
timing",0.6633333333333333,0.61,0.7166666666666667,0.3333333333333333,300,CURRENT_COMPONENT,9.999000099990002e-05,,FINAL_PRIVACY_RESULTS.csv,PROVISIONED_UNPROVISIONED_IDLE|TIMING,NOT_ESTABLISHED
FIG2,c_realized_timing,AUC,"Tool/Agent
OAI|OAE",0.6225,0.44,0.7875,0.5,40,CURRENT_FULL_SYSTEM,0.0912908709129087,,FINAL_TIMING_RESULTS.csv,TOOL_VS_AGENT_AS_TOOL|OpenAI Agents SDK|FINAL_OAE_BIDIRECTIONAL_SHAPING,NOT_ESTABLISHED
FIG2,c_realized_timing,AUC,"Tool/Agent
OAI|One-sided control",0.980763888888889,0.9681232638888889,0.9909739583333333,0.5,120,HISTORICAL_ABLATION,9.999000099990002e-05,,FINAL_TIMING_RESULTS.csv,TOOL_VS_AGENT_AS_TOOL|OpenAI Agents SDK|HISTORICAL_ONE_SIDED_POSITIVE_CONTROL,POSITIVE_CONTROL
FIG2,c_realized_timing,AUC,"Tool/Agent
MAF|OAE",0.645,0.46499999999999997,0.8175,0.5,40,CURRENT_FULL_SYSTEM,0.061193880611938804,,FINAL_TIMING_RESULTS.csv,TOOL_VS_AGENT_AS_TOOL|Microsoft Agent Framework|FINAL_OAE_BIDIRECTIONAL_SHAPING,NOT_ESTABLISHED
FIG2,c_realized_timing,AUC,"Tool/Agent
MAF|One-sided control",0.9693055555555555,0.9468055555555556,0.9875694444444445,0.5,120,HISTORICAL_ABLATION,9.999000099990002e-05,,FINAL_TIMING_RESULTS.csv,TOOL_VS_AGENT_AS_TOOL|Microsoft Agent Framework|HISTORICAL_ONE_SIDED_POSITIVE_CONTROL,POSITIVE_CONTROL
FIG2,c_realized_timing,AUC,"Provider
OAI|OAE",0.4425,0.2525,0.63,0.5,40,CURRENT_FULL_SYSTEM,0.7246275372462754,,FINAL_TIMING_RESULTS.csv,PROVIDER_READINESS|OpenAI Agents SDK|FINAL_OAE_BIDIRECTIONAL_SHAPING,NOT_ESTABLISHED
