bootstrap_resamples,ci95_high,ci95_low,confusion_matrix,evidence_scope,experiment,feature_view,label_order,n_test,n_train,n_validation,permutation_p,permutation_resamples,selected_model,test_accuracy,test_groups,test_macro_f1,test_orientation_invariant_auc,test_raw_auc,test_train_oriented_auc,train_oof_raw_auc,train_orientation,validation_accuracy,validation_oriented_auc
10000,0.5587486191811928,0.4287009811176479,,,SAME_AGENT_WITHIN_SESSION,CONTENT_CRYPTOGRAPHIC,,305,986,330,0.5769423057694231,10000,HistGradientBoosting,,305,,0.5063639490884073,0.4936360509115927,0.4936360509115927,0.5265717577353521,1,,0.5330589143298173
10000,0.5,0.5,,,SAME_AGENT_WITHIN_SESSION,STRUCTURAL,,800,2400,800,1.0,10000,RBF_SVM,,800,,0.5,0.5,0.5,0.5,1,,0.5
10000,0.6258048556381889,0.49526496259974795,,,SAME_AGENT_WITHIN_SESSION,TIMING,,305,986,330,0.032896710328967106,10000,ExtraTrees_seed89345,,305,,0.5616615067079463,0.43833849329205365,0.5616615067079463,0.4951078011849901,-1,,0.5529052886912419
10000,0.5787575318596012,0.4486491999535946,,,SAME_AGENT_WITHIN_SESSION,ALL_ALLOWED,,305,986,330,0.32896710328967105,10000,ExtraTrees_seed89345,,305,,0.5139103887168903,0.48608961128310973,0.5139103887168902,0.4943301514154048,-1,,0.4518541659009887
10000,1.0,1.0,,,SAME_AGENT_WITHIN_SESSION,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,,800,2400,800,9.999000099990002e-05,10000,RBF_SVM,,800,,1.0,1.0,1.0,1.0,1,,1.0
10000,0.5673739118373314,0.46349333591888686,,,CROSS_SESSION_SAME_SLOT,CONTENT_CRYPTOGRAPHIC,,468,1606,544,0.2782721727827217,10000,RBF_SVM,,468,,0.5153225217327781,0.5153225217327781,0.5153225217327781,0.6134219590607451,1,,0.5299253892733564
10000,0.5,0.5,,,CROSS_SESSION_SAME_SLOT,STRUCTURAL,,1570,4686,1574,1.0,10000,RBF_SVM,,1570,,0.5,0.5,0.5,0.4846328972945265,-1,,0.5
10000,0.5598609244633562,0.4551361540565843,,,CROSS_SESSION_SAME_SLOT,TIMING,,468,1606,544,0.37036296370362964,10000,ExtraTrees_seed89347,,468,,0.5086565855796625,0.5086565855796625,0.5086565855796625,0.7356736646045573,1,,0.4373513192041523
10000,0.5202731630562061,0.41457624283389605,,,CROSS_SESSION_SAME_SLOT,ALL_ALLOWED,,468,1606,544,0.8823117688231177,10000,ExtraTrees_seed89345,,468,,0.5320786763094456,0.46792132369055445,0.46792132369055445,0.6972211926322369,1,,0.545171929065744
10000,1.0,1.0,,,CROSS_SESSION_SAME_SLOT,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,,1570,4686,1574,9.999000099990002e-05,10000,RBF_SVM,,1570,,1.0,1.0,1.0,1.0,1,,1.0
10000,0.5314631848298298,0.42821526626821355,,,CROSS_SESSION_CROSS_SLOT,CONTENT_CRYPTOGRAPHIC,,486,1590,542,0.7673232676732327,10000,LogisticRegression,,486,,0.5198394553675761,0.5198394553675761,0.48016054463242397,0.3933357066571733,-1,,0.5154205416592911
10000,0.5,0.5,,,CROSS_SESSION_CROSS_SLOT,STRUCTURAL,,1560,4698,1584,1.0,10000,RBF_SVM,,1560,,0.5,0.5,0.5,0.49765857811834824,-1,,0.5
10000,0.5530576285765765,0.45007086552452774,,,CROSS_SESSION_CROSS_SLOT,TIMING,,486,1590,542,0.46025397460253975,10000,HistGradientBoosting,,486,,0.5023793798370845,0.49762062016291553,0.5023793798370845,0.45387919781654207,-1,,0.5281926989011587
10000,0.5725436252374079,0.469632469883605,,,CROSS_SESSION_CROSS_SLOT,ALL_ALLOWED,,486,1590,542,0.21527847215278473,10000,ExtraTrees_seed89347,,486,,0.5209995088824536,0.4790004911175464,0.5209995088824537,0.3750603219809343,-1,,0.46863468634686345
10000,1.0,1.0,,,CROSS_SESSION_CROSS_SLOT,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,,1560,4698,1584,9.999000099990002e-05,10000,RBF_SVM,,1560,,1.0,1.0,1.0,1.0,1,,1.0
10000,0.39,0.28,"[[0, 0, 100], [0, 0, 100], [0, 0, 100]]",CURRENT_FINAL_PIPELINE_V15B_REUSED,PROVISIONED_UNPROVISIONED_IDLE,STRUCTURAL,"['IDLE', 'PROVISIONED', 'UNPROVISIONED']",300,900,300,1.0,10000,RBF_SVM,0.3333333333333333,300,0.16666666666666666,,,,,,0.3333333333333333,
10000,0.7166666666666667,0.61,"[[80, 13, 7], [30, 39, 31], [2, 18, 80]]",CURRENT_FINAL_PIPELINE_V15B_REUSED,PROVISIONED_UNPROVISIONED_IDLE,TIMING,"['IDLE', 'PROVISIONED', 'UNPROVISIONED']",300,900,300,9.999000099990002e-05,10000,ExtraTrees_seed89346,0.6633333333333333,300,0.6491618215574269,,,,,,0.6266666666666667,
10000,1.0,1.0,"[[100, 0, 0], [0, 100, 0], [0, 0, 100]]",CURRENT_FINAL_PIPELINE_V15B_REUSED,PROVISIONED_UNPROVISIONED_IDLE,UNPROTECTED_VISIBLE_BRANCH_POSITIVE_CONTROL,"['IDLE', 'PROVISIONED', 'UNPROVISIONED']",300,900,300,9.999000099990002e-05,10000,RBF_SVM,1.0,300,1.0,,,,,,1.0,
