bootstrap_resamples,ci95_high,ci95_low,confusion_matrix,evidence_scope,experiment,feature_view,label_order,n_test,n_train,n_validation,permutation_p,permutation_resamples,selected_model,test_accuracy,test_groups,test_macro_f1,test_orientation_invariant_auc,test_raw_auc,test_train_oriented_auc,train_oof_raw_auc,train_orientation,validation_accuracy,validation_oriented_auc
10000,0.2819672131147541,0.18688524590163935,"[[16, 15, 20, 21], [25, 22, 17, 17], [18, 24, 16, 22], [21, 21, 13, 17]]",,FOUR_CLASS_ORDERING_RECURRENCE,CONTENT_CRYPTOGRAPHIC,"['AAA', 'AAB', 'ABA', 'ABC']",305,986,330,0.7703229677032297,10000,LogisticRegression,0.23278688524590163,305,0.23195774193777255,,,,,,0.26666666666666666,
10000,0.6311744481152376,0.44463392022375686,,,RARE_INSERTION_AAA_VS_AAB,CONTENT_CRYPTOGRAPHIC,,153,520,168,0.20667933206679331,10000,RBF_SVM,,153,,0.5373799725651577,0.5373799725651577,0.5373799725651577,0.538868918179263,1,,0.4308390022675737
10000,0.5436722047559406,0.3570030784432959,,,RECURRENCE_AAA_VS_ABC,CONTENT_CRYPTOGRAPHIC,,144,488,169,0.8528147185281472,10000,ExtraTrees_seed89345,,144,,0.5509259259259259,0.5509259259259259,0.4490740740740741,0.46983696110333667,-1,,0.40329131652661065
10000,0.5311626071329526,0.34837137840210713,,,RETURN_PATTERN_ABA_VS_ABC,CONTENT_CRYPTOGRAPHIC,,152,466,162,0.9016098390160984,10000,RBF_SVM,,152,,0.5605902777777778,0.5605902777777778,0.4394097222222222,0.48263409061596,-1,,0.47379679144385034
10000,0.28,0.22,"[[0, 0, 0, 200], [0, 0, 0, 200], [0, 0, 0, 200], [0, 0, 0, 200]]",,FOUR_CLASS_ORDERING_RECURRENCE,STRUCTURAL,"['AAA', 'AAB', 'ABA', 'ABC']",800,2400,800,1.0,10000,RBF_SVM,0.25,800,0.1,,,,,,0.25,
10000,0.5,0.5,,,RARE_INSERTION_AAA_VS_AAB,STRUCTURAL,,400,1200,400,1.0,10000,RBF_SVM,,400,,0.5,0.5,0.5,0.5,1,,0.5
10000,0.5,0.5,,,RECURRENCE_AAA_VS_ABC,STRUCTURAL,,400,1200,400,1.0,10000,RBF_SVM,,400,,0.5,0.5,0.5,0.5,1,,0.5
10000,0.5,0.5,,,RETURN_PATTERN_ABA_VS_ABC,STRUCTURAL,,400,1200,400,1.0,10000,RBF_SVM,,400,,0.5,0.5,0.5,0.5,1,,0.5
10000,0.29508196721311475,0.19672131147540983,"[[22, 27, 17, 6], [32, 28, 12, 9], [22, 29, 14, 15], [22, 19, 20, 11]]",,FOUR_CLASS_ORDERING_RECURRENCE,TIMING,"['AAA', 'AAB', 'ABA', 'ABC']",305,986,330,0.6191380861913809,10000,ExtraTrees_seed89347,0.2459016393442623,305,0.23841645419741067,,,,,,0.2818181818181818,
10000,0.5778559864287833,0.3927429011289771,,,RARE_INSERTION_AAA_VS_AAB,TIMING,,153,520,168,0.6232376762323768,10000,ExtraTrees_seed89347,,153,,0.5142318244170097,0.48576817558299035,0.48576817558299035,0.5282474592819421,1,,0.5384070294784581
10000,0.5560507866203241,0.36891840398183257,,,RECURRENCE_AAA_VS_ABC,TIMING,,144,488,169,0.8025197480251974,10000,HistGradientBoosting,,144,,0.5397376543209877,0.5397376543209877,0.46026234567901225,0.46733320969128833,-1,,0.41470588235294115
10000,0.6333378623188405,0.44771377559639336,,,RETURN_PATTERN_ABA_VS_ABC,TIMING,,152,466,162,0.19968003199680032,10000,HistGradientBoosting,,152,,0.5406249999999999,0.45937500000000003,0.5406249999999999,0.47712490556998877,-1,,0.5723453017570665
10000,0.3016393442622951,0.20327868852459016,"[[26, 28, 8, 10], [32, 25, 13, 11], [27, 32, 12, 9], [33, 20, 5, 14]]",,FOUR_CLASS_ORDERING_RECURRENCE,ALL_ALLOWED,"['AAA', 'AAB', 'ABA', 'ABC']",305,986,330,0.47415258474152583,10000,ExtraTrees_seed89346,0.25245901639344265,305,0.2468176389201733,,,,,,0.2696969696969697,
10000,0.6490485657409668,0.4660441166112458,,,RARE_INSERTION_AAA_VS_AAB,ALL_ALLOWED,,153,520,168,0.11088891110888911,10000,ExtraTrees_seed89345,,153,,0.5583847736625515,0.5583847736625515,0.5583847736625515,0.5404295921537301,1,,0.43636621315192736
10000,0.5751756638883505,0.3852548240135314,,,RECURRENCE_AAA_VS_ABC,ALL_ALLOWED,,144,488,169,0.6736326367363263,10000,ExtraTrees_seed89345,,144,,0.521508487654321,0.478491512345679,0.478491512345679,0.5138169985331558,1,,0.569187675070028
10000,0.46245867278320896,0.2850825178626903,,,RETURN_PATTERN_ABA_VS_ABC,ALL_ALLOWED,,152,466,162,0.9958004199580042,10000,ExtraTrees_seed89345,,152,,0.6274305555555556,0.6274305555555556,0.3725694444444444,0.48749838778029586,-1,,0.4461420932009168
10000,1.0,1.0,"[[200, 0, 0, 0], [0, 200, 0, 0], [0, 0, 200, 0], [0, 0, 0, 200]]",,FOUR_CLASS_ORDERING_RECURRENCE,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,"['AAA', 'AAB', 'ABA', 'ABC']",800,2400,800,9.999000099990002e-05,10000,RBF_SVM,1.0,800,1.0,,,,,,1.0,
10000,1.0,1.0,,,RARE_INSERTION_AAA_VS_AAB,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,,400,1200,400,9.999000099990002e-05,10000,RBF_SVM,,400,,1.0,1.0,1.0,1.0,1,,1.0
10000,1.0,1.0,,,RECURRENCE_AAA_VS_ABC,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,,400,1200,400,9.999000099990002e-05,10000,RBF_SVM,,400,,1.0,1.0,1.0,1.0,1,,1.0
10000,1.0,1.0,,,RETURN_PATTERN_ABA_VS_ABC,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,,400,1200,400,9.999000099990002e-05,10000,RBF_SVM,,400,,1.0,1.0,1.0,1.0,1,,1.0
10000,0.275,0.15,"[[0, 0, 0, 42], [0, 0, 0, 41], [0, 0, 0, 43], [0, 0, 0, 34]]",EXACT_COMPONENT_COMPOSITION,FOUR_CLASS_EXECUTION_TRAJECTORY,FINAL_OAE_STRUCTURAL_COMPOSITION,"['AGENT', 'LLM', 'NOOP', 'TOOL']",160,480,160,1.0,10000,RBF_SVM,0.2125,160,0.08762886597938144,,,,,,0.2125,
10000,1.0,1.0,"[[42, 0, 0, 0], [0, 41, 0, 0], [0, 0, 43, 0], [0, 0, 0, 34]]",EXACT_COMPONENT_COMPOSITION,FOUR_CLASS_EXECUTION_TRAJECTORY,UNNORMALIZED_VISIBLE_ACTION_ENDPOINT_POSITIVE_CONTROL,"['AGENT', 'LLM', 'NOOP', 'TOOL']",160,480,160,9.999000099990002e-05,10000,RBF_SVM,1.0,160,1.0,,,,,,1.0,
