admitted_real_agent_accesses,agent_access_bytes,agent_loader_failures,dummy_heavy_agent_executions,dummy_heavy_llm_executions,dummy_heavy_tool_executions,dummy_pir_queries,dummy_psi_queries,first_agent_retrieval_latency_ms,framework,framework_agent_as_tool_invocations,framework_model_invocations,gateway_bytes,gateway_public_sessions,gateway_relay_cells,overflow_count,profile_capacity_failures,profile_conformance,public_profile_instances,public_session_wall_ms,real_agent_executions,real_external_tool_api_calls,real_pir_queries,real_psi_queries,real_remote_llm_calls,repetition,retrieval_count,retrieval_failures,retrieval_latencies_ms_json,run_id,scheduled_agent_access_slots,semantic_applicable,semantic_success,silent_loss_count,source_campaign,task_latency_ms,total_agent_resolution_latency_ms,total_public_bytes,workload
1,9405600,0,0,0,0,3,3,469.327827,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,8655.966742,1,0,1,1,0,1,1,0,[469.327827],V15C-001-OPENAI-PROVISIONED_ORDINARY-R1,4,True,True,0,V15D_P0_CORE,2790.620279,469.327827,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7282.761044,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7282.761044,1,0,0,1,0,1,1,0,[7282.761044],V15C-002-OPENAI-UNPROVISIONED_ORDINARY-R1,4,True,True,0,V15D_P0_CORE,7289.126862,7282.761044,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,451.190641,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7015.613148,2,0,2,2,0,1,2,0,"[451.190641, 687.747908]",V15C-003-OPENAI-NESTED_AGENT_AS_TOOL-R1,4,True,True,0,V15D_P0_CORE,1147.211406,1138.938549,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,446.773679,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7020.30176,3,0,3,3,0,1,3,0,"[446.773679, 782.140948, 1135.711353]",V15C-004-OPENAI-REPEATED_AGENT-R1,4,True,True,0,V15D_P0_CORE,1141.371613,2364.62598,10384559,REPEATED_AGENT
0,9405600,0,0,0,0,4,4,,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7046.034482,0,0,0,0,0,1,0,0,[],V15C-006-OPENAI-IDLE_PROFILE_ONLY-R1,4,False,,0,V15D_P0_CORE,1151.441446,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,477.05942,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7052.084926,1,0,1,1,0,1,1,0,[477.05942],V15C-007-MICROSOFT-PROVISIONED_ORDINARY-R1,4,True,True,0,V15D_P0_CORE,1185.292613,477.05942,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7249.700459,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7249.700459,1,0,0,1,0,1,1,0,[7249.700459],V15C-008-MICROSOFT-UNPROVISIONED_ORDINARY-R1,4,True,True,0,V15D_P0_CORE,7252.463284,7249.700459,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,434.133599,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7054.977127,2,0,2,2,0,1,2,0,"[434.133599, 727.575936]",V15C-009-MICROSOFT-NESTED_AGENT_AS_TOOL-R1,4,True,True,0,V15D_P0_CORE,1164.451633,1161.709535,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,453.392146,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7072.156182,3,0,3,3,0,1,3,0,"[453.392146, 782.392429, 1168.115266]",V15C-010-MICROSOFT-REPEATED_AGENT-R1,4,True,True,0,V15D_P0_CORE,1171.837887,2403.899841,10384559,REPEATED_AGENT
0,9405600,0,0,0,0,4,4,,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7074.484511,0,0,0,0,0,1,0,0,[],V15C-012-MICROSOFT-IDLE_PROFILE_ONLY-R1,4,False,,0,V15D_P0_CORE,1172.449149,,10384559,IDLE_PROFILE_ONLY
