operation_id,request_session,request_slot,admitted,request_sent_ns,request_received_ns,worker_decrypted,worker_started_ns,effect_executed,worker_completed_ns,result_journaled,result_ring_published,ring_publish_evidence,pacer_observed,public_response_session,public_response_slot,response_sent_ns,client_received_ns,framework_delivered,completion_minus_public_end_ms,terminal_classification
agent_identity-a-0,0,1,True,1787905588852722700,1787905588852722700,True,1787905588853250700,True,1787905588935585100,True,True,worker writer drained completion channel; result_ring_waits=0,True,2,1,1787905588952331000,1787905588952331000,True,-2396.902,DELIVERED
agent_identity-a-1,1,1,True,1787905588902611400,1787905588902611400,True,1787905588903159900,True,1787905589042006100,True,True,worker writer drained completion channel; result_ring_waits=0,True,4,1,1787905589052365800,1787905589052365800,True,-2290.481,DELIVERED
agent_identity-a-2,2,1,True,1787905588952331000,1787905588952331000,True,1787905588952845900,True,1787905589092149300,True,True,worker writer drained completion channel; result_ring_waits=0,True,5,1,1787905589102463600,1787905589102463600,True,-2240.338,DELIVERED
agent_identity-a-3,3,1,True,1787905589002413600,1787905589002413600,True,1787905589002931400,True,1787905589141726100,True,True,worker writer drained completion channel; result_ring_waits=0,True,6,1,1787905589152253000,1787905589152253000,True,-2190.761,DELIVERED
agent_identity-a-4,4,1,True,1787905589052365800,1787905589052365800,True,1787905589052901800,True,1787905589191744000,True,True,worker writer drained completion channel; result_ring_waits=0,True,7,1,1787905589202489300,1787905589202489300,True,-2140.743,DELIVERED
agent_identity-a-5,5,1,True,1787905589102463600,1787905589102463600,True,1787905589102972900,True,1787905589241216200,True,True,worker writer drained completion channel; result_ring_waits=0,True,8,1,1787905589252450500,1787905589252450500,True,-2091.271,DELIVERED
agent_identity-a-6,6,1,True,1787905589152253000,1787905589152253000,True,1787905589152773500,True,1787905589299390800,True,True,worker writer drained completion channel; result_ring_waits=0,True,9,2,1787905589317399500,1787905589317399500,True,-2033.096,DELIVERED
agent_identity-a-7,7,1,True,1787905589202489300,1787905589202489300,True,1787905589203017500,True,1787905589357290900,True,True,worker writer drained completion channel; result_ring_waits=0,True,10,2,1787905589367536600,1787905589367536600,True,-1975.196,DELIVERED
agent_identity-a-8,8,1,True,1787905589252450500,1787905589252450500,True,1787905589252974400,True,1787905589405768100,True,True,worker writer drained completion channel; result_ring_waits=0,True,11,2,1787905589417321100,1787905589417321100,True,-1926.719,DELIVERED
agent_identity-a-9,9,1,True,1787905589302506600,1787905589302506600,True,1787905589303028900,True,1787905589455755200,True,True,worker writer drained completion channel; result_ring_waits=0,True,12,2,1787905589467586700,1787905589467586700,True,-1876.732,DELIVERED
agent_identity-a-10,10,1,True,1787905589352447200,1787905589352447200,True,1787905589352956700,True,1787905589505169100,True,True,worker writer drained completion channel; result_ring_waits=0,True,13,2,1787905589517722300,1787905589517722300,True,-1827.318,DELIVERED
agent_identity-a-11,11,1,True,1787905589402632200,1787905589402632200,True,1787905589403160500,True,1787905589555102000,True,True,worker writer drained completion channel; result_ring_waits=0,True,14,2,1787905589567390400,1787905589567390400,True,-1777.385,DELIVERED
agent_identity-a-12,12,1,True,1787905589452476100,1787905589452476100,True,1787905589452986900,True,1787905589613209600,True,True,worker writer drained completion channel; result_ring_waits=0,True,15,2,1787905589617326600,1787905589617326600,True,-1719.278,DELIVERED
agent_identity-a-13,13,1,True,1787905589502585300,1787905589502585300,True,1787905589503141600,True,1787905589671210600,True,True,worker writer drained completion channel; result_ring_waits=0,True,16,3,1787905589682364700,1787905589682364700,True,-1661.277,DELIVERED
agent_identity-a-14,14,1,True,1787905589552366700,1787905589552366700,True,1787905589552877200,True,1787905589728511000,True,True,worker writer drained completion channel; result_ring_waits=0,True,17,3,1787905589732589200,1787905589732589200,True,-1603.976,DELIVERED
agent_identity-a-15,15,1,True,1787905589602594900,1787905589602594900,True,1787905589603103300,True,1787905589785993800,True,True,worker writer drained completion channel; result_ring_waits=0,True,19,1,1787905589802235600,1787905589802235600,True,-1546.493,DELIVERED
