family,observation_window,functional_gate,structural_privacy,size_privacy,stable_identifier_attack,classifier,execution_status
AGENT_IDENTITY,1,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
AGENT_IDENTITY,5,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
AGENT_IDENTITY,10,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
AGENT_IDENTITY,25,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
AGENT_IDENTITY,50,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
TOOL_IDENTITY,1,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
TOOL_IDENTITY,5,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
TOOL_IDENTITY,10,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
TOOL_IDENTITY,25,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
TOOL_IDENTITY,50,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
REPEATED_TARGET,1,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
REPEATED_TARGET,5,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
REPEATED_TARGET,10,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
REPEATED_TARGET,25,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
REPEATED_TARGET,50,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
FREQUENCY,1,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
FREQUENCY,5,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
FREQUENCY,10,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
FREQUENCY,25,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
FREQUENCY,50,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
RARE_TARGET,1,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
RARE_TARGET,5,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
RARE_TARGET,10,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
RARE_TARGET,25,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
RARE_TARGET,50,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
TRANSITION_PATTERN,1,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
TRANSITION_PATTERN,5,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
TRANSITION_PATTERN,10,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
TRANSITION_PATTERN,25,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
TRANSITION_PATTERN,50,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
STRICT_INTERNAL_EXTERNAL,1,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
STRICT_INTERNAL_EXTERNAL,5,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
STRICT_INTERNAL_EXTERNAL,10,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
STRICT_INTERNAL_EXTERNAL,25,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
STRICT_INTERNAL_EXTERNAL,50,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
CROSS_SESSION_LINKAGE,1,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
CROSS_SESSION_LINKAGE,5,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
CROSS_SESSION_LINKAGE,10,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
CROSS_SESSION_LINKAGE,25,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
CROSS_SESSION_LINKAGE,50,NOT_PASSED,OPEN,OPEN,NOT_RUN,NOT_RUN,NOT_COMPLETED_ENVIRONMENT_WINERROR_4551
