pair_id,observation_window,arm_a_functional,arm_b_functional,exact_projection_equal,classifier_run,classifier_reason
TOOL_TARGET,1,True,True,True,False,symbolic observer projections are exactly equal
TOOL_TARGET,5,True,True,True,False,symbolic observer projections are exactly equal
TOOL_TARGET,10,True,True,True,False,symbolic observer projections are exactly equal
TOOL_TARGET,25,True,True,True,False,symbolic observer projections are exactly equal
TOOL_TARGET,50,True,True,True,False,symbolic observer projections are exactly equal
REPEATED_TARGET,1,True,True,True,False,symbolic observer projections are exactly equal
REPEATED_TARGET,5,True,True,True,False,symbolic observer projections are exactly equal
REPEATED_TARGET,10,True,True,True,False,symbolic observer projections are exactly equal
REPEATED_TARGET,25,True,True,True,False,symbolic observer projections are exactly equal
REPEATED_TARGET,50,True,True,True,False,symbolic observer projections are exactly equal
FREQUENCY,1,True,True,True,False,symbolic observer projections are exactly equal
FREQUENCY,5,True,True,True,False,symbolic observer projections are exactly equal
FREQUENCY,10,True,True,True,False,symbolic observer projections are exactly equal
FREQUENCY,25,True,True,True,False,symbolic observer projections are exactly equal
FREQUENCY,50,True,True,True,False,symbolic observer projections are exactly equal
RARE_TARGET,1,True,True,True,False,symbolic observer projections are exactly equal
RARE_TARGET,5,True,True,True,False,symbolic observer projections are exactly equal
RARE_TARGET,10,True,True,True,False,symbolic observer projections are exactly equal
RARE_TARGET,25,True,True,True,False,symbolic observer projections are exactly equal
RARE_TARGET,50,True,True,True,False,symbolic observer projections are exactly equal
TRANSITION_PATTERN,1,True,True,True,False,symbolic observer projections are exactly equal
TRANSITION_PATTERN,5,True,True,True,False,symbolic observer projections are exactly equal
TRANSITION_PATTERN,10,True,True,True,False,symbolic observer projections are exactly equal
TRANSITION_PATTERN,25,True,True,True,False,symbolic observer projections are exactly equal
TRANSITION_PATTERN,50,True,True,True,False,symbolic observer projections are exactly equal
CROSS_SESSION_LINK,1,True,True,True,False,symbolic observer projections are exactly equal
CROSS_SESSION_LINK,5,True,True,True,False,symbolic observer projections are exactly equal
CROSS_SESSION_LINK,10,True,True,True,False,symbolic observer projections are exactly equal
CROSS_SESSION_LINK,25,True,True,True,False,symbolic observer projections are exactly equal
CROSS_SESSION_LINK,50,True,True,True,False,symbolic observer projections are exactly equal
