attack,feature_set,model,metric,score,balanced_accuracy,permutation_baseline,permutation_p_value,samples,chance,experiment
REPEATED_TARGET_LINKABILITY,RAW_QUERY,LogisticRegression,AUC,0.4899648526041587,0.49772514866544204,0.49961759292465036,0.7142857142857143,4000,0.5,INTERLEAVED_MULTIROUND_FINAL
REPEATED_TARGET_LINKABILITY,RAW_QUERY,RandomForest,AUC,0.49445276776559666,0.4976696630412484,0.49870390809404946,0.5714285714285714,4000,0.5,INTERLEAVED_MULTIROUND_FINAL
FREQUENCY_RECOVERY_M0_VS_M2,RAW_QUERY,LogisticRegression,AUC,0.6427579365079366,0.616547619047619,0.4976577380952381,0.14285714285714285,40,0.5,INTERLEAVED_MULTIROUND_FINAL
FREQUENCY_RECOVERY_M0_VS_M2,RAW_QUERY,RandomForest,AUC,0.5865674603174603,0.5453571428571429,0.5471005291005291,0.2857142857142857,40,0.5,INTERLEAVED_MULTIROUND_FINAL
RARE_AGENT_DETECTION_M0_VS_M1,RAW_QUERY,LogisticRegression,AUC,0.6375793650793651,0.5461904761904762,0.5454950396825397,0.3333333333333333,40,0.5,INTERLEAVED_MULTIROUND_FINAL
RARE_AGENT_DETECTION_M0_VS_M1,RAW_QUERY,RandomForest,AUC,0.5321924603174604,0.4563095238095238,0.48947718253968253,0.38095238095238093,40,0.5,INTERLEAVED_MULTIROUND_FINAL
TRANSITION_PATTERN_M4_VS_M5,RAW_QUERY,LogisticRegression,AUC,0.42476190476190473,0.38857142857142857,0.5060664682539683,0.7142857142857143,40,0.5,INTERLEAVED_MULTIROUND_FINAL
TRANSITION_PATTERN_M4_VS_M5,RAW_QUERY,RandomForest,AUC,0.41851190476190475,0.37761904761904763,0.5172825727513227,0.7619047619047619,40,0.5,INTERLEAVED_MULTIROUND_FINAL
AGENT_ID_10_WAY,RAW_QUERY,LogisticRegression,MACRO_F1,0.09289837941657064,0.09633333333333334,0.09875970611289342,0.6190476190476191,2000,0.1,INTERLEAVED_MULTIROUND_FINAL
AGENT_ID_10_WAY,RAW_QUERY,RandomForest,MACRO_F1,0.08839979266473227,0.09866666666666667,0.09140947558721217,0.6666666666666666,2000,0.1,INTERLEAVED_MULTIROUND_FINAL
REPEATED_TARGET_LINKABILITY,TIMING,LogisticRegression,AUC,0.4932253904039896,0.49780055481232194,0.5018123285244624,0.9047619047619048,4000,0.5,INTERLEAVED_MULTIROUND_FINAL
REPEATED_TARGET_LINKABILITY,TIMING,RandomForest,AUC,0.5082265666211544,0.5007330262600553,0.49819411381844225,0.14285714285714285,4000,0.5,INTERLEAVED_MULTIROUND_FINAL
FREQUENCY_RECOVERY_M0_VS_M2,TIMING,LogisticRegression,AUC,0.7379563492063492,0.6013095238095238,0.4578144841269841,0.047619047619047616,40,0.5,INTERLEAVED_MULTIROUND_FINAL
FREQUENCY_RECOVERY_M0_VS_M2,TIMING,RandomForest,AUC,0.5110317460317461,0.47428571428571425,0.47099421296296295,0.2857142857142857,40,0.5,INTERLEAVED_MULTIROUND_FINAL
RARE_AGENT_DETECTION_M0_VS_M1,TIMING,LogisticRegression,AUC,0.6122619047619048,0.6072619047619048,0.5303634259259259,0.14285714285714285,40,0.5,INTERLEAVED_MULTIROUND_FINAL
