attack,model,metric,score,ci_low,ci_high,permutation_baseline,permutation_p_value,samples,chance,accept,feature_set,split
AGENT_FREQUENCY_M0_V_M2,LogisticRegression,AUC,0.3611111111111111,0.055714285714285765,0.7430357142857144,0.6323611111111112,0.4129353233830846,12,0.5,True,PIR_SERVER_TIMING,FROZEN_CONFIRMATORY
AGENT_FREQUENCY_M0_V_M2,RandomForest,AUC,0.3194444444444444,0.0,0.6717724867724869,0.6517361111111111,0.373134328358209,12,0.5,True,PIR_SERVER_TIMING,FROZEN_CONFIRMATORY
RARE_AGENT_M0_V_M1,LogisticRegression,AUC,0.2777777777777778,0.0,0.7151785714285717,0.6527777777777778,0.27860696517412936,12,0.5,True,PIR_SERVER_TIMING,FROZEN_CONFIRMATORY
RARE_AGENT_M0_V_M1,RandomForest,AUC,0.3055555555555556,0.07035714285714288,0.6675000000000003,0.6270833333333333,0.25870646766169153,12,0.5,True,PIR_SERVER_TIMING,FROZEN_CONFIRMATORY
HANDOFF_TRANSITION_M4_V_M5,LogisticRegression,AUC,0.5555555555555556,0.21875,0.888888888888889,0.6379166666666667,0.8208955223880597,12,0.5,False,PIR_SERVER_TIMING,FROZEN_CONFIRMATORY
HANDOFF_TRANSITION_M4_V_M5,RandomForest,AUC,0.6388888888888888,0.32834325396825403,0.962962962962963,0.6422916666666667,0.46766169154228854,12,0.5,False,PIR_SERVER_TIMING,FROZEN_CONFIRMATORY
PIR_REAL_V_DUMMY_OCCUPANCY,LogisticRegression,AUC,0.3055555555555556,0.0,0.6257812500000002,0.6402777777777777,0.31840796019900497,12,0.5,True,PIR_SERVER_TIMING,FROZEN_CONFIRMATORY
PIR_REAL_V_DUMMY_OCCUPANCY,RandomForest,AUC,0.41666666666666663,0.0,0.7428571428571429,0.6365277777777778,0.6567164179104478,12,0.5,True,PIR_SERVER_TIMING,FROZEN_CONFIRMATORY
PIR_REPEATED_TARGET_LINKABILITY,LogisticRegression,AUC,0.5272095,0.5013829950802849,0.5534663239948335,0.5090489675,0.03482587064676617,2000,0.5,False,PIR_SERVER_TIMING,FROZEN_CONFIRMATORY
PIR_REPEATED_TARGET_LINKABILITY,RandomForest,AUC,0.52239,0.4956584124782328,0.5467690797174757,0.510579665,0.0945273631840796,2000,0.5,True,PIR_SERVER_TIMING,FROZEN_CONFIRMATORY
