model,split,seed,train_instances,test_instances,macro_f1_at_0_5,lowerable_precision_at_0_5,lowerable_recall_at_0_5,false_accept_rate_at_0_9,false_accept_count_at_0_9,negative_gold_count,abstention_rate_0_1_0_9,accepted_rate_at_0_9,mean_absolute_calibration_error,coverage_change_claimed,interpretation
LogisticRegression,FILE_GROUPED,510,3451,923,1.0,1.0,1.0,0.0,0,73,0.018418201516793076,0.9079089924160346,0.04022598318177701,NO,compile-time proposal only; verifier and semantic test still mandatory
LinearSVMCalibrated,FILE_GROUPED,510,3451,923,1.0,1.0,1.0,0.0,0,73,0.0010834236186348933,0.9209100758396533,0.0007616494737179828,NO,compile-time proposal only; verifier and semantic test still mandatory
RandomForestSVD,FILE_GROUPED,510,3451,923,1.0,1.0,1.0,0.0,0,73,0.023835319609967542,0.9079089924160346,0.02823835319609969,NO,compile-time proposal only; verifier and semantic test still mandatory
LogisticRegression,FILE_GROUPED,511,3464,910,0.9977424844578737,0.9962264150943396,1.0,0.0,0,382,0.01758241758241763,0.5703296703296703,0.04119789737762352,NO,compile-time proposal only; verifier and semantic test still mandatory
LinearSVMCalibrated,FILE_GROUPED,511,3464,910,0.9988716551083645,0.998109640831758,1.0,0.0,0,382,0.005494505494505475,0.5802197802197803,0.0034443072797260043,NO,compile-time proposal only; verifier and semantic test still mandatory
RandomForestSVD,FILE_GROUPED,511,3464,910,0.9966124787349283,0.9943502824858758,1.0,0.0,0,382,0.03516483516483515,0.5637362637362637,0.03621978021978023,NO,compile-time proposal only; verifier and semantic test still mandatory
LogisticRegression,FILE_GROUPED,512,2910,1464,0.9992417552537194,0.9989615784008308,1.0,0.0,0,502,0.06284153005464477,0.6086065573770492,0.04904209437348491,NO,compile-time proposal only; verifier and semantic test still mandatory
LinearSVMCalibrated,FILE_GROUPED,512,2910,1464,1.0,1.0,1.0,0.0,0,502,0.001366120218579181,0.657103825136612,0.0014905310956113763,NO,compile-time proposal only; verifier and semantic test still mandatory
RandomForestSVD,FILE_GROUPED,512,2910,1464,0.997723086462059,0.9968911917098445,1.0,0.0,0,502,0.4146174863387978,0.5621584699453552,0.10487704918032788,NO,compile-time proposal only; verifier and semantic test still mandatory
LogisticRegression,CROSS_FRAMEWORK:OpenAI Agents SDK->Microsoft Agent Framework,520,817,3557,0.6655102522073386,0.8355582524271845,0.9846263854129425,0.0,0,760,0.8819229687939275,0.10823727860556649,0.25425023597641067,NO,compile-time proposal only; verifier and semantic test still mandatory
LinearSVMCalibrated,CROSS_FRAMEWORK:OpenAI Agents SDK->Microsoft Agent Framework,520,817,3557,0.8566977189862025,0.9287699791521891,0.9556667858419735,0.0,0,760,0.3559179083497329,0.6322743885296598,0.16316813709199723,NO,compile-time proposal only; verifier and semantic test still mandatory
RandomForestSVD,CROSS_FRAMEWORK:OpenAI Agents SDK->Microsoft Agent Framework,520,817,3557,0.6948174546913178,0.84434250764526,0.9871290668573471,0.003947368421052632,3,760,0.34551588417205514,0.644363227438853,0.17966938431262303,NO,compile-time proposal only; verifier and semantic test still mandatory
LogisticRegression,CROSS_FRAMEWORK:Microsoft Agent Framework->OpenAI Agents SDK,520,3557,817,0.9739364009902254,0.9859353023909986,1.0,0.0,0,116,0.13708690330477358,0.8274173806609547,0.06448749420323789,NO,compile-time proposal only; verifier and semantic test still mandatory
LinearSVMCalibrated,CROSS_FRAMEWORK:Microsoft Agent Framework->OpenAI Agents SDK,520,3557,817,0.9739364009902254,0.9859353023909986,1.0,0.02586206896551724,3,116,0.01591187270501837,0.8616891064871481,0.013390653928823994,NO,compile-time proposal only; verifier and semantic test still mandatory
RandomForestSVD,CROSS_FRAMEWORK:Microsoft Agent Framework->OpenAI Agents SDK,520,3557,817,0.957321214020791,0.9776847977684798,1.0,0.0,0,116,0.09547123623011011,0.8457772337821298,0.055045287637698906,NO,compile-time proposal only; verifier and semantic test still mandatory
