causal,dummy_heavy_ops,dynamic_pir,error,framework,group,iteration,logical_actions,passed,profile_id,profile_overflow,public_sessions,resolved_not_admitted,rounds,schedule_misses,semantic_equal,silent_committed_result_loss,workflow
True,0,True,,OpenAI Agents SDK,TOOL_TO_TOOL,0,2,True,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,TOOL_TO_TOOL
True,0,True,,OpenAI Agents SDK,TOOL_TO_AGENT_AS_TOOL,1,2,True,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,TOOL_TO_AGENT_AS_TOOL
True,0,True,,OpenAI Agents SDK,AGENT_AS_TOOL_TO_TOOL,2,2,True,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,AGENT_AS_TOOL_TO_TOOL
True,0,True,,OpenAI Agents SDK,TOOL_TO_HANDOFF,3,2,True,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,TOOL_TO_HANDOFF
True,0,True,,Microsoft Agent Framework,MICROSOFT_TOOL_TO_AGENT_AS_TOOL,4,2,True,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,TOOL_TO_AGENT_AS_TOOL
True,0,True,,OpenAI Agents SDK,INTERNAL_TO_EXTERNAL,5,2,True,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,INTERNAL_TO_EXTERNAL
True,0,True,,OpenAI Agents SDK,EXTERNAL_TO_INTERNAL,6,2,True,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,EXTERNAL_TO_INTERNAL
True,0,True,,OpenAI Agents SDK,STRUCTURED_TOOL_TO_AGENT_AS_TOOL,7,2,True,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,TOOL_TO_AGENT_AS_TOOL
True,0,True,,OpenAI Agents SDK,STRICT_CAUSAL_10,8,10,True,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
True,0,True,,Microsoft Agent Framework,MICROSOFT_CAUSAL_3,9,3,True,V11_4-STRICT-ONLINE-H50-H3000-P10,0,1,0,356,0,True,0,DYNAMIC_SEQUENCE
