component,status,scale,metric,value,unit,source,reason
V8_PYTHON_REGRESSION,PASS,unit,tests_passed,11,count,tests/test_v8_standards_closure.py,"Local workspace-temp run"
UPSTREAM_OHTTP_VENDOR,PASS,unit,tests_passed,18,count,results_v9/linux_offline_validation.txt,"One vector test skipped because vectors absent"
V9_RFC_RELAY_ADMISSION,PASS,unit,top_level_tests_passed,11,count,results_v9/linux_offline_validation.txt,"Includes seven admission mismatch subtests"
PIR_POST_OHTTP_SMOKE,PASS,1000,authenticated_descriptors,4,count,results_v9/pir_v7_descriptor_smoke,"Repeated same-index query bytes were fresh"
PIR_POST_OHTTP_SMOKE,PASS,1000,full_preprocessing_setup,155.039,ms,results_v9/pir_v7_descriptor_smoke/simplepir/metrics.json,"Official SimplePIR full preprocessing"
PIR_POST_OHTTP_SMOKE,PASS,1000,mean_query_generation,2.35825,ms,results_v9/pir_v7_descriptor_smoke/simplepir/metrics.json,"Four queries"
PIR_POST_OHTTP_SMOKE,PASS,1000,mean_server_answer,0.3615,ms,results_v9/pir_v7_descriptor_smoke/simplepir/metrics.json,"Four queries"
PIR_POST_OHTTP_SMOKE,PASS,1000,mean_client_recovery,1.48975,ms,results_v9/pir_v7_descriptor_smoke/simplepir/metrics.json,"Four queries"
PIR_POST_OHTTP_SMOKE,PASS,1000,online_upload,2020,bytes,results_v9/pir_v7_descriptor_smoke/simplepir/metrics.json,"Per query"
PIR_POST_OHTTP_SMOKE,PASS,1000,online_download,6592,bytes,results_v9/pir_v7_descriptor_smoke/simplepir/metrics.json,"Per query"
OHTTP_REQUEST_SIZE,PASS,development,final_bytes,1079,bytes,OHTTP_SIZE_DEVELOPMENT_V9.csv,"Fixed across four request cases"
OHTTP_RESPONSE_SIZE,PASS,development,final_bytes,800,bytes,OHTTP_SIZE_DEVELOPMENT_V9.csv,"Fixed across five response cases"
CANONICAL_OHTTP,BLOCKED,,not_measured,,,"Full composed command absent"
CANONICAL_BASELINES,NOT_RUN,,not_measured,,,"Functional gate did not pass"
