group,path,files,physical_loc,approx_code_loc,inside_tee,runtime_tcb
TEE_CONTROL_RUNTIME,confidential_v5/attestation.py,1,155,128,YES,YES
TEE_CONTROL_RUNTIME,confidential_v5/profiles.py,1,67,54,YES,YES
TEE_CONTROL_RUNTIME,confidential_v5/membership.py,1,57,39,YES,YES
TEE_CONTROL_RUNTIME,confidential_v5/resolution.py,1,69,55,YES,YES
TEE_CONTROL_RUNTIME,confidential_v5/verifier.py,1,60,50,YES,YES
TEE_CONTROL_RUNTIME,confidential_v5/kernel.py,1,49,38,YES,YES
TEE_CONTROL_RUNTIME,agent_control_virtualization/ir.py,1,130,103,YES,YES
TEE_CONTROL_RUNTIME,privacy_kernel/control.py,1,211,190,YES,YES
TEE_CONTROL_RUNTIME,privacy_kernel/protocol.py,1,173,145,YES,YES
TEE_CONTROL_RUNTIME,privacy_kernel/lookup.py,1,117,103,YES,YES
TEE_REFERENCE_SEMANTIC_RUNTIME,agent_control_virtualization/ir_v2.py,1,116,88,YES,YES
TEE_REFERENCE_SEMANTIC_RUNTIME,agent_control_virtualization/runtime_v2.py,1,324,286,YES,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/diagnostics.go,1,69,61,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/mapping_linux.go,1,38,34,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/mapping_windows.go,1,46,42,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/operation_journal.go,1,155,140,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/pacer.go,1,220,208,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/platform_linux.go,1,75,66,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/platform_windows.go,1,50,43,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/profile.go,1,67,61,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/protocol.go,1,346,319,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/provider.go,1,231,210,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/ring.go,1,110,99,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/transport.go,1,53,45,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/worker.go,1,212,204,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/cmd/gateway-pacer/main.go,1,37,34,NO,YES
TRUSTED_GATEWAY_OUTSIDE_TEE_OR_SEPARATE_CVM,common_action_gateway_v2/cmd/gateway-worker/main.go,1,41,38,NO,YES
COMPILER_CLASSIFIER_NOT_RUNTIME_TCB,agent_control_virtualization/compiler.py,1,130,113,NO,NO
COMPILER_CLASSIFIER_NOT_RUNTIME_TCB,agent_control_virtualization/compiler_v2.py,1,110,99,NO,NO
COMPILER_CLASSIFIER_NOT_RUNTIME_TCB,canonical_v3/compiler.py,1,56,47,NO,NO
COMPILER_CLASSIFIER_NOT_RUNTIME_TCB,semantic_fidelity/harness_v3.py,1,177,158,NO,NO
COMPILER_CLASSIFIER_NOT_RUNTIME_TCB,scripts/run_v5_offline_classifier.py,1,173,150,NO,NO
FULL_TRUSTED_RUNTIME_OPENAI,external_stage10/openai-agents-python/src/agents,307,126731,108200,BASELINE,BASELINE
FULL_TRUSTED_RUNTIME_MICROSOFT,external_stage9/agent-framework/python/packages/core/agent_framework,81,61513,48652,BASELINE,BASELINE
