runtime,family,variant,feature_set,model,mean_auc,ci_low,ci_high,permutation_baseline,permutation_p_value,episodes,tasks,split
Microsoft Agent Framework,AUTHORIZATION,M2,READY_TIME,LogisticRegression,1.0,0.9999999999999999,1.0,0.5003125,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,READY_TIME,LogisticRegression,1.0,1.0,1.0,0.513828125,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,READY_TIME,RandomForest,1.0,0.9999999999999999,1.0,0.5019444444444444,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,READY_TIME,RandomForest,1.0,1.0,1.0,0.51375,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,QUEUE_DELAY,LogisticRegression,1.0,0.9999999999999999,1.0,0.5097309027777777,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,QUEUE_DELAY,LogisticRegression,1.0,1.0,1.0,0.5109375,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,QUEUE_DELAY,RandomForest,1.0,1.0,1.0,0.5101171875,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,QUEUE_DELAY,RandomForest,1.0,1.0,1.0,0.5347265625,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,RELEASE_SLIP,LogisticRegression,0.5,0.5,0.5,0.5,1.0,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,RELEASE_SLIP,LogisticRegression,0.5,0.5,0.5,0.5,1.0,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,RELEASE_SLIP,RandomForest,0.5,0.5,0.5,0.5,1.0,96,16,GROUPED_TASK_4FOLD
