attack,observation_count,model,metric,score,ci_low,ci_high,permutation_baseline_mean,permutation_baseline_ci_low,permutation_baseline_ci_high,permutation_p_value,test_samples,test_groups,chance,engineering_gate,split,resamples,feature_set
TOOL_SEQUENCE_FREQUENCY,10,LogisticRegression,AUC,0.6525,0.5677035714285713,0.7462857142857142,0.4998073611111111,0.3805555555555556,0.619173611111111,0.013993003498250875,120,12,0.5,False,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_FREQUENCY,10,RandomForest,AUC,0.6594444444444445,0.5421685267857143,0.7711605820105819,0.5008434722222223,0.3477777777777778,0.6653749999999994,0.04897551224387806,120,12,0.5,False,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_RARE_EVENT,10,LogisticRegression,AUC,0.42861111111111105,0.29616785714285715,0.5629464285714285,0.4995155555555556,0.37772222222222224,0.6216666666666667,0.30834582708645675,120,12,0.5,True,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_RARE_EVENT,10,RandomForest,AUC,0.4883333333333334,0.3907322751322751,0.590359375,0.5003655555555555,0.40527777777777774,0.5944444444444446,0.8370814592703648,120,12,0.5,True,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_TRANSITION,10,LogisticRegression,AUC,0.5991666666666666,0.4694409722222222,0.72705625,0.501207638888889,0.35916666666666663,0.6463888888888888,0.15792103948025987,120,12,0.5,False,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_TRANSITION,10,RandomForest,AUC,0.5416666666666666,0.4277685185185185,0.6505714285714285,0.5017422222222223,0.3888611111111111,0.6111388888888887,0.5007496251874063,120,12,0.5,True,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_FREQUENCY,50,LogisticRegression,AUC,0.6041666666666667,0.3142857142857143,0.8672670717592589,0.49979166666666663,0.25,0.7708333333333334,0.45077461269365315,24,12,0.5,False,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_FREQUENCY,50,RandomForest,AUC,0.5972222222222222,0.34025297619047623,0.8286607142857139,0.49920659722222227,0.27083333333333337,0.7291666666666667,0.4577711144427786,24,12,0.5,False,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_RARE_EVENT,50,LogisticRegression,AUC,0.24305555555555555,0.02777777777777779,0.5185185185185185,0.5048576388888889,0.2222222222222222,0.7777777777777778,0.08095952023988005,24,12,0.5,True,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_RARE_EVENT,50,RandomForest,AUC,0.3576388888888889,0.1352529761904762,0.5694444444444444,0.49619444444444444,0.2569444444444445,0.7361979166666661,0.27436281859070466,24,12,0.5,True,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_TRANSITION,50,LogisticRegression,AUC,0.6111111111111112,0.3239417989417989,0.8671875,0.4988645833333334,0.2498263888888889,0.7571180555555546,0.42278860569715143,24,12,0.5,False,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_TRANSITION,50,RandomForest,AUC,0.42361111111111105,0.19444444444444442,0.6749999999999999,0.50096875,0.2708333333333333,0.7396701388888883,0.5557221389305347,24,12,0.5,True,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_FREQUENCY,100,LogisticRegression,AUC,0.5833333333333333,0.2,0.9142857142857143,0.500736111111111,0.13888888888888887,0.8333333333333334,0.6846576711644178,12,12,0.5,False,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_FREQUENCY,100,RandomForest,AUC,0.625,0.25,0.9571428571428571,0.4978194444444445,0.1527777777777778,0.8333333333333335,0.5072463768115942,12,12,0.5,False,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_RARE_EVENT,100,LogisticRegression,AUC,0.16666666666666666,0.0,0.5,0.5040833333333333,0.16666666666666666,0.8333333333333334,0.0559720139930035,12,12,0.5,True,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_RARE_EVENT,100,RandomForest,AUC,0.25,0.0,0.6285714285714286,0.4926458333333334,0.1527777777777778,0.8333333333333334,0.15942028985507245,12,12,0.5,True,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_TRANSITION,100,LogisticRegression,AUC,0.6388888888888888,0.2571428571428572,0.9714285714285715,0.503125,0.16666666666666666,0.8333333333333334,0.49225387306346824,12,12,0.5,False,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
TOOL_SEQUENCE_TRANSITION,100,RandomForest,AUC,0.6527777777777778,0.2711383928571429,1.0,0.5055763888888889,0.18055555555555552,0.8472222222222222,0.4237881059470265,12,12,0.5,False,FROZEN_CONFIRMATORY_GROUPED,2000,FROZEN_SOCKET_TIMING_ALL
