rank,behavior_family,unsupported_instances,percent_of_all_unsupported,cumulative_instances,cumulative_percent,source_files,openai_instances,openai_source_files,microsoft_instances,microsoft_source_files,structured_bounded_candidates,arbitrary_callback_or_runtime,mixed_or_bound_not_proven,extractor_false_positive_or_out_of_scope,exact_lowering_feasibility,required_ir_primitive
1,state_memory,1589,0.41684155299055614,1589,0.41684155299055614,101,325,56,1264,45,0,0,1589,0,PARTIAL_SUBSET,"typed STATE_GET/SET/APPEND/CAS with session, version, transaction, and failure semantics"
2,middleware,932,0.24449108079748164,2521,0.6613326337880377,14,0,0,932,14,0,932,0,0,NO_GENERAL_EXACT_LOWERING,"stage-specific declarative hook opcodes for restricted middleware; otherwise a trusted native middleware boundary"
3,conditional_edge,738,0.19359916054564533,3259,0.8549317943336832,195,530,160,208,35,450,142,0,146,PARTIAL_SUBSET,"typed side-effect-free predicate bytecode plus BRANCH"
4,loop,165,0.04328436516264428,3424,0.8982161594963274,75,101,50,64,25,6,0,159,0,PARTIAL_SUBSET,"public-bounded LOOP with explicit counter and break/continue/failure semantics"
5,fanout_fanin,156,0.040923399790136414,3580,0.9391395592864638,64,82,41,74,23,0,2,2,152,PARTIAL_SUBSET,"FORK/JOIN/PARALLEL_GROUP with public maximum width/order/cancellation/reducer semantics"
6,hitl_resume,143,0.03751311647429171,3723,0.9766526757607555,39,97,30,46,9,63,0,80,0,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics"
7,agents_as_tools,61,0.016002098635886673,3784,0.9926547743966422,12,25,9,36,3,0,0,61,0,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, bounded nested-capsule stack, protected argument/result ABI"
8,dynamic_instructions,18,0.00472193074501574,3802,0.9973767051416579,16,18,16,0,0,0,5,13,0,NO_GENERAL_EXACT_LOWERING,"bounded instruction templates with typed context selectors; otherwise a trusted native callback boundary"
9,guardrail,7,0.0018363064008394543,3809,0.9992130115424974,3,7,3,0,0,0,7,0,0,NO_GENERAL_EXACT_LOWERING,"typed declarative policy predicates for a restricted subset; otherwise a trusted native guardrail boundary"
10,conditional_handoff_callback,3,0.0007869884575026233,3812,1.0,3,3,3,0,0,0,3,0,0,NO_GENERAL_EXACT_LOWERING,"declarative handoff-filter predicate subset; otherwise a trusted native callback boundary"
