framework,source_path,source_sha,source_line,action_family,adapter_id,native_executor_verified,canonical_executor_verified,external_network_required,prior_exclusion_status,deterministic_selection_score,eligible,detail,argument_name,source_compatibility_result,compatibility_scope
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,12,instructions,NONE,false,false,unknown,EXCLUDED,03b951c5f615efccca6764d8a72a91c40440a2102107d5960f5da3d1a7a362e0,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,18,instructions,NONE,false,false,unknown,EXCLUDED,815f5334c35375e6f388e8adc168122fc7d336aa994cf3cbc725b9ef8df5622b,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,24,instructions,NONE,false,false,unknown,EXCLUDED,a3e9be5be269fcc604a71fe4d8abe3471fa4763cbaeb41b354e95e1be806b63d,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,30,instructions,NONE,false,false,unknown,EXCLUDED,b36589b6bc0521ddf9e9dc35cc545eb257dc896ec2059b74c90f63fd087331ce,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,38,agents_as_tools,NONE,false,false,unknown,EXCLUDED,b9c1dd04eafe305652411f47b5c33ec1553225b9fb63edfecc3e822872e872a8,false,spanish_agent.as_tool,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,42,agents_as_tools,NONE,false,false,unknown,EXCLUDED,6636775b3f4a59fcde080c1f0a1ae081b456fbea5b883a546820209fc7c6f275,false,french_agent.as_tool,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,46,agents_as_tools,NONE,false,false,unknown,EXCLUDED,b3a87f27dab8733d345819eac2b7c545493ce59ec52a87080a14eddbd5c789c0,false,italian_agent.as_tool,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,53,instructions,NONE,false,false,unknown,EXCLUDED,3901a0cad92a0f1094d63c4ddb4a6cae21eb272aa74aadec23c64384104df5ff,false,Agent,,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools.py,9e86cc3a1570a329ebdf531f13c23748813e834397d5452f6cd2840aea877565,82,conditional_edge,NONE,false,false,unknown,EXCLUDED,313d457fec17461c83f679e7ab0ab67673a100ec2d51a00c73fab1f55bd28a86,false,__name__ == '__main__',,NO_FROZEN_ADAPTER_OR_SOURCE,NO_FROZEN_ADAPTER
OpenAI Agents SDK,examples/agent_patterns/agents_as_tools_conditional.py,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,31,tool,OPENAI_GENERIC_FUNCTION_TOOL_V10_1,false,false,unknown,CLEAR,5a4b17a9413172494bfef76fa110f42d94d7a2fb2b1e3b6cab37b2241d2c8994,false,get_user_name,,NO_ONE_STRING_ARGUMENT_DECORATED_TOOL_DEFINITION,frozen corpus row resolves to a locally parseable @tool/@function_tool callable with one str argument; generic action name and argument-name adaptation only
