candidate_id,framework,pinned_commit,source_path,source_sha256,source_line,source_detail,frozen_corpus_disposition,adapter_id,effect_semantics,scenario,effect_contract_origin,external_network_required,public_profile_id,argument_schema,arguments,eligible
S1U-091291370102fc4c,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,432,add_comment,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""comment"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""comment"": ""v11a-0102fc4c-0""}",True
S1U-0c468e4d635b78ca,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/agent_lifecycle_example.py,02fbe5380aecb3ad1295f8fda54f3d76731e82fa11a529cee491c67cd435d57a,83,multiply_by_two,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT""}","{""x"": 7}",True
S1U-132286bae2ea1f28,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_example/server.py,6b890151e410ca4e30d639927210696173885518c38e22ed0e2d66c12b45148a,15,add,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""a"", ""primitive_type"": ""int""}, {""name"": ""b"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""a"": 7, ""b"": 8}",True
S1U-1e170bb8530de0ce,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,1532,returns_dict,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT""}","{""x"": 7}",True
S1U-1f5efff80786854c,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,816,invalid_args_test,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}, {""name"": ""y"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""x"": 7, ""y"": 8}",True
S1U-22b675715cecbe0d,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,54,test_tool,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}, {""name"": ""y"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""x"": 7, ""y"": 8}",True
S1U-25e8a3b34958c5f3,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,1415,slow,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT""}","{""x"": 7}",True
S1U-285589852e26e16e,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1291,argument_scoped_tool,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""value"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""value"": ""v11a-2e26e16e-0""}",True
S1U-304f0e88f5f63292,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,781,async_telemetry_test,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}, {""name"": ""y"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""x"": 7, ""y"": 8}",True
S1U-3212f47e12602cb7,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/sandbox_agents_as_tools.py,7faa28a264219ab9694252e88c10f4bb0c2dc9842ebbae13e3e045ce59735c28,78,get_discount_approval_rule,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""discount_percent"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT""}","{""discount_percent"": 7}",True
