baseline,dimension,arm_a_functional,arm_b_functional,full_public_structural_projection_equal,size_projection_equal,request_count_equal,response_count_equal,scheduled_lifetime_equal,endpoint_connection_view_equal,evidence_class
B0_DIRECT_NATIVE,P1_AGENT_IDENTITY,True,True,False,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P2_TOOL_ROUTE_IDENTITY,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P3_ACTION_KIND,True,True,False,False,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P4_ACTUAL_ACTION_COUNT,True,True,False,False,False,False,False,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P5_REPETITION,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P6_FREQUENCY_SKEW,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P7_RARE_TARGET,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P8_TRANSITION_ORDER,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P9_PRIVATE_ARGUMENT_SIZE,True,True,False,False,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P10_PROVIDER_READINESS,True,True,False,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P11_INTERNAL_EXTERNAL,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P12_CAUSAL_DEPTH,True,True,False,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P13_AGENT_SERVICE_SUBTYPE,True,True,False,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B0_DIRECT_NATIVE,P14_DYNAMIC_PRIVATE_RESOLUTION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P1_AGENT_IDENTITY,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P2_TOOL_ROUTE_IDENTITY,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P3_ACTION_KIND,True,True,False,False,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P4_ACTUAL_ACTION_COUNT,True,True,False,False,False,False,False,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P5_REPETITION,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P6_FREQUENCY_SKEW,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P7_RARE_TARGET,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P8_TRANSITION_ORDER,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P9_PRIVATE_ARGUMENT_SIZE,True,True,False,False,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P10_PROVIDER_READINESS,True,True,False,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P11_INTERNAL_EXTERNAL,True,True,False,True,True,True,True,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P12_CAUSAL_DEPTH,True,True,False,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P13_AGENT_SERVICE_SUBTYPE,True,True,False,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B1_PIR_PLUS_DIRECT_ACTION,P14_DYNAMIC_PRIVATE_RESOLUTION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P1_AGENT_IDENTITY,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P2_TOOL_ROUTE_IDENTITY,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P3_ACTION_KIND,True,True,False,False,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P4_ACTUAL_ACTION_COUNT,True,True,False,False,False,False,False,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P5_REPETITION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P6_FREQUENCY_SKEW,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P7_RARE_TARGET,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P8_TRANSITION_ORDER,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P9_PRIVATE_ARGUMENT_SIZE,True,True,False,False,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P10_PROVIDER_READINESS,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P11_INTERNAL_EXTERNAL,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P12_CAUSAL_DEPTH,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P13_AGENT_SERVICE_SUBTYPE,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B2_PIR_PLUS_OHTTP_UNSHAPED,P14_DYNAMIC_PRIVATE_RESOLUTION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P1_AGENT_IDENTITY,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P2_TOOL_ROUTE_IDENTITY,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P3_ACTION_KIND,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P4_ACTUAL_ACTION_COUNT,True,True,False,False,False,False,False,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P5_REPETITION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P6_FREQUENCY_SKEW,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P7_RARE_TARGET,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P8_TRANSITION_ORDER,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P9_PRIVATE_ARGUMENT_SIZE,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P10_PROVIDER_READINESS,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P11_INTERNAL_EXTERNAL,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P12_CAUSAL_DEPTH,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P13_AGENT_SERVICE_SUBTYPE,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B3_PIR_PLUS_OHTTP_PADDED,P14_DYNAMIC_PRIVATE_RESOLUTION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P1_AGENT_IDENTITY,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P2_TOOL_ROUTE_IDENTITY,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P3_ACTION_KIND,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P4_ACTUAL_ACTION_COUNT,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P5_REPETITION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P6_FREQUENCY_SKEW,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P7_RARE_TARGET,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P8_TRANSITION_ORDER,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P9_PRIVATE_ARGUMENT_SIZE,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P10_PROVIDER_READINESS,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P11_INTERNAL_EXTERNAL,True,True,False,False,False,False,False,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P12_CAUSAL_DEPTH,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P13_AGENT_SERVICE_SUBTYPE,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
