task_id,framework,observer,raw_protocol_seed64,sklearn_final_seed32,selected_train_model,train_cv_raw_auc,train_score_orientation,train_distinguishability_auc,eval_point_auc,eval_ci95_two_sided_low,eval_ci95_two_sided_high,eval_lcb99_5_one_sided,early_fail,train_blocks,eval_blocks
C1_REGISTRY_RESOLUTION_PATTERN,OpenAI Agents SDK,REGISTRY,14552047685264191170,179809986,HIST_GRADIENT_BOOSTING,0.7092901234567901,NORMAL,0.7092901234567901,0.7457638888888889,0.6829861111111111,0.8049322916666667,0.6631930555555555,True,180,120
C1_REGISTRY_RESOLUTION_PATTERN,Microsoft Agent Framework,REGISTRY,4560611577508095680,199714496,EXTRA_TREES,0.5464969135802469,NORMAL,0.5464969135802469,0.5629166666666666,0.49027777777777776,0.6334045138888889,0.4661097222222222,False,180,120
T4,OpenAI Agents SDK,RELAY,14579829428572261794,936775074,HIST_GRADIENT_BOOSTING,0.5820987654320988,NORMAL,0.5820987654320988,0.4644444444444444,0.3880520833333333,0.5413888888888889,0.3649982638888889,False,180,120
T4,Microsoft Agent Framework,RELAY,9633546906280841166,3689861070,HIST_GRADIENT_BOOSTING,0.44580246913580246,INVERTED,0.5541975308641975,0.48986111111111114,0.4103472222222222,0.567015625,0.38756770833333337,False,180,120
T7,OpenAI Agents SDK,REGISTRY,11769243308013624132,3108739908,EXTRA_TREES,0.6778703703703703,NORMAL,0.6778703703703703,0.7232638888888889,0.6588177083333333,0.7850729166666667,0.6388152777777778,True,180,120
T7,OpenAI Agents SDK,RELAY,11769243308013624133,3108739909,HIST_GRADIENT_BOOSTING,0.9508641975308643,NORMAL,0.9508641975308643,0.980763888888889,0.9681232638888889,0.9909739583333333,0.962221875,True,180,120
T7,Microsoft Agent Framework,REGISTRY,8314846559404874298,1328863802,EXTRA_TREES,0.6010339506172839,NORMAL,0.6010339506172839,0.6391666666666667,0.5716649305555556,0.7040972222222223,0.549375,False,180,120
T7,Microsoft Agent Framework,RELAY,8314846559404874299,1328863803,HIST_GRADIENT_BOOSTING,0.9679012345679012,NORMAL,0.9679012345679012,0.9693055555555555,0.9468055555555556,0.9875694444444445,0.9374996527777778,True,180,120
T9,OpenAI Agents SDK,RELAY,11773565815010490504,3479304328,HIST_GRADIENT_BOOSTING,0.9778395061728395,NORMAL,0.9778395061728395,0.9779861111111111,0.9579166666666666,0.9930555555555556,0.9504163194444445,True,180,120
T9,Microsoft Agent Framework,RELAY,10796639723386509680,408099184,HIST_GRADIENT_BOOSTING,0.9860493827160495,NORMAL,0.9860493827160495,0.9902777777777778,0.9809027777777778,0.9969444444444444,0.9765277777777778,True,180,120
