role,coordinate_id,task,framework,observer,original_early_failure,feature_family,feature_width,result_origin,selected_model,train_cv_raw_auc,train_orientation,train_distinguishability_auc,eval_auc,eval_ci95_low,eval_ci95_high,eval_lcb99_5,frozen_boundary_exceeded,train_blocks,eval_blocks
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-C1_REGISTRY_RESOLUTION_PATTERN-OA,C1_REGISTRY_RESOLUTION_PATTERN,OpenAI Agents SDK,REGISTRY,True,REGISTRY_REQUEST_ONLY,223,POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,HIST_GRADIENT_BOOSTING,0.7002777777777779,NORMAL,0.7002777777777779,0.6730555555555555,0.6051388888888889,0.7369461805555555,0.5851371527777778,True,180,120
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-C1_REGISTRY_RESOLUTION_PATTERN-OA,C1_REGISTRY_RESOLUTION_PATTERN,OpenAI Agents SDK,REGISTRY,True,REGISTRY_RESPONSE_ONLY,112,POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,EXTRA_TREES,0.6573456790123456,NORMAL,0.6573456790123456,0.7556250000000001,0.6836805555555555,0.8210434027777778,0.6625666666666666,True,180,120
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-C1_REGISTRY_RESOLUTION_PATTERN-OA,C1_REGISTRY_RESOLUTION_PATTERN,OpenAI Agents SDK,REGISTRY,True,REGISTRY_QUERY_RESPONSE_ONLY,112,POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,LOGISTIC_REGRESSION,0.5733024691358024,NORMAL,0.5733024691358024,0.5135416666666667,0.44006770833333336,0.5867378472222222,0.41604027777777774,False,180,120
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-C1_REGISTRY_RESOLUTION_PATTERN-OA,C1_REGISTRY_RESOLUTION_PATTERN,OpenAI Agents SDK,REGISTRY,True,REGISTRY_REQUEST_PLUS_RESPONSE,335,POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,HIST_GRADIENT_BOOSTING,0.6969135802469136,NORMAL,0.6969135802469136,0.6929861111111111,0.6252760416666667,0.7572222222222222,0.602290625,True,180,120
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-C1_REGISTRY_RESOLUTION_PATTERN-OA,C1_REGISTRY_RESOLUTION_PATTERN,OpenAI Agents SDK,REGISTRY,True,REGISTRY_ALL,448,IMMUTABLE_ORIGINAL_V3_1_RESULT_REUSED,HIST_GRADIENT_BOOSTING,0.7092901234567901,NORMAL,0.7092901234567901,0.7457638888888889,0.6829861111111111,0.8049322916666667,0.6631930555555555,True,180,120
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-C1_REGISTRY_RESOLUTION_PATTERN-MS,C1_REGISTRY_RESOLUTION_PATTERN,Microsoft Agent Framework,REGISTRY,False,REGISTRY_REQUEST_ONLY,223,POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,EXTRA_TREES,0.5422839506172838,NORMAL,0.5422839506172838,0.6006250000000001,0.52909375,0.6713211805555556,0.5056920138888888,False,180,120
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-C1_REGISTRY_RESOLUTION_PATTERN-MS,C1_REGISTRY_RESOLUTION_PATTERN,Microsoft Agent Framework,REGISTRY,False,REGISTRY_RESPONSE_ONLY,112,POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,EXTRA_TREES,0.5474382716049383,NORMAL,0.5474382716049383,0.5093055555555556,0.4355520833333333,0.5805555555555556,0.41124930555555556,False,180,120
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-C1_REGISTRY_RESOLUTION_PATTERN-MS,C1_REGISTRY_RESOLUTION_PATTERN,Microsoft Agent Framework,REGISTRY,False,REGISTRY_QUERY_RESPONSE_ONLY,112,POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,HIST_GRADIENT_BOOSTING,0.4662654320987655,INVERTED,0.5337345679012345,0.49291666666666667,0.4191666666666667,0.5657656249999999,0.3985413194444445,False,180,120
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-C1_REGISTRY_RESOLUTION_PATTERN-MS,C1_REGISTRY_RESOLUTION_PATTERN,Microsoft Agent Framework,REGISTRY,False,REGISTRY_REQUEST_PLUS_RESPONSE,335,POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,EXTRA_TREES,0.5570679012345678,NORMAL,0.5570679012345678,0.6070833333333333,0.5322222222222223,0.6765295138888888,0.5092354166666667,False,180,120
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-C1_REGISTRY_RESOLUTION_PATTERN-MS,C1_REGISTRY_RESOLUTION_PATTERN,Microsoft Agent Framework,REGISTRY,False,REGISTRY_ALL,448,IMMUTABLE_ORIGINAL_V3_1_RESULT_REUSED,EXTRA_TREES,0.5464969135802469,NORMAL,0.5464969135802469,0.5629166666666666,0.49027777777777776,0.6334045138888889,0.4661097222222222,False,180,120
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T4-OA,T4,OpenAI Agents SDK,RELAY,False,RELAY_REQUEST_ONLY,1035,POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,LOGISTIC_REGRESSION,0.5566975308641975,NORMAL,0.5566975308641975,0.474375,0.3993732638888889,0.5471545138888889,0.37631805555555553,False,180,120
