role,coordinate_id,task,framework,public_slot,selected_sessions_per_class,class0_median_request_relative_ns,class1_median_request_relative_ns,class1_minus_class0_request_relative_ns,class0_median_response_send_relative_ns,class1_median_response_send_relative_ns,class1_minus_class0_response_send_relative_ns,class0_median_request_response_latency_ns,class1_median_request_response_latency_ns,class1_minus_class0_request_response_latency_ns
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,1,300,0.0,0.0,0.0,4248741.5,4353358.5,104617.0,4248741.5,4353358.5,104617.0
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,2,300,9773728.5,9780084.0,6355.5,11113332.0,11063800.5,-49531.5,1332218.5,1297547.5,-34671.0
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,3,300,19801252.0,19799434.0,-1818.0,21015610.5,21019031.0,3420.5,1202933.5,1215416.0,12482.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,4,300,29877984.0,29868398.5,-9585.5,31506486.0,31021950.5,-484535.5,1625966.5,1132209.5,-493757.0
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,5,300,39948124.0,39959340.0,11216.0,41327243.0,41152049.0,-175194.0,1318954.0,1176273.5,-142680.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,6,300,50028985.5,50008699.0,-20286.5,51319610.0,51266238.0,-53372.0,1280521.0,1204741.5,-75779.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,7,300,60126738.0,60109422.0,-17316.0,61356790.0,61396940.5,40150.5,1223953.0,1243309.0,19356.0
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,8,300,70238349.0,70235225.5,-3123.5,71473553.5,71570893.0,97339.5,1216804.5,1307133.5,90329.0
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,9,300,80279446.5,80253954.5,-25492.0,81494624.0,81772339.0,277715.0,1181623.0,1471889.5,290266.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,10,300,90349320.5,90349325.0,4.5,91589901.5,91643456.0,53554.5,1205544.5,1243719.5,38175.0
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,11,300,100460712.0,100449549.5,-11162.5,101770033.0,101766821.0,-3212.0,1257786.0,1262362.5,4576.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,12,300,110517765.5,110530698.0,12932.5,111723238.0,111711129.0,-12109.0,1182950.0,1158379.5,-24570.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,13,300,120586048.5,120586984.0,935.5,121819895.0,121846404.0,26509.0,1210742.0,1211838.5,1096.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,14,300,130668115.5,130654746.5,-13369.0,131917061.0,131899602.0,-17459.0,1219571.0,1187168.0,-32403.0
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,15,300,140752717.0,140745257.5,-7459.5,142005774.0,141985088.5,-20685.5,1213488.0,1188347.0,-25141.0
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,16,300,150853577.0,150827470.5,-26106.5,152018499.5,152057450.5,38951.0,1153835.0,1169739.5,15904.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,17,300,160905485.0,160906658.0,1173.0,162240312.5,162216889.5,-23423.0,1279634.0,1237940.0,-41694.0
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,18,300,171012902.0,170974719.0,-38183.0,172263545.0,172242700.0,-20845.0,1200931.0,1225129.5,24198.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,19,300,181087908.5,181068477.0,-19431.5,182348832.5,182320195.5,-28637.0,1241464.0,1201396.5,-40067.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,20,300,191175592.5,191150270.5,-25322.0,192397016.5,192371435.0,-25581.5,1181208.5,1183199.5,1991.0
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,21,300,201237029.5,201241243.0,4213.5,202522024.0,202485776.5,-36247.5,1226156.0,1196270.5,-29885.5
POST_OUTCOME_DEVELOPMENT_DIAGNOSTIC,P10-T7-OA,T7,OpenAI Agents SDK,22,300,211407688.0,211391634.0,-16054.0,212771897.0,212778928.5,7031.5,1359862.5,1369574.0,9711.5
