task,observer,framework,eval_auc,lcb99_5,ci95_low,ci95_high,selected_model,status
C1_REGISTRY_RESOLUTION_PATTERN,REGISTRY,OpenAI Agents SDK,,,,,,NOT_AVAILABLE_ANALYSIS_HARNESS_FAILURE
C1_REGISTRY_RESOLUTION_PATTERN,REGISTRY,Microsoft Agent Framework,,,,,,NOT_AVAILABLE_ANALYSIS_HARNESS_FAILURE
T4,RELAY,OpenAI Agents SDK,,,,,,NOT_AVAILABLE_ANALYSIS_HARNESS_FAILURE
T4,RELAY,Microsoft Agent Framework,,,,,,NOT_AVAILABLE_ANALYSIS_HARNESS_FAILURE
T7,REGISTRY,OpenAI Agents SDK,,,,,,NOT_AVAILABLE_ANALYSIS_HARNESS_FAILURE
T7,RELAY,OpenAI Agents SDK,,,,,,NOT_AVAILABLE_ANALYSIS_HARNESS_FAILURE
T7,REGISTRY,Microsoft Agent Framework,,,,,,NOT_AVAILABLE_ANALYSIS_HARNESS_FAILURE
T7,RELAY,Microsoft Agent Framework,,,,,,NOT_AVAILABLE_ANALYSIS_HARNESS_FAILURE
T9,RELAY,OpenAI Agents SDK,,,,,,NOT_AVAILABLE_ANALYSIS_HARNESS_FAILURE
T9,RELAY,Microsoft Agent Framework,,,,,,NOT_AVAILABLE_ANALYSIS_HARNESS_FAILURE
