task,framework,observer,status,selected_train_model,train_cv_raw_auc,train_orientation,train_distinguishability_auc,eval_auc,eval_ci95_low,eval_ci95_high,eval_lcb99_5,randomization_p,early_timing_failure,train_blocks,eval_blocks
C1_REGISTRY_RESOLUTION_PATTERN,OpenAI Agents SDK,REGISTRY,NOT_EVALUABLE_ANALYSIS_HARNESS_FAILURE,,,,,,,,,,NOT_EVALUATED,180,120
C1_REGISTRY_RESOLUTION_PATTERN,Microsoft Agent Framework,REGISTRY,NOT_EVALUABLE_ANALYSIS_HARNESS_FAILURE,,,,,,,,,,NOT_EVALUATED,180,120
T4,OpenAI Agents SDK,RELAY,NOT_EVALUABLE_ANALYSIS_HARNESS_FAILURE,,,,,,,,,,NOT_EVALUATED,180,120
T4,Microsoft Agent Framework,RELAY,NOT_EVALUABLE_ANALYSIS_HARNESS_FAILURE,,,,,,,,,,NOT_EVALUATED,180,120
T7,OpenAI Agents SDK,REGISTRY,NOT_EVALUABLE_ANALYSIS_HARNESS_FAILURE,,,,,,,,,,NOT_EVALUATED,180,120
T7,OpenAI Agents SDK,RELAY,NOT_EVALUABLE_ANALYSIS_HARNESS_FAILURE,,,,,,,,,,NOT_EVALUATED,180,120
T7,Microsoft Agent Framework,REGISTRY,NOT_EVALUABLE_ANALYSIS_HARNESS_FAILURE,,,,,,,,,,NOT_EVALUATED,180,120
T7,Microsoft Agent Framework,RELAY,NOT_EVALUABLE_ANALYSIS_HARNESS_FAILURE,,,,,,,,,,NOT_EVALUATED,180,120
T9,OpenAI Agents SDK,RELAY,NOT_EVALUABLE_ANALYSIS_HARNESS_FAILURE,,,,,,,,,,NOT_EVALUATED,180,120
T9,Microsoft Agent Framework,RELAY,NOT_EVALUABLE_ANALYSIS_HARNESS_FAILURE,,,,,,,,,,NOT_EVALUATED,180,120
