baseline,real_operations,attempted_repetitions,measured_repetitions,metric,median,p95,mean,stddev
B0_DIRECT_NATIVE,1,30,30,logical_action_latency_ms,4.27137,5.012898,47.53933163333333,232.7883803032608
B0_DIRECT_NATIVE,1,30,30,framework_result_latency_ms,4.27137,5.012898,47.53933163333333,232.7883803032608
B0_DIRECT_NATIVE,1,30,30,session_wall_ms,4.27137,5.012898,47.53933163333333,232.7883803032608
B0_DIRECT_NATIVE,1,30,30,bytes_sent,16.0,16.0,16.0,0.0
B0_DIRECT_NATIVE,1,30,30,bytes_received,35.0,35.0,35.0,0.0
B0_DIRECT_NATIVE,1,30,30,pir_request_bytes,0.0,0.0,0.0,0.0
B0_DIRECT_NATIVE,1,30,30,pir_response_bytes,0.0,0.0,0.0,0.0
B0_DIRECT_NATIVE,1,30,30,total_bytes,51.0,51.0,51.0,0.0
B0_DIRECT_NATIVE,1,30,30,cpu_ms,4.335,5.105001,47.60529996666667,232.78421096115738
B0_DIRECT_NATIVE,1,30,30,peak_rss_bytes,110891008.0,110891008.0,110791475.2,130820.66569631369
B0_DIRECT_NATIVE,5,30,30,logical_action_latency_ms,2.696638,2.8549362,2.7099026133333335,0.06067136929337561
B0_DIRECT_NATIVE,5,30,30,framework_result_latency_ms,2.696638,2.8549362,2.7099026133333335,0.06067136929337561
B0_DIRECT_NATIVE,5,30,30,session_wall_ms,13.48319,14.274681,13.549513066666666,0.3033568464668778
B0_DIRECT_NATIVE,5,30,30,bytes_sent,82.0,82.0,82.0,0.0
B0_DIRECT_NATIVE,5,30,30,bytes_received,175.0,175.0,175.0,0.0
B0_DIRECT_NATIVE,5,30,30,pir_request_bytes,0.0,0.0,0.0,0.0
B0_DIRECT_NATIVE,5,30,30,pir_response_bytes,0.0,0.0,0.0,0.0
B0_DIRECT_NATIVE,5,30,30,total_bytes,257.0,257.0,257.0,0.0
B0_DIRECT_NATIVE,5,30,30,cpu_ms,13.59,14.383001,13.640600066666666,0.31150053341911876
B0_DIRECT_NATIVE,5,30,30,peak_rss_bytes,111726592.0,112001024.0,111587191.46666667,294278.8739731678
B0_DIRECT_NATIVE,10,30,30,logical_action_latency_ms,2.79925035,2.8658237,2.8021322466666665,0.03399732339945535
B0_DIRECT_NATIVE,10,30,30,framework_result_latency_ms,2.79925035,2.8658237,2.8021322466666665,0.03399732339945535
B0_DIRECT_NATIVE,10,30,30,session_wall_ms,27.992503499999998,28.658237,28.021322466666668,0.3399732339945537
B0_DIRECT_NATIVE,10,30,30,bytes_sent,220.0,220.0,220.0,0.0
B0_DIRECT_NATIVE,10,30,30,bytes_received,350.0,350.0,350.0,0.0
B0_DIRECT_NATIVE,10,30,30,pir_request_bytes,0.0,0.0,0.0,0.0
B0_DIRECT_NATIVE,10,30,30,pir_response_bytes,0.0,0.0,0.0,0.0
B0_DIRECT_NATIVE,10,30,30,total_bytes,570.0,570.0,570.0,0.0
B0_DIRECT_NATIVE,10,30,30,cpu_ms,28.1595,28.837,28.178233366666667,0.3459490087768696
B0_DIRECT_NATIVE,10,30,30,peak_rss_bytes,112947200.0,113905664.0,112987204.26666667,533657.8027652135
B0_DIRECT_NATIVE,25,30,30,logical_action_latency_ms,3.46514526,3.63777676,3.542138052,0.4370832983201671
B0_DIRECT_NATIVE,25,30,30,framework_result_latency_ms,3.46514526,3.63777676,3.542138052,0.4370832983201671
B0_DIRECT_NATIVE,25,30,30,session_wall_ms,86.6286315,90.944419,88.5534513,10.927082458004177
B0_DIRECT_NATIVE,25,30,30,bytes_sent,587.0,587.0,587.0,0.0
B0_DIRECT_NATIVE,25,30,30,bytes_received,875.0,875.0,875.0,0.0
B0_DIRECT_NATIVE,25,30,30,pir_request_bytes,0.0,0.0,0.0,0.0
B0_DIRECT_NATIVE,25,30,30,pir_response_bytes,0.0,0.0,0.0,0.0
B0_DIRECT_NATIVE,25,30,30,total_bytes,1462.0,1462.0,1462.0,0.0
B0_DIRECT_NATIVE,25,30,30,cpu_ms,86.983,91.378,88.91830013333333,10.912329329264223
B0_DIRECT_NATIVE,25,30,30,peak_rss_bytes,117436416.0,117710848.0,116921548.8,1141529.6272700767
B0_DIRECT_NATIVE,50,30,30,logical_action_latency_ms,4.6116964199999995,6.18675034,4.768884107333333,0.46898274155706277
B0_DIRECT_NATIVE,50,30,30,framework_result_latency_ms,4.6116964199999995,6.18675034,4.768884107333333,0.46898274155706277
B0_DIRECT_NATIVE,50,30,30,session_wall_ms,230.584821,309.337517,238.44420536666667,23.449137077853138
B0_DIRECT_NATIVE,50,30,30,bytes_sent,1255.0,1255.0,1255.0,0.0
B0_DIRECT_NATIVE,50,30,30,bytes_received,1750.0,1750.0,1750.0,0.0
B0_DIRECT_NATIVE,50,30,30,pir_request_bytes,0.0,0.0,0.0,0.0
B0_DIRECT_NATIVE,50,30,30,pir_response_bytes,0.0,0.0,0.0,0.0
B0_DIRECT_NATIVE,50,30,30,total_bytes,3005.0,3005.0,3005.0,0.0
B0_DIRECT_NATIVE,50,30,30,cpu_ms,231.322,310.107,239.16203336666666,23.412415910210697
B0_DIRECT_NATIVE,50,30,30,peak_rss_bytes,122867712.0,122871808.0,122552046.93333334,724590.7226455007
B1_PIR_PLUS_DIRECT_ACTION,1,30,30,logical_action_latency_ms,6.5253875,9.593855,7.2278541333333335,1.7439278733340957
B1_PIR_PLUS_DIRECT_ACTION,1,30,30,framework_result_latency_ms,6.5253875,9.593855,7.2278541333333335,1.7439278733340957
B1_PIR_PLUS_DIRECT_ACTION,1,30,30,session_wall_ms,6.5253875,9.593855,7.2278541333333335,1.7439278733340957
B1_PIR_PLUS_DIRECT_ACTION,1,30,30,bytes_sent,16.0,16.0,16.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,1,30,30,bytes_received,35.0,35.0,35.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,1,30,30,pir_request_bytes,280.0,280.0,280.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,1,30,30,pir_response_bytes,3296.0,3296.0,3296.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,1,30,30,total_bytes,3627.0,3627.0,3627.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,1,30,30,cpu_ms,7.216,36.39,11.3141666,10.805086275946369
B1_PIR_PLUS_DIRECT_ACTION,1,30,30,peak_rss_bytes,123887616.0,123887616.0,123887479.46666667,735.254501667431
B1_PIR_PLUS_DIRECT_ACTION,5,30,30,logical_action_latency_ms,5.0972372,12.6132584,7.290904713333333,3.971073721227251
B1_PIR_PLUS_DIRECT_ACTION,5,30,30,framework_result_latency_ms,5.0972372,12.6132584,7.290904713333333,3.971073721227251
B1_PIR_PLUS_DIRECT_ACTION,5,30,30,session_wall_ms,25.486186,63.066292,36.454523566666666,19.855368606136256
B1_PIR_PLUS_DIRECT_ACTION,5,30,30,bytes_sent,82.0,82.0,82.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,5,30,30,bytes_received,175.0,175.0,175.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,5,30,30,pir_request_bytes,1400.0,1400.0,1400.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,5,30,30,pir_response_bytes,16480.0,16480.0,16480.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,5,30,30,total_bytes,18137.0,18137.0,18137.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,5,30,30,cpu_ms,48.5995005,92.389001,48.84436676666667,23.63145025566457
B1_PIR_PLUS_DIRECT_ACTION,5,30,30,peak_rss_bytes,124653568.0,124653568.0,124425011.2,349126.27886562765
B1_PIR_PLUS_DIRECT_ACTION,10,30,30,logical_action_latency_ms,6.5267821,10.090043699999999,6.5996051,1.8175619408228416
B1_PIR_PLUS_DIRECT_ACTION,10,30,30,framework_result_latency_ms,6.5267821,10.090043699999999,6.5996051,1.8175619408228416
B1_PIR_PLUS_DIRECT_ACTION,10,30,30,session_wall_ms,65.267821,100.900437,65.996051,18.175619408228417
B1_PIR_PLUS_DIRECT_ACTION,10,30,30,bytes_sent,220.0,220.0,220.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,10,30,30,bytes_received,350.0,350.0,350.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,10,30,30,pir_request_bytes,2800.0,2800.0,2800.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,10,30,30,pir_response_bytes,32960.0,32960.0,32960.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,10,30,30,total_bytes,36330.0,36330.0,36330.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,10,30,30,cpu_ms,93.5074995,129.696,92.7759664,23.17733812141229
B1_PIR_PLUS_DIRECT_ACTION,10,30,30,peak_rss_bytes,124653568.0,124653568.0,124653568.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,25,30,30,logical_action_latency_ms,7.650739440000001,10.80977852,7.152968970666667,1.8278990668167512
B1_PIR_PLUS_DIRECT_ACTION,25,30,30,framework_result_latency_ms,7.650739440000001,10.80977852,7.152968970666667,1.8278990668167512
B1_PIR_PLUS_DIRECT_ACTION,25,30,30,session_wall_ms,191.268486,270.244463,178.82422426666668,45.69747667041878
B1_PIR_PLUS_DIRECT_ACTION,25,30,30,bytes_sent,587.0,587.0,587.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,25,30,30,bytes_received,875.0,875.0,875.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,25,30,30,pir_request_bytes,7000.0,7000.0,7000.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,25,30,30,pir_response_bytes,82400.0,82400.0,82400.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,25,30,30,total_bytes,90862.0,90862.0,90862.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,25,30,30,cpu_ms,241.7815,325.650999,237.61143323333334,52.15035640633957
B1_PIR_PLUS_DIRECT_ACTION,25,30,30,peak_rss_bytes,124891136.0,125100032.0,124878574.93333334,156164.29365317654
B1_PIR_PLUS_DIRECT_ACTION,50,30,30,logical_action_latency_ms,8.30093908,9.8208434,8.157339001333334,0.9584098789507871
B1_PIR_PLUS_DIRECT_ACTION,50,30,30,framework_result_latency_ms,8.30093908,9.8208434,8.157339001333334,0.9584098789507871
B1_PIR_PLUS_DIRECT_ACTION,50,30,30,session_wall_ms,415.046954,491.04217,407.8669500666667,47.920493947539356
B1_PIR_PLUS_DIRECT_ACTION,50,30,30,bytes_sent,1255.0,1255.0,1255.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,50,30,30,bytes_received,1750.0,1750.0,1750.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,50,30,30,pir_request_bytes,14000.0,14000.0,14000.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,50,30,30,pir_response_bytes,164800.0,164800.0,164800.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,50,30,30,total_bytes,181805.0,181805.0,181805.0,0.0
B1_PIR_PLUS_DIRECT_ACTION,50,30,30,cpu_ms,525.705,611.423999,524.1818999333333,50.92839775155036
B1_PIR_PLUS_DIRECT_ACTION,50,30,30,peak_rss_bytes,127062016.0,128061440.0,126562986.66666667,1139075.474282699
B2_PIR_PLUS_OHTTP_UNSHAPED,1,30,30,logical_action_latency_ms,15.386168000000001,19.744781,15.597792133333334,3.075277936732578
B2_PIR_PLUS_OHTTP_UNSHAPED,1,30,30,framework_result_latency_ms,15.386168000000001,19.744781,15.597792133333334,3.075277936732578
B2_PIR_PLUS_OHTTP_UNSHAPED,1,30,30,session_wall_ms,15.386168000000001,19.744781,15.597792133333334,3.075277936732578
B2_PIR_PLUS_OHTTP_UNSHAPED,1,30,30,bytes_sent,463.0,463.0,463.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,1,30,30,bytes_received,230.0,230.0,230.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,1,30,30,pir_request_bytes,280.0,280.0,280.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,1,30,30,pir_response_bytes,3296.0,3296.0,3296.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,1,30,30,total_bytes,4269.0,4269.0,4269.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,1,30,30,cpu_ms,33.997,58.142001,37.27119986666666,11.08514149153062
B2_PIR_PLUS_OHTTP_UNSHAPED,1,30,30,peak_rss_bytes,128098304.0,128098304.0,128098304.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,5,30,30,logical_action_latency_ms,4.1916692,5.6560558,4.24061688,0.7761494243187292
B2_PIR_PLUS_OHTTP_UNSHAPED,5,30,30,framework_result_latency_ms,4.1916692,5.6560558,4.24061688,0.7761494243187292
B2_PIR_PLUS_OHTTP_UNSHAPED,5,30,30,session_wall_ms,20.958346,28.280279,21.203084399999998,3.880747121593646
B2_PIR_PLUS_OHTTP_UNSHAPED,5,30,30,bytes_sent,2315.0,2315.0,2315.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,5,30,30,bytes_received,1150.0,1150.0,1150.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,5,30,30,pir_request_bytes,1400.0,1400.0,1400.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,5,30,30,pir_response_bytes,16480.0,16480.0,16480.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,5,30,30,total_bytes,21345.0,21345.0,21345.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,5,30,30,cpu_ms,44.3635,76.053,48.43179993333333,12.9090996322119
B2_PIR_PLUS_OHTTP_UNSHAPED,5,30,30,peak_rss_bytes,128098304.0,128098304.0,128098304.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,10,30,30,logical_action_latency_ms,3.0648524999999998,3.9869882,3.0155726366666666,0.47360972081443
B2_PIR_PLUS_OHTTP_UNSHAPED,10,30,30,framework_result_latency_ms,3.0648524999999998,3.9869882,3.0155726366666666,0.47360972081443
B2_PIR_PLUS_OHTTP_UNSHAPED,10,30,30,session_wall_ms,30.648525,39.869882,30.155726366666666,4.736097208144299
B2_PIR_PLUS_OHTTP_UNSHAPED,10,30,30,bytes_sent,4630.0,4630.0,4630.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,10,30,30,bytes_received,2300.0,2300.0,2300.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,10,30,30,pir_request_bytes,2800.0,2800.0,2800.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,10,30,30,pir_response_bytes,32960.0,32960.0,32960.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,10,30,30,total_bytes,42690.0,42690.0,42690.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,10,30,30,cpu_ms,72.524,87.599,71.00613326666667,10.943188644469235
B2_PIR_PLUS_OHTTP_UNSHAPED,10,30,30,peak_rss_bytes,128098304.0,128098304.0,128098304.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,25,30,30,logical_action_latency_ms,2.50798492,3.1028936,2.586896362666667,0.3352216290839698
B2_PIR_PLUS_OHTTP_UNSHAPED,25,30,30,framework_result_latency_ms,2.50798492,3.1028936,2.586896362666667,0.3352216290839698
B2_PIR_PLUS_OHTTP_UNSHAPED,25,30,30,session_wall_ms,62.699623,77.57234,64.67240906666666,8.380540727099245
B2_PIR_PLUS_OHTTP_UNSHAPED,25,30,30,bytes_sent,11575.0,11575.0,11575.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,25,30,30,bytes_received,5750.0,5750.0,5750.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,25,30,30,pir_request_bytes,7000.0,7000.0,7000.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,25,30,30,pir_response_bytes,82400.0,82400.0,82400.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,25,30,30,total_bytes,106725.0,106725.0,106725.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,25,30,30,cpu_ms,143.3579995,164.026,144.66509993333332,13.828631421395738
B2_PIR_PLUS_OHTTP_UNSHAPED,25,30,30,peak_rss_bytes,128098304.0,128098304.0,128098304.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,50,30,30,logical_action_latency_ms,2.9143478099999998,3.1831348200000003,2.876662844,0.2084333085874016
B2_PIR_PLUS_OHTTP_UNSHAPED,50,30,30,framework_result_latency_ms,2.9143478099999998,3.1831348200000003,2.876662844,0.2084333085874016
B2_PIR_PLUS_OHTTP_UNSHAPED,50,30,30,session_wall_ms,145.7173905,159.156741,143.8331422,10.421665429370082
B2_PIR_PLUS_OHTTP_UNSHAPED,50,30,30,bytes_sent,23150.0,23150.0,23150.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,50,30,30,bytes_received,11500.0,11500.0,11500.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,50,30,30,pir_request_bytes,14000.0,14000.0,14000.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,50,30,30,pir_response_bytes,164800.0,164800.0,164800.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,50,30,30,total_bytes,213450.0,213450.0,213450.0,0.0
B2_PIR_PLUS_OHTTP_UNSHAPED,50,30,30,cpu_ms,323.1139995,353.560001,322.6794331666667,20.828555415165823
B2_PIR_PLUS_OHTTP_UNSHAPED,50,30,30,peak_rss_bytes,128098304.0,128098304.0,128098304.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,1,30,30,logical_action_latency_ms,16.0417205,20.616498,15.919962866666667,2.6610163008283347
B3_PIR_PLUS_OHTTP_PADDED,1,30,30,framework_result_latency_ms,16.0417205,20.616498,15.919962866666667,2.6610163008283347
B3_PIR_PLUS_OHTTP_PADDED,1,30,30,session_wall_ms,16.0417205,20.616498,15.919962866666667,2.6610163008283347
B3_PIR_PLUS_OHTTP_PADDED,1,30,30,bytes_sent,1079.0,1079.0,1079.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,1,30,30,bytes_received,800.0,800.0,800.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,1,30,30,pir_request_bytes,280.0,280.0,280.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,1,30,30,pir_response_bytes,3296.0,3296.0,3296.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,1,30,30,total_bytes,5455.0,5455.0,5455.0,0.0
B3_PIR_PLUS_OHTTP_PADDED,1,30,30,cpu_ms,35.7150005,54.014001,38.168733333333336,11.810639002013794
