negative,expected_fail_closed_class,observed_class,provider_effect_count,dummy_heavy_provider_work,evidence,status
descriptor ciphertext/tag tamper,AUTHENTICATION_FAILURE,AUTHENTICATION_FAILURE,0,0,tests/test_v8_standards_closure.py::test_descriptor_v7_fixed_authenticated_and_bound_to_agent_epoch,PASS
descriptor AgentID mismatch,DESCRIPTOR_ID_MISMATCH,DESCRIPTOR_ID_MISMATCH,0,0,tests/test_v8_standards_closure.py::test_descriptor_v7_fixed_authenticated_and_bound_to_agent_epoch,PASS
catalog epoch mismatch,CATALOG_EPOCH_MISMATCH,CATALOG_EPOCH_MISMATCH,0,0,tests/test_v8_standards_closure.py::test_descriptor_v7_fixed_authenticated_and_bound_to_agent_epoch,PASS
descriptor trust/capability rejection,AUTHORIZATION_REJECTED,AUTHORIZATION_REJECTED,0,0,tests/test_v8_standards_closure.py::test_profiles_require_explicit_cloud_local_policy_and_record_leakage,PASS
unauthorized route,AUTHORIZATION_REJECTED,AUTHORIZATION_REJECTED,0,0,tests/test_v8_standards_closure.py::test_tool_route_is_separate_from_agent_service_route_and_unauthorized_fails,PASS
invalid action kind/subtype,INVALID_ACTION,INVALID_ACTION,0,0,tests/test_v8_standards_closure.py::test_descriptor_v7_rejects_authenticated_malformed_enum_and_schema,PASS
wrong OHTTP key ID,OHTTP_SUITE_REJECTED,OHTTP_SUITE_REJECTED,0,0,common_action_gateway_v2/v9ohttp::TestRFC9458RejectsTruncatedAndUnconfiguredSuite,PASS
wrong config epoch,HARNESS_INTEGRITY_FAILURE,HARNESS_INTEGRITY_FAILURE,0,0,tests/test_v12_closure.py::test_public_profile_config_epoch_mutation_fails_artifact_binding,PASS
corrupted OHTTP request ciphertext,OHTTP_DECAPSULATION_FAILURE,OHTTP_DECAPSULATION_FAILURE,0,0,common_action_gateway_v2/v9ohttp::TestRFC9458RejectsTruncatedAndUnconfiguredSuite,PASS
corrupted OHTTP response ciphertext,OHTTP_DECAPSULATION_FAILURE,OHTTP_DECAPSULATION_FAILURE,0,0,common_action_gateway_v2/v9ohttp::TestRFC9458WrongSlotAndModifiedResponseFail,PASS
replayed slot request,REPLAY_REJECTED,REPLAY_REJECTED,0,0,common_action_gateway_v2/canonicalv9::TestV11_1GatewaySlotRegistryRejectsInvalidAndDuplicateSlots,PASS
cross-session slot substitution,SLOT_BINDING_REJECTED,SLOT_BINDING_REJECTED,0,0,common_action_gateway_v2::TestSequenceValidatorRejectsReplayAndWrongSession,PASS
duplicate round,DUPLICATE_SLOT_REJECTED,DUPLICATE_SLOT_REJECTED,0,0,common_action_gateway_v2/canonicalv9::TestV11_1GatewaySlotRegistryRejectsInvalidAndDuplicateSlots,PASS
out-of-range round,OUT_OF_RANGE_SLOT_REJECTED,OUT_OF_RANGE_SLOT_REJECTED,0,0,common_action_gateway_v2/canonicalv9::TestV11_1GatewaySlotRegistryRejectsInvalidAndDuplicateSlots,PASS
private action admitted after H,PROFILE_ADMISSION_CLOSED,PROFILE_ADMISSION_CLOSED,0,0,common_action_gateway_v2/canonicalv9::TestV11_2OnlineCapacityRejectsWithoutSecondSession,PASS
oversized BHTTP/request,OVERSIZE_REJECTED,OVERSIZE_REJECTED,0,0,tests/test_v11_full_scope.py::test_oversize_private_envelope_is_rejected_without_profile_resize,PASS
oversized response,OVERSIZE_REJECTED,OVERSIZE_REJECTED,0,0,common_action_gateway_v2/v9ohttp::TestRFC9292AllResponseCasesRoundTrip,PASS
malformed structured args,SCHEMA_REJECTED,SCHEMA_REJECTED,0,0,tests/test_v8_standards_closure.py::test_descriptor_v7_rejects_authenticated_malformed_enum_and_schema,PASS
duplicate operation result,DUPLICATE_SUPPRESSED,DUPLICATE_SUPPRESSED,0,0,tests/test_v8_standards_closure.py::test_trusted_delivery_ledger_suppresses_durable_duplicate,PASS
unexpected operation ID,UNEXPECTED_RESULT_REJECTED,UNEXPECTED_RESULT_REJECTED,0,0,common_action_gateway_v2/v7::TestDurableQueueDeduplicatesAndFailsClosedAtCapacity,PASS
missing operation result,SESSION_FUNCTIONAL_FAILURE,SESSION_FUNCTIONAL_FAILURE,0,0,common_action_gateway_v2/v7::TestDeliveryOfOneTenFiftyAndOneHundredOperations,PASS
non-idempotent recovery ambiguity,EFFECT_OUTCOME_UNKNOWN,EFFECT_OUTCOME_UNKNOWN,0,0,common_action_gateway_v2::TestJournalFailedNonIdempotentCallRequiresReconciliation,PASS
