identity,coordinate_id,task,framework,protected_class,public_slot,release_slip_ns,preparation_lateness_ns
DEV-TAD-P10-T7-OA-SENTINEL-B50005-C1,P10-T7-OA,T7,OpenAI Agents SDK,1,1,137141239,137136613
DEV-TAD-P10-T9-OA-SENTINEL-B50012-C1,P10-T9-OA,T9,OpenAI Agents SDK,1,1,139089337,138984242
DEV-TAD-P10-T9-OA-SENTINEL-B50015-C1,P10-T9-OA,T9,OpenAI Agents SDK,1,1,111413891,111367686
DEV-TAD-P10-T7-MS-SENTINEL-B50030-C0,P10-T7-MS,T7,Microsoft Agent Framework,0,1,75085761,74853017
DEV-TAD-P10-T7-MS-SENTINEL-B50030-C0,P10-T7-MS,T7,Microsoft Agent Framework,0,25,26860987,26856241
DEV-TAD-P10-C1_REGISTRY_RESOLUTION_PATTERN-OA-SENTINEL-B50039-C0,P10-C1_REGISTRY_RESOLUTION_PATTERN-OA,C1_REGISTRY_RESOLUTION_PATTERN,OpenAI Agents SDK,0,1,1609885,1604998
DEV-TAD-P10-T7-MS-SENTINEL-B50044-C1,P10-T7-MS,T7,Microsoft Agent Framework,1,1,137864922,137751820
DEV-TAD-P10-T7-OA-SENTINEL-B50051-C1,P10-T7-OA,T7,OpenAI Agents SDK,1,1,8717788,8712865
DEV-TAD-P10-T9-MS-SENTINEL-B50054-C0,P10-T9-MS,T9,Microsoft Agent Framework,0,1,58809187,58803223
DEV-TAD-P10-T9-MS-SENTINEL-B50054-C0,P10-T9-MS,T9,Microsoft Agent Framework,0,25,85074828,85070171
DEV-TAD-P10-T9-MS-SENTINEL-B50054-C0,P10-T9-MS,T9,Microsoft Agent Framework,0,97,38603182,38598642
DEV-TAD-P10-T9-MS-SENTINEL-B50062-C0,P10-T9-MS,T9,Microsoft Agent Framework,0,19,66191356,66187707
DEV-TAD-P10-T9-MS-SENTINEL-B50062-C0,P10-T9-MS,T9,Microsoft Agent Framework,0,28,69194294,69190576
