identity,kind,framework,workload,configuration,repetition,execution_order,start_timestamp_ns,semantic_completion_timestamp_ns,end_timestamp_ns,semantic_completion_ms,public_session_wall_ms,expected_operation_count,executed_operation_count,successful_provider_calls,result_count,semantic_result_equality,causal_order_equality,final_framework_state_equality,relay_cell_count,registry_query_count,public_transcript_complete,resolved_not_admitted,silent_loss,profile_overflow,success,failure_category,retries
DEV-V4R8-FINAL-UTILITY-OA-ORDINARY_TOOL-NATIVE-M001,MEASURED,OpenAI Agents SDK,ORDINARY_TOOL,NATIVE,1,NATIVE_THEN_OAE,1788403244530183710,1788403244537396428,1788403244537396428,7.211806,,1,1,1,1,True,True,True,,,,,,,True,,0
DEV-V4R8-FINAL-UTILITY-OA-ORDINARY_TOOL-OAE_V4R8-M001,MEASURED,OpenAI Agents SDK,ORDINARY_TOOL,OAE_V4R8,1,NATIVE_THEN_OAE,1788403247141532269,1788403247564516111,1788403253260833162,422.982273,6119.324372,1,1,1,1,True,True,True,521,100,True,0,0,0,True,,0
DEV-V4R8-FINAL-UTILITY-OA-AGENT_AS_TOOL_TRANSITION-NATIVE-M001,MEASURED,OpenAI Agents SDK,AGENT_AS_TOOL_TRANSITION,NATIVE,1,NATIVE_THEN_OAE,1788403253274042169,1788403253293164401,1788403253293164401,19.120743,,2,2,2,2,True,True,True,,,,,,,True,,0
DEV-V4R8-FINAL-UTILITY-OA-AGENT_AS_TOOL_TRANSITION-OAE_V4R8-M001,MEASURED,OpenAI Agents SDK,AGENT_AS_TOOL_TRANSITION,OAE_V4R8,1,NATIVE_THEN_OAE,1788403255928586590,1788403256479057372,1788403262027540113,550.469084,6098.979444,2,2,2,2,True,True,True,521,100,True,0,0,0,True,,0
DEV-V4R8-FINAL-UTILITY-OA-CACHE_REUSE_30-NATIVE-M001,MEASURED,OpenAI Agents SDK,CACHE_REUSE_30,NATIVE,1,NATIVE_THEN_OAE,1788403262041989619,1788403262239698856,1788403262239698856,197.707488,,30,30,30,30,True,True,True,,,,,,,True,,0
DEV-V4R8-FINAL-UTILITY-OA-CACHE_REUSE_30-OAE_V4R8-M001,MEASURED,OpenAI Agents SDK,CACHE_REUSE_30,OAE_V4R8,1,NATIVE_THEN_OAE,1788403264837496342,1788403266842135833,1788403270967563487,2004.638069,6130.092294,30,30,30,30,True,True,True,521,100,True,0,0,0,True,,0
DEV-V4R8-FINAL-UTILITY-OA-CAPACITY_50-NATIVE-M001,MEASURED,OpenAI Agents SDK,CAPACITY_50,NATIVE,1,NATIVE_THEN_OAE,1788403270984323803,1788403271096071915,1788403271096071915,111.746637,,50,50,50,50,True,True,True,,,,,,,True,,0
DEV-V4R8-FINAL-UTILITY-OA-CAPACITY_50-OAE_V4R8-M001,MEASURED,OpenAI Agents SDK,CAPACITY_50,OAE_V4R8,1,NATIVE_THEN_OAE,1788403273705544573,1788403274639597267,1788403279798132344,934.051164,6092.612341,50,50,50,50,True,True,True,521,100,True,0,0,0,True,,0
DEV-V4R8-FINAL-UTILITY-MS-ORDINARY_TOOL-NATIVE-M001,MEASURED,Microsoft Agent Framework,ORDINARY_TOOL,NATIVE,1,NATIVE_THEN_OAE,1788403279811774395,1788403279818045456,1788403279818045456,6.269382,,1,1,1,1,True,True,True,,,,,,,True,,0
DEV-V4R8-FINAL-UTILITY-MS-ORDINARY_TOOL-OAE_V4R8-M001,MEASURED,Microsoft Agent Framework,ORDINARY_TOOL,OAE_V4R8,1,NATIVE_THEN_OAE,1788403282435946615,1788403282851502069,1788403288526623822,415.553835,6090.704041,1,1,1,1,True,True,True,521,100,True,0,0,0,True,,0
