framework,workload,configuration,N,successes,failures,success_rate,semantic_latency_sample_N,semantic_median_ms,semantic_p95_ms,semantic_mean_ms,semantic_std_ms,semantic_min_ms,semantic_max_ms,public_session_latency_sample_N,public_session_median_ms,public_session_p95_ms,additive_overhead_ms,multiplicative_overhead
OpenAI Agents SDK,ORDINARY_TOOL,NATIVE,30,30,0,1.0,30,11.884156,15.792584349999995,11.3537693,2.7318541293763907,7.144416,16.771041,0,,,414.74638999999996,35.89910347861472
OpenAI Agents SDK,ORDINARY_TOOL,OAE_V4R8,30,30,0,1.0,30,426.630546,497.66443555,447.8953024333333,76.89641322701061,410.713321,838.054469,30,6099.7215694999995,6117.78463535,414.74638999999996,35.89910347861472
OpenAI Agents SDK,AGENT_AS_TOOL_TRANSITION,NATIVE,30,30,0,1.0,30,19.8511885,21.829463049999994,20.2048453,1.5125061762668115,18.956901,27.176529,0,,,589.64423,30.703220540170683
OpenAI Agents SDK,AGENT_AS_TOOL_TRANSITION,OAE_V4R8,30,30,0,1.0,30,609.4954185,1142.5363662499994,656.9070086333334,206.86133783892157,543.394122,1449.889912,30,6099.8263375,6112.8880023,589.64423,30.703220540170683
OpenAI Agents SDK,CACHE_REUSE_30,NATIVE,30,30,0,1.0,30,206.47132399999998,227.36078719999998,208.29863656666666,18.327883702490773,193.902718,293.81104,0,,,1888.2182595,10.145184052289993
OpenAI Agents SDK,CACHE_REUSE_30,OAE_V4R8,30,28,2,0.9333333333333333,28,2094.6895835,2268.27201285,2094.1032550714285,91.12603369178852,1978.035821,2304.918953,28,6096.456685499999,6178.7507051,1888.2182595,10.145184052289993
OpenAI Agents SDK,CAPACITY_50,NATIVE,30,30,0,1.0,30,121.8473355,128.33457055,122.12782726666667,19.673539260190815,110.378181,221.300968,0,,,881.4700575,8.234216931235235
OpenAI Agents SDK,CAPACITY_50,OAE_V4R8,30,29,1,0.9666666666666667,29,1003.317393,1385.216480399999,1044.4971755862068,253.3945674544253,931.415365,2200.616118,29,6107.324289,6205.419309,881.4700575,8.234216931235235
Microsoft Agent Framework,ORDINARY_TOOL,NATIVE,30,30,0,1.0,30,6.448212,7.3973797999999995,6.479390933333334,0.4801242212679988,5.378359,7.55558,0,,,415.49479599999995,65.43565999380914
Microsoft Agent Framework,ORDINARY_TOOL,OAE_V4R8,30,30,0,1.0,30,421.94300799999996,521.9891321999996,434.2528795333333,42.67562132375423,411.030719,596.242825,30,6094.6836015,6111.960342,415.49479599999995,65.43565999380914
Microsoft Agent Framework,AGENT_AS_TOOL_TRANSITION,NATIVE,30,30,0,1.0,30,8.997468999999999,10.022665799999997,9.0359777,0.5910503668359464,8.183776,10.801787,0,,,563.179191,63.59306822840957
Microsoft Agent Framework,AGENT_AS_TOOL_TRANSITION,OAE_V4R8,30,30,0,1.0,30,572.17666,743.6573552999998,585.1133959666666,64.2294959053404,533.90341,772.374862,30,6100.7998975,6124.678636000001,563.179191,63.59306822840957
Microsoft Agent Framework,CACHE_REUSE_30,NATIVE,30,30,0,1.0,30,59.4067675,74.78825484999994,62.2229816,19.095898086923917,51.200784,157.961379,0,,,1571.6707244999998,27.456088938015352
Microsoft Agent Framework,CACHE_REUSE_30,OAE_V4R8,30,27,3,0.9,27,1631.077492,1817.1580815,1750.279892037037,517.4953255066974,1574.797405,4314.472277,27,6095.468052,6155.9890285,1571.6707244999998,27.456088938015352
Microsoft Agent Framework,CAPACITY_50,NATIVE,30,30,0,1.0,30,86.72382400000001,194.7320160499999,96.04200993333333,35.69889866367153,74.383566,207.637685,0,,,867.900771,11.007639550119467
Microsoft Agent Framework,CAPACITY_50,OAE_V4R8,30,29,1,0.9666666666666667,29,954.624595,1615.9715329999979,1024.2978017931034,300.02781134997053,898.124053,2173.689805,29,6101.672071,6198.8006055999995,867.900771,11.007639550119467
