case,repetition,found,oprf_request_bytes,oprf_response_bytes,query_request_bytes,query_response_bytes,request_messages,response_messages,protocol_rounds,oprf_ms,query_construction_ms,query_roundtrip_ms,result_processing_ms
PROVISIONED,1,True,104,104,697972,1579652,2,2,2,17.201792,14.02681,27.307664,5.053069
PROVISIONED,2,True,104,104,697972,1579652,2,2,2,12.174749,13.103397,24.760847,5.05652
PROVISIONED,3,True,104,104,697972,1579652,2,2,2,7.791507,13.11569,23.961313,5.014839
PROVISIONED,4,True,104,104,697972,1579652,2,2,2,7.996636,13.057491,25.389774,5.112269
PROVISIONED,5,True,104,104,697972,1579652,2,2,2,8.791727,13.044021,24.257428,5.115224
PROVISIONED,6,True,104,104,697972,1579652,2,2,2,7.716432,13.038013,24.356493,5.006611
PROVISIONED,7,True,104,104,697972,1579652,2,2,2,6.790384,13.028648,23.765949,4.938921
PROVISIONED,8,True,104,104,697972,1579652,2,2,2,7.651639,13.046073,24.105834,4.975717
PROVISIONED,9,True,104,104,697972,1579652,2,2,2,7.627593,13.031101,24.4872,5.149482
PROVISIONED,10,True,104,104,697972,1579652,2,2,2,7.72397,13.105521,24.283417,4.999413
UNPROVISIONED,1,False,104,104,697972,1579652,2,2,2,7.736148,13.127149,26.111748,4.99175
UNPROVISIONED,2,False,104,104,697972,1579652,2,2,2,7.618597,13.081485,25.107538,5.120424
UNPROVISIONED,3,False,104,104,697972,1579652,2,2,2,7.783072,13.089282,24.331781,5.117584
UNPROVISIONED,4,False,104,104,697972,1579652,2,2,2,7.185119,13.078827,24.024656,4.947034
UNPROVISIONED,5,False,104,104,697972,1579652,2,2,2,7.468412,13.088002,23.979377,5.08867
UNPROVISIONED,6,False,104,104,697972,1579652,2,2,2,11.549475,13.051112,28.330665,4.97233
UNPROVISIONED,7,False,104,104,697972,1579652,2,2,2,7.879241,13.050817,23.995072,5.000838
UNPROVISIONED,8,False,104,104,697972,1579652,2,2,2,7.194295,13.066242,27.477113,4.996427
UNPROVISIONED,9,False,104,104,697972,1579652,2,2,2,7.485971,13.002892,24.0812,5.34594
UNPROVISIONED,10,False,104,104,697972,1579652,2,2,2,7.592694,13.052271,24.099882,5.029834
IDLE,1,False,104,104,697972,1579652,2,2,2,6.949661,13.034479,23.774952,4.979944
IDLE,2,False,104,104,697972,1579652,2,2,2,6.849475,13.081355,25.041042,5.013207
IDLE,3,False,104,104,697972,1579652,2,2,2,6.648898,13.012751,24.240261,5.074718
IDLE,4,False,104,104,697972,1579652,2,2,2,7.539505,13.02988,23.812626,5.039977
IDLE,5,False,104,104,697972,1579652,2,2,2,7.571242,13.04298,23.912027,5.127085
IDLE,6,False,104,104,697972,1579652,2,2,2,7.93627,13.052794,23.958755,5.017857
IDLE,7,False,104,104,697972,1579652,2,2,2,7.405645,12.98415,23.52787,5.149476
IDLE,8,False,104,104,697972,1579652,2,2,2,7.487142,13.105954,23.677544,4.975629
IDLE,9,False,104,104,697972,1579652,2,2,2,8.31913,13.024632,23.676648,5.123575
IDLE,10,False,104,104,697972,1579652,2,2,2,8.319857,13.096019,24.191572,5.071301
