mix,slot,private_case,scheduled_offset_ms,start_lateness_ms,completion_lateness_ms,pending_queue_depth_including_current,missed_nominal_interval,access_slot_total_ms
ALL_IDLE,0,IDLE,0.0,0.060086,115.384352,1,False,114.856145
ALL_IDLE,1,IDLE,60.0,55.402021,157.717247,1,False,101.861611
ALL_IDLE,2,IDLE,120.0,97.731274,225.74967,2,True,127.621983
ALL_IDLE,3,IDLE,180.0,165.758019,276.069469,3,True,109.895731
ALL_IDLE,4,IDLE,240.0,216.078166,329.82092,4,True,113.359684
ALL_IDLE,5,IDLE,300.0,269.828911,383.755267,5,True,113.53125
ALL_IDLE,6,IDLE,360.0,323.763572,435.589319,6,True,111.426884
ALL_IDLE,7,IDLE,420.0,375.596725,498.849086,7,True,122.800576
ALL_IDLE,8,IDLE,480.0,438.859253,547.883359,8,True,108.70644
ALL_IDLE,9,IDLE,540.0,487.890916,602.508232,9,True,114.166938
ALL_IDLE,10,IDLE,600.0,542.518469,672.369857,10,True,129.436457
ALL_IDLE,11,IDLE,660.0,612.380275,725.309662,11,True,111.911666
ALL_IDLE,12,IDLE,720.0,665.333343,787.9809,12,True,122.056564
ALL_IDLE,13,IDLE,780.0,727.989671,872.638143,13,True,144.255455
ALL_IDLE,14,IDLE,840.0,812.646792,927.893255,14,True,114.902685
ALL_IDLE,15,IDLE,900.0,867.901167,989.782081,15,True,121.515696
ALL_IDLE,16,IDLE,960.0,929.790864,1055.389443,16,True,124.524099
ALL_IDLE,17,IDLE,1020.0,995.414704,1125.638465,17,True,128.981963
ALL_IDLE,18,IDLE,1080.0,1065.665745,1181.730863,18,True,115.466348
ALL_IDLE,19,IDLE,1140.0,1121.742049,1242.099231,19,True,119.955159
ALL_IDLE,20,IDLE,1200.0,1182.109855,1304.680257,20,True,122.188229
ALL_IDLE,21,IDLE,1260.0,1244.69028,1373.079958,21,True,127.257414
ALL_IDLE,22,IDLE,1320.0,1313.109807,1449.936625,22,True,135.749924
ALL_IDLE,23,IDLE,1380.0,1389.959986,1525.004013,24,True,133.796981
ALL_IDLE,24,IDLE,1440.0,1465.030229,1595.190393,25,True,129.539717
ALL_IDLE,25,IDLE,1500.0,1535.200859,1662.948778,26,True,127.343575
ALL_IDLE,26,IDLE,1560.0,1602.959414,1725.80696,27,True,122.457535
ALL_IDLE,27,IDLE,1620.0,1665.816504,1799.365754,28,True,133.154428
ALL_IDLE,28,IDLE,1680.0,1739.375818,1881.392364,29,True,140.852237
ALL_IDLE,29,IDLE,1740.0,1821.424078,1931.232918,31,True,108.604659
ALL_IDLE,30,IDLE,1800.0,1871.257879,2011.388243,32,True,138.918525
ALL_IDLE,31,IDLE,1860.0,1951.414828,2090.92146,33,True,138.456205
ALL_IDLE,32,IDLE,1920.0,2030.944181,2176.651725,34,True,144.533502
ALL_IDLE,33,IDLE,1980.0,2116.677262,2250.497644,36,True,133.166891
ALL_IDLE,34,IDLE,2040.0,2190.512024,2309.442738,37,True,117.877212
ALL_IDLE,35,IDLE,2100.0,2249.468974,2382.021178,38,True,131.627828
ALL_IDLE,36,IDLE,2160.0,2322.041157,2443.648378,39,True,120.462818
ALL_IDLE,37,IDLE,2220.0,2383.672791,2507.090989,40,True,122.336355
ALL_IDLE,38,IDLE,2280.0,2447.113346,2565.167507,41,True,116.981429
ALL_IDLE,39,IDLE,2340.0,2505.189194,2613.917702,42,True,107.715219
ALL_IDLE,40,IDLE,2400.0,2553.939248,2725.755458,43,True,170.617314
ALL_IDLE,41,IDLE,2460.0,2665.782551,2798.144273,45,True,131.61169
ALL_IDLE,42,IDLE,2520.0,2738.160823,2877.905956,46,True,139.281408
ALL_IDLE,43,IDLE,2580.0,2817.919515,2932.255195,47,True,113.925296
ALL_IDLE,44,IDLE,2640.0,2872.265501,2995.949282,48,True,123.301118
ALL_IDLE,45,IDLE,2700.0,2935.959529,3053.403333,49,True,117.070849
ALL_IDLE,46,IDLE,2760.0,2993.412631,3125.519672,50,True,131.085774
ALL_IDLE,47,IDLE,2820.0,3065.544633,3192.780748,52,True,126.655078
ALL_IDLE,48,IDLE,2880.0,3132.790932,3254.430045,52,True,120.546652
ALL_IDLE,49,IDLE,2940.0,3194.460453,3311.99177,51,True,116.952567
ALL_IDLE,50,IDLE,3000.0,3252.00061,3381.139607,50,True,128.705412
ALL_IDLE,51,IDLE,3060.0,3321.14982,3451.902127,49,True,129.885637
ALL_IDLE,52,IDLE,3120.0,3391.922576,3512.301485,48,True,119.906026
ALL_IDLE,53,IDLE,3180.0,3452.308366,3573.305679,47,True,119.889659
ALL_IDLE,54,IDLE,3240.0,3513.332971,3629.057968,46,True,115.128262
ALL_IDLE,55,IDLE,3300.0,3569.069059,3682.213284,45,True,112.727789
ALL_IDLE,56,IDLE,3360.0,3622.223454,3734.527389,44,True,111.982176
ALL_IDLE,57,IDLE,3420.0,3674.53621,3788.552643,43,True,113.717504
ALL_IDLE,58,IDLE,3480.0,3728.560192,3840.739393,42,True,111.813301
ALL_IDLE,59,IDLE,3540.0,3780.747913,3900.772577,41,True,119.616242
ALL_IDLE,60,IDLE,3600.0,3840.782663,3953.929478,40,True,112.854846
ALL_IDLE,61,IDLE,3660.0,3893.937019,4007.201073,39,True,112.859806
ALL_IDLE,62,IDLE,3720.0,3947.211277,4060.417656,38,True,112.805273
ALL_IDLE,63,IDLE,3780.0,4000.427761,4114.234781,37,True,113.464322
ALL_IDLE,64,IDLE,3840.0,4054.243442,4167.44122,36,True,112.847862
ALL_IDLE,65,IDLE,3900.0,4107.450101,4219.940399,35,True,112.138763
ALL_IDLE,66,IDLE,3960.0,4159.949421,4282.169624,34,True,121.793565
ALL_IDLE,67,IDLE,4020.0,4222.180595,4334.776953,33,True,112.244818
ALL_IDLE,68,IDLE,4080.0,4274.786036,4387.174171,32,True,112.063705
ALL_IDLE,69,IDLE,4140.0,4327.182347,4448.337467,31,True,120.009631
ALL_IDLE,70,IDLE,4200.0,4388.366322,4534.589342,30,True,144.991896
ALL_IDLE,71,IDLE,4260.0,4474.613335,4595.311318,29,True,119.4219
ALL_IDLE,72,IDLE,4320.0,4535.340052,4667.034128,28,True,130.514799
ALL_IDLE,73,IDLE,4380.0,4607.060344,4730.409268,27,True,122.211902
ALL_IDLE,74,IDLE,4440.0,4670.433374,4801.091202,26,True,129.651813
ALL_IDLE,75,IDLE,4500.0,4741.113485,4850.311122,25,True,107.94203
ALL_IDLE,76,IDLE,4560.0,4790.337687,4907.582875,24,True,116.096113
ALL_IDLE,77,IDLE,4620.0,4847.607336,4967.048958,23,True,118.843932
ALL_IDLE,78,IDLE,4680.0,4907.060597,5014.772003,22,True,107.123736
ALL_IDLE,79,IDLE,4740.0,4954.787912,5092.427125,21,True,136.968855
ALL_IDLE,80,IDLE,4800.0,5032.443687,5167.14303,20,True,133.591804
ALL_IDLE,81,IDLE,4860.0,5107.169327,5238.41957,19,True,129.961822
ALL_IDLE,82,IDLE,4920.0,5178.447672,5303.860163,18,True,124.113255
ALL_IDLE,83,IDLE,4980.0,5243.894253,5369.53638,17,True,124.355219
ALL_IDLE,84,IDLE,5040.0,5309.564832,5430.046006,16,True,119.383669
ALL_IDLE,85,IDLE,5100.0,5370.071477,5490.167715,15,True,118.971221
ALL_IDLE,86,IDLE,5160.0,5430.192809,5552.210198,14,True,120.762287
ALL_IDLE,87,IDLE,5220.0,5492.235732,5614.939191,13,True,121.384244
ALL_IDLE,88,IDLE,5280.0,5554.965404,5673.294415,12,True,117.233625
ALL_IDLE,89,IDLE,5340.0,5613.316796,5734.616523,11,True,120.098342
ALL_IDLE,90,IDLE,5400.0,5674.64298,5796.883027,10,True,121.296815
ALL_IDLE,91,IDLE,5460.0,5736.902728,5860.313356,9,True,122.120199
ALL_IDLE,92,IDLE,5520.0,5800.34137,5921.963886,8,True,120.613826
ALL_IDLE,93,IDLE,5580.0,5861.98558,5981.738247,7,True,118.812774
ALL_IDLE,94,IDLE,5640.0,5921.756824,6043.446917,6,True,120.426466
ALL_IDLE,95,IDLE,5700.0,5983.474246,6105.67769,5,True,121.082709
ALL_IDLE,96,IDLE,5760.0,6045.702475,6179.119373,4,True,132.140183
ALL_IDLE,97,IDLE,5820.0,6119.150331,6247.395632,3,True,127.640972
ALL_IDLE,98,IDLE,5880.0,6187.406727,6323.008072,2,True,135.174099
ALL_IDLE,99,IDLE,5940.0,6263.018427,6389.257381,1,True,125.137193
ALL_DEPLOYED,0,DEPLOYED,0.0,0.067671,128.129552,1,False,127.571018
ALL_DEPLOYED,1,DEPLOYED,60.0,68.137448,180.287101,2,True,111.754141
ALL_DEPLOYED,2,DEPLOYED,120.0,120.294955,231.885899,3,True,111.2059
ALL_DEPLOYED,3,DEPLOYED,180.0,171.893464,282.959428,3,True,110.634067
ALL_DEPLOYED,4,DEPLOYED,240.0,222.980203,350.150731,4,True,125.91282
ALL_DEPLOYED,5,DEPLOYED,300.0,290.1716,423.702963,5,True,132.215813
