bootstrap_resamples,ci95_high,ci95_low,experiment,feature_view,n_test,n_train,n_validation,permutation_p,permutation_resamples,selected_model,test_groups,test_orientation_invariant_auc,test_raw_auc,test_train_oriented_auc,train_oof_raw_auc,train_orientation,validation_oriented_auc
10000,0.5621656203978106,0.48168830937697865,SAME_AGENT_WITHIN_SESSION,CONTENT,800,2400,800,0.14758524147585242,10000,ExtraTrees_seed89347,800,0.5210375,0.5210375,0.5210375,0.5077232638888889,1,0.485146875
10000,0.5,0.5,SAME_AGENT_WITHIN_SESSION,STRUCTURAL,800,2400,800,1.0,10000,RBF_SVM,800,0.5,0.5,0.5,0.5,1,0.5
10000,0.5434816861981091,0.46369705010224893,SAME_AGENT_WITHIN_SESSION,TIMING,800,2400,800,0.43865613438656137,10000,HistGradientBoosting,800,0.5034437500000001,0.4965562499999999,0.50344375,0.4968486111111111,-1,0.53698125
10000,0.526100862490875,0.446330168241386,SAME_AGENT_WITHIN_SESSION,ALL,800,2400,800,0.7383261673832616,10000,ExtraTrees_seed89345,800,0.513475,0.513475,0.486525,0.4979128472222222,-1,0.4626937499999999
10000,1.0,1.0,SAME_AGENT_WITHIN_SESSION,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,800,2400,800,9.999000099990002e-05,10000,RBF_SVM,800,1.0,1.0,1.0,1.0,1,1.0
10000,0.5052677119197402,0.4487249684006092,CROSS_SESSION_SAME_SLOT,CONTENT,1574,4726,1578,0.9454054594540546,10000,HistGradientBoosting,1574,0.5228999191112245,0.47710008088877554,0.47710008088877554,0.5821934969014656,1,0.4671151655928073
10000,0.5,0.5,CROSS_SESSION_SAME_SLOT,STRUCTURAL,1574,4726,1578,1.0,10000,RBF_SVM,1574,0.5,0.5,0.5,0.4932289462547609,-1,0.5
10000,0.5286953486021609,0.47220794882119527,CROSS_SESSION_SAME_SLOT,TIMING,1574,4726,1578,0.48465153484651535,10000,ExtraTrees_seed89347,1574,0.5007095931504483,0.5007095931504483,0.5007095931504483,0.5952019146923879,1,0.4801926360717149
10000,0.5472720011132917,0.4900823412577719,CROSS_SESSION_SAME_SLOT,ALL,1574,4726,1578,0.10088991100889912,10000,HistGradientBoosting,1574,0.5187957421181881,0.5187957421181881,0.5187957421181881,0.5768762998612587,1,0.4591877221812597
10000,1.0,1.0,CROSS_SESSION_SAME_SLOT,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,1574,4726,1578,9.999000099990002e-05,10000,RBF_SVM,1574,1.0,1.0,1.0,1.0,1,1.0
10000,0.5352096009177693,0.47838014890242564,CROSS_SESSION_CROSS_SLOT,CONTENT,1558,4706,1556,0.3097690230976902,10000,ExtraTrees_seed89347,1558,0.5069136726094644,0.4930863273905356,0.5069136726094644,0.4216087861721859,-1,0.5337461423067519
10000,0.5,0.5,CROSS_SESSION_CROSS_SLOT,STRUCTURAL,1558,4706,1556,1.0,10000,RBF_SVM,1558,0.5,0.5,0.5,0.4887377815554611,-1,0.5
10000,0.5472789056948273,0.48980828756632966,CROSS_SESSION_CROSS_SLOT,TIMING,1558,4706,1556,0.09929007099290071,10000,HistGradientBoosting,1558,0.5185048472334598,0.4814951527665402,0.5185048472334598,0.4536843761226411,-1,0.48995678061868475
10000,0.5009589395204164,0.44351626671424627,CROSS_SESSION_CROSS_SLOT,ALL,1558,4706,1556,0.9712028797120288,10000,ExtraTrees_seed89347,1558,0.5279035200324302,0.5279035200324302,0.47209647996756976,0.44229066925260574,-1,0.507295748772477
10000,1.0,1.0,CROSS_SESSION_CROSS_SLOT,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,1558,4706,1556,9.999000099990002e-05,10000,RBF_SVM,1558,1.0,1.0,1.0,1.0,1,1.0
