bootstrap_resamples,ci95_high,ci95_low,experiment,feature_view,label_order,n_test,n_train,n_validation,permutation_p,permutation_resamples,selected_model,test_accuracy,test_groups,test_macro_f1,test_orientation_invariant_auc,test_raw_auc,test_train_oriented_auc,train_oof_raw_auc,train_orientation,validation_accuracy,validation_oriented_auc
10000,0.29375,0.2325,FOUR_CLASS_ORDERING_RECURRENCE,CONTENT,"['AAA', 'AAB', 'ABA', 'ABC']",800,2400,800,0.21427857214278573,10000,RBF_SVM,0.2625,800,0.2618554197282503,,,,,,0.25875,
10000,0.5499125411872071,0.43742260723458665,RARE_INSERTION_AAA_VS_AAB,CONTENT,,400,1200,400,0.5998400159984002,10000,ExtraTrees_seed89347,,400,,0.507375,0.492625,0.492625,0.5019805555555555,1,,0.5378875
10000,0.5834842929718151,0.47083924099317526,RECURRENCE_AAA_VS_ABC,CONTENT,,400,1200,400,0.1695830416958304,10000,ExtraTrees_seed89346,,400,,0.527175,0.472825,0.5271750000000001,0.49302916666666663,-1,,0.46538749999999995
10000,0.5621642840231151,0.44810132315426165,RETURN_PATTERN_ABA_VS_ABC,CONTENT,,400,1200,400,0.43315668433156684,10000,ExtraTrees_seed89345,,400,,0.505275,0.49472499999999997,0.5052749999999999,0.48441805555555556,-1,,0.548325
10000,0.28,0.22,FOUR_CLASS_ORDERING_RECURRENCE,STRUCTURAL,"['AAA', 'AAB', 'ABA', 'ABC']",800,2400,800,1.0,10000,RBF_SVM,0.25,800,0.1,,,,,,0.25,
10000,0.5,0.5,RARE_INSERTION_AAA_VS_AAB,STRUCTURAL,,400,1200,400,1.0,10000,RBF_SVM,,400,,0.5,0.5,0.5,0.5,1,,0.5
10000,0.5,0.5,RECURRENCE_AAA_VS_ABC,STRUCTURAL,,400,1200,400,1.0,10000,RBF_SVM,,400,,0.5,0.5,0.5,0.5,1,,0.5
10000,0.5,0.5,RETURN_PATTERN_ABA_VS_ABC,STRUCTURAL,,400,1200,400,1.0,10000,RBF_SVM,,400,,0.5,0.5,0.5,0.5,1,,0.5
10000,0.285,0.225,FOUR_CLASS_ORDERING_RECURRENCE,TIMING,"['AAA', 'AAB', 'ABA', 'ABC']",800,2400,800,0.37696230376962303,10000,LogisticRegression,0.255,800,0.2522733970973056,,,,,,0.28,
10000,0.5784857549402191,0.4664095928517224,RARE_INSERTION_AAA_VS_AAB,TIMING,,400,1200,400,0.23667633236676333,10000,ExtraTrees_seed89346,,400,,0.5214,0.5214,0.5214,0.5007611111111111,1,,0.41927499999999995
10000,0.5779160477231648,0.4649075436470248,RECURRENCE_AAA_VS_ABC,TIMING,,400,1200,400,0.23507649235076492,10000,ExtraTrees_seed89345,,400,,0.521,0.479,0.5210000000000001,0.4889,-1,,0.553375
10000,0.5515215555528798,0.4368747660411014,RETURN_PATTERN_ABA_VS_ABC,TIMING,,400,1200,400,0.5896410358964104,10000,RBF_SVM,,400,,0.5065999999999999,0.4934,0.4934,0.5061611111111111,1,,0.538625
10000,0.28625,0.22625,FOUR_CLASS_ORDERING_RECURRENCE,ALL,"['AAA', 'AAB', 'ABA', 'ABC']",800,2400,800,0.35296470352964704,10000,ExtraTrees_seed89347,0.25625,800,0.2563838367197944,,,,,,0.275,
10000,0.5817104225444188,0.467086495853766,RARE_INSERTION_AAA_VS_AAB,ALL,,400,1200,400,0.20107989201079893,10000,ExtraTrees_seed89347,,400,,0.5246,0.47540000000000004,0.5246000000000001,0.4913555555555555,-1,,0.5765875
10000,0.5210662005294208,0.40715140018216334,RECURRENCE_AAA_VS_ABC,ALL,,400,1200,400,0.8919108089191081,10000,ExtraTrees_seed89347,,400,,0.5365500000000001,0.5365500000000001,0.46345000000000003,0.4718027777777778,-1,,0.4546125
10000,0.6077870086516137,0.4946418091540688,RETURN_PATTERN_ABA_VS_ABC,ALL,,400,1200,400,0.038896110388961104,10000,ExtraTrees_seed89345,,400,,0.55125,0.44875000000000004,0.55125,0.49783333333333335,-1,,0.5539875000000001
10000,1.0,1.0,FOUR_CLASS_ORDERING_RECURRENCE,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,"['AAA', 'AAB', 'ABA', 'ABC']",800,2400,800,9.999000099990002e-05,10000,RBF_SVM,1.0,800,1.0,,,,,,1.0,
10000,1.0,1.0,RARE_INSERTION_AAA_VS_AAB,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,,400,1200,400,9.999000099990002e-05,10000,RBF_SVM,,400,,1.0,1.0,1.0,1.0,1,,1.0
10000,1.0,1.0,RECURRENCE_AAA_VS_ABC,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,,400,1200,400,9.999000099990002e-05,10000,RBF_SVM,,400,,1.0,1.0,1.0,1.0,1,,1.0
10000,1.0,1.0,RETURN_PATTERN_ABA_VS_ABC,UNPROTECTED_VISIBLE_AGENT_ID_POSITIVE_CONTROL,,400,1200,400,9.999000099990002e-05,10000,RBF_SVM,,400,,1.0,1.0,1.0,1.0,1,,1.0
