seed,variant,probe,metric,value,chance,shuffled
0,V0,A_recipient_identity,accuracy,1.0,0.0625,0.044444444444444446
0,V0,A_recipient_identity,macro_f1,1.0,0.0625,0.044444444444444446
0,V0,B_linkability,accuracy,0.9833333333333333,0.5,0.5316770001635518
0,V0,B_linkability,roc_auc,1.0,0.5,0.5316770001635518
0,V0,C_occupancy,accuracy,1.0,0.25,0.2511111111111111
0,V0,C_occupancy,macro_f1,1.0,0.25,0.2511111111111111
0,V0,D_history_relevant,accuracy,1.0,0.5,0.47318858209904524
0,V0,D_history_relevant,roc_auc,1.0,0.5,0.47318858209904524
0,V1,A_recipient_identity,accuracy,1.0,0.0625,0.044444444444444446
0,V1,A_recipient_identity,macro_f1,1.0,0.0625,0.044444444444444446
0,V1,B_linkability,accuracy,0.9833333333333333,0.5,0.5316670879363239
0,V1,B_linkability,roc_auc,1.0,0.5,0.5316670879363239
0,V1,C_occupancy,accuracy,1.0,0.25,0.2511111111111111
0,V1,C_occupancy,macro_f1,1.0,0.25,0.2511111111111111
0,V1,D_history_relevant,accuracy,1.0,0.5,0.47318858209904524
0,V1,D_history_relevant,roc_auc,1.0,0.5,0.47318858209904524
0,V2,A_recipient_identity,accuracy,0.08444444444444445,0.0625,0.07111111111111111
0,V2,A_recipient_identity,macro_f1,0.08255190354057965,0.0625,0.07111111111111111
0,V2,B_linkability,accuracy,0.5088888888888888,0.5,0.5131436133041913
0,V2,B_linkability,roc_auc,0.5171873070749475,0.5,0.5131436133041913
0,V2,C_occupancy,accuracy,1.0,0.25,0.2561111111111111
0,V2,C_occupancy,macro_f1,1.0,0.25,0.2561111111111111
0,V2,D_history_relevant,accuracy,1.0,0.5,0.5159099975176328
0,V2,D_history_relevant,roc_auc,1.0,0.5,0.5159099975176328
0,V3,A_recipient_identity,accuracy,0.06666666666666667,0.0625,0.05333333333333334
0,V3,A_recipient_identity,macro_f1,0.06652999036120372,0.0625,0.05333333333333334
0,V3,B_linkability,accuracy,0.4911111111111111,0.5,0.4940477075496479
0,V3,B_linkability,roc_auc,0.493512779355476,0.5,0.4940477075496479
0,V3,C_occupancy,accuracy,0.2627777777777778,0.25,0.2577777777777778
0,V3,C_occupancy,macro_f1,0.26255711434124446,0.25,0.2577777777777778
0,V3,D_history_relevant,accuracy,0.49944444444444447,0.5,0.5137437925383254
0,V3,D_history_relevant,roc_auc,0.5032876543209877,0.5,0.5137437925383254
0,V2,C_ablation_count,accuracy,0.6405555555555555,0.25,0.25055555555555553
0,V2,C_ablation_store,accuracy,1.0,0.25,0.26666666666666666
0,V2,C_ablation_order,accuracy,1.0,0.25,0.26055555555555554
0,V2,C_ablation_full,accuracy,1.0,0.25,0.2561111111111111
1,V0,A_recipient_identity,accuracy,1.0,0.0625,0.09555555555555556
1,V0,A_recipient_identity,macro_f1,1.0,0.0625,0.09555555555555556
1,V0,B_linkability,accuracy,0.9877777777777778,0.5,0.4798370169156686
1,V0,B_linkability,roc_auc,1.0,0.5,0.4798370169156686
1,V0,C_occupancy,accuracy,1.0,0.25,0.24944444444444444
1,V0,C_occupancy,macro_f1,1.0,0.25,0.24944444444444444
1,V0,D_history_relevant,accuracy,1.0,0.5,0.46633693242034996
1,V0,D_history_relevant,roc_auc,1.0,0.5,0.46633693242034996
1,V1,A_recipient_identity,accuracy,1.0,0.0625,0.09555555555555556
1,V1,A_recipient_identity,macro_f1,1.0,0.0625,0.09555555555555556
1,V1,B_linkability,accuracy,0.9877777777777778,0.5,0.4798370169156686
1,V1,B_linkability,roc_auc,1.0,0.5,0.4798370169156686
1,V1,C_occupancy,accuracy,1.0,0.25,0.24944444444444444
