variant,probe,metric,mean,std,chance,shuffled_mean,shuffled_std
V0,A_recipient_identity,accuracy,1.0,0.0,0.0625,0.06444444444444444,0.022296173249322093
V0,A_recipient_identity,macro_f1,1.0,0.0,0.0625,0.06444444444444444,0.022296173249322093
V0,B_linkability,accuracy,0.9892592592592593,0.005543196128554023,0.5,0.49276474764833544,0.028026683654284967
V0,B_linkability,roc_auc,0.999995060167164,6.985978592585094e-06,0.5,0.49276474764833544,0.028026683654284967
V0,C_occupancy,accuracy,1.0,0.0,0.25,0.2577777777777778,0.010628403594282776
V0,C_occupancy,macro_f1,1.0,0.0,0.25,0.2577777777777778,0.010628403594282776
V0,D_history_relevant,accuracy,1.0,0.0,0.5,0.49201890915704305,0.03159899964305863
V0,D_history_relevant,roc_auc,1.0,0.0,0.5,0.49201890915704305,0.03159899964305863
V1,A_recipient_identity,accuracy,1.0,0.0,0.0625,0.06444444444444444,0.022296173249322093
V1,A_recipient_identity,macro_f1,1.0,0.0,0.0625,0.06444444444444444,0.022296173249322093
V1,B_linkability,accuracy,0.9892592592592593,0.005543196128554023,0.5,0.49276144357259277,0.028022096289034903
V1,B_linkability,roc_auc,0.999995060167164,6.985978592585094e-06,0.5,0.49276144357259277,0.028022096289034903
V1,C_occupancy,accuracy,1.0,0.0,0.25,0.2577777777777778,0.010628403594282776
V1,C_occupancy,macro_f1,1.0,0.0,0.25,0.2577777777777778,0.010628403594282776
V1,D_history_relevant,accuracy,1.0,0.0,0.5,0.49201890915704305,0.03159899964305863
V1,D_history_relevant,roc_auc,1.0,0.0,0.5,0.49201890915704305,0.03159899964305863
V2,A_recipient_identity,accuracy,0.0637037037037037,0.016363497803240385,0.0625,0.06444444444444444,0.01103678846351951
V2,A_recipient_identity,macro_f1,0.060413481688738724,0.01724091669357435,0.0625,0.06444444444444444,0.01103678846351951
V2,B_linkability,accuracy,0.5088888888888888,0.011793839502289362,0.5,0.4902739443891289,0.01620280489955402
V2,B_linkability,roc_auc,0.5133858653838682,0.014796570142996356,0.5,0.4902739443891289,0.01620280489955402
V2,C_ablation_count,accuracy,0.6288888888888888,0.018498136932103407,0.25,0.24907407407407406,0.0033436055713458915
V2,C_ablation_full,accuracy,1.0,0.0,0.25,0.25407407407407406,0.003694432841344456
V2,C_ablation_order,accuracy,1.0,0.0,0.25,0.2561111111111111,0.007085602396188509
V2,C_ablation_store,accuracy,1.0,0.0,0.25,0.2533333333333333,0.00969705737895263
V2,C_occupancy,accuracy,1.0,0.0,0.25,0.25407407407407406,0.003694432841344456
V2,C_occupancy,macro_f1,1.0,0.0,0.25,0.25407407407407406,0.003694432841344456
V2,D_history_relevant,accuracy,1.0,0.0,0.5,0.4936403260333809,0.0181634145982918
V2,D_history_relevant,roc_auc,1.0,0.0,0.5,0.4936403260333809,0.0181634145982918
V3,A_recipient_identity,accuracy,0.06444444444444444,0.015502555212189888,0.0625,0.05777777777777778,0.006285393610547087
V3,A_recipient_identity,macro_f1,0.06230555267522699,0.01564367585707305,0.0625,0.05777777777777778,0.006285393610547087
V3,B_linkability,accuracy,0.49777777777777776,0.009428090415820616,0.5,0.49181138322701135,0.008524072724224332
V3,B_linkability,roc_auc,0.4955872831941831,0.006314282508602908,0.5,0.49181138322701135,0.008524072724224332
V3,C_occupancy,accuracy,0.25666666666666665,0.006102687797512627,0.25,0.2512962962962963,0.004588708034579206
V3,C_occupancy,macro_f1,0.25646864166076866,0.006087120223372121,0.25,0.2512962962962963,0.004588708034579206
V3,D_history_relevant,accuracy,0.5016666666666667,0.004374448818895448,0.5,0.4990606177369564,0.010651904491559795
V3,D_history_relevant,roc_auc,0.5024978489562276,0.008730785676941438,0.5,0.4990606177369564,0.010651904491559795
