episode,round,index,class
SESSION-5,0,105,CROSS_SESSION
SESSION-5,1,105,CROSS_SESSION
SESSION-5,2,105,CROSS_SESSION
SESSION-5,3,105,CROSS_SESSION
SESSION-5,4,105,CROSS_SESSION
SESSION-5,5,105,CROSS_SESSION
SESSION-5,6,105,CROSS_SESSION
SESSION-5,7,105,CROSS_SESSION
SESSION-5,8,105,CROSS_SESSION
SESSION-5,9,105,CROSS_SESSION
SESSION-5,10,105,CROSS_SESSION
SESSION-5,11,105,CROSS_SESSION
SESSION-5,12,105,CROSS_SESSION
SESSION-5,13,105,CROSS_SESSION
SESSION-5,14,105,CROSS_SESSION
SESSION-5,15,105,CROSS_SESSION
SESSION-5,16,105,CROSS_SESSION
SESSION-5,17,105,CROSS_SESSION
SESSION-5,18,105,CROSS_SESSION
SESSION-5,19,105,CROSS_SESSION
SESSION-5,20,105,CROSS_SESSION
SESSION-5,21,105,CROSS_SESSION
SESSION-5,22,105,CROSS_SESSION
SESSION-5,23,105,CROSS_SESSION
SESSION-5,24,105,CROSS_SESSION
SESSION-5,25,105,CROSS_SESSION
SESSION-5,26,105,CROSS_SESSION
SESSION-5,27,105,CROSS_SESSION
SESSION-5,28,105,CROSS_SESSION
SESSION-5,29,105,CROSS_SESSION
SESSION-5,30,105,CROSS_SESSION
SESSION-5,31,105,CROSS_SESSION
SESSION-5,32,105,CROSS_SESSION
SESSION-5,33,105,CROSS_SESSION
SESSION-5,34,105,CROSS_SESSION
SESSION-5,35,105,CROSS_SESSION
SESSION-5,36,105,CROSS_SESSION
SESSION-5,37,105,CROSS_SESSION
SESSION-5,38,105,CROSS_SESSION
SESSION-5,39,105,CROSS_SESSION
