episode,round,index,class
SESSION-4,0,101,CROSS_SESSION
SESSION-4,1,101,CROSS_SESSION
SESSION-4,2,101,CROSS_SESSION
SESSION-4,3,101,CROSS_SESSION
SESSION-4,4,101,CROSS_SESSION
SESSION-4,5,101,CROSS_SESSION
SESSION-4,6,101,CROSS_SESSION
SESSION-4,7,101,CROSS_SESSION
SESSION-4,8,101,CROSS_SESSION
SESSION-4,9,101,CROSS_SESSION
SESSION-4,10,101,CROSS_SESSION
SESSION-4,11,101,CROSS_SESSION
SESSION-4,12,101,CROSS_SESSION
SESSION-4,13,101,CROSS_SESSION
SESSION-4,14,101,CROSS_SESSION
SESSION-4,15,101,CROSS_SESSION
SESSION-4,16,101,CROSS_SESSION
SESSION-4,17,101,CROSS_SESSION
SESSION-4,18,101,CROSS_SESSION
SESSION-4,19,101,CROSS_SESSION
SESSION-4,20,101,CROSS_SESSION
SESSION-4,21,101,CROSS_SESSION
SESSION-4,22,101,CROSS_SESSION
SESSION-4,23,101,CROSS_SESSION
SESSION-4,24,101,CROSS_SESSION
SESSION-4,25,101,CROSS_SESSION
SESSION-4,26,101,CROSS_SESSION
SESSION-4,27,101,CROSS_SESSION
SESSION-4,28,101,CROSS_SESSION
SESSION-4,29,101,CROSS_SESSION
