attack,model,metric,score,balanced_accuracy,permutation_baseline,permutation_p_value,samples,chance
REPEATED_TARGET_LINKABILITY,LogisticRegression,AUC,0.5019847918006172,0.504377063534306,0.5013472567314039,0.42857142857142855,4000,0.5
REPEATED_TARGET_LINKABILITY,RandomForest,AUC,0.4919687184559327,0.4951843037703354,0.5014378098122231,0.8571428571428571,4000,0.5
FREQUENCY_RECOVERY_M0_VS_M2,LogisticRegression,AUC,0.2,0.26,0.5226666666666667,1.0,24,0.5
FREQUENCY_RECOVERY_M0_VS_M2,RandomForest,AUC,0.29166666666666663,0.4033333333333333,0.45958333333333334,0.8095238095238095,24,0.5
RARE_AGENT_DETECTION_M0_VS_M1,LogisticRegression,AUC,0.6066666666666667,0.5,0.4514761904761905,0.047619047619047616,24,0.5
RARE_AGENT_DETECTION_M0_VS_M1,RandomForest,AUC,0.47,0.48666666666666664,0.4800892857142857,0.6190476190476191,24,0.5
TRANSITION_PATTERN_M4_VS_M5,LogisticRegression,AUC,0.7933333333333333,0.6533333333333333,0.5951071428571428,0.09523809523809523,24,0.5
TRANSITION_PATTERN_M4_VS_M5,RandomForest,AUC,0.5,0.5066666666666666,0.5291845238095239,0.6190476190476191,24,0.5
AGENT_ID_10_WAY,LogisticRegression,MACRO_F1,0.10091084319188284,0.1045,0.09917835278305724,0.47619047619047616,1200,0.1
AGENT_ID_10_WAY,RandomForest,MACRO_F1,0.08311860878248706,0.0925,0.08803641622277643,0.7619047619047619,1200,0.1
