episode,round,index,class
M2-E02,0,17,M2
M2-E02,1,23,M2
M2-E02,2,17,M2
M2-E02,3,23,M2
M2-E02,4,23,M2
M2-E02,5,23,M2
M2-E02,6,17,M2
M2-E02,7,17,M2
M2-E02,8,23,M2
M2-E02,9,23,M2
M2-E02,10,17,M2
M2-E02,11,17,M2
M2-E02,12,23,M2
M2-E02,13,17,M2
M2-E02,14,17,M2
M2-E02,15,23,M2
M2-E02,16,17,M2
M2-E02,17,17,M2
M2-E02,18,17,M2
M2-E02,19,23,M2
M2-E02,20,17,M2
M2-E02,21,17,M2
M2-E02,22,23,M2
M2-E02,23,17,M2
M2-E02,24,23,M2
M2-E02,25,17,M2
M2-E02,26,23,M2
M2-E02,27,23,M2
M2-E02,28,23,M2
M2-E02,29,17,M2
M2-E02,30,17,M2
M2-E02,31,23,M2
M2-E02,32,17,M2
M2-E02,33,23,M2
M2-E02,34,17,M2
M2-E02,35,23,M2
M2-E02,36,17,M2
M2-E02,37,23,M2
M2-E02,38,17,M2
M2-E02,39,23,M2
M2-E02,40,17,M2
M2-E02,41,17,M2
M2-E02,42,23,M2
M2-E02,43,17,M2
M2-E02,44,23,M2
M2-E02,45,17,M2
M2-E02,46,17,M2
M2-E02,47,23,M2
M2-E02,48,17,M2
M2-E02,49,17,M2
M2-E02,50,23,M2
M2-E02,51,17,M2
M2-E02,52,17,M2
M2-E02,53,23,M2
M2-E02,54,17,M2
M2-E02,55,23,M2
M2-E02,56,23,M2
M2-E02,57,17,M2
M2-E02,58,23,M2
M2-E02,59,17,M2
M2-E02,60,23,M2
M2-E02,61,17,M2
M2-E02,62,17,M2
M2-E02,63,17,M2
M2-E02,64,17,M2
M2-E02,65,23,M2
M2-E02,66,23,M2
M2-E02,67,17,M2
M2-E02,68,23,M2
M2-E02,69,23,M2
M2-E02,70,23,M2
M2-E02,71,23,M2
M2-E02,72,17,M2
M2-E02,73,23,M2
M2-E02,74,23,M2
M2-E02,75,23,M2
M2-E02,76,17,M2
M2-E02,77,17,M2
M2-E02,78,23,M2
M2-E02,79,23,M2
M2-E02,80,17,M2
M2-E02,81,17,M2
M2-E02,82,23,M2
M2-E02,83,23,M2
M2-E02,84,23,M2
M2-E02,85,17,M2
M2-E02,86,23,M2
M2-E02,87,23,M2
M2-E02,88,23,M2
M2-E02,89,23,M2
M2-E02,90,23,M2
M2-E02,91,23,M2
M2-E02,92,23,M2
M2-E02,93,17,M2
M2-E02,94,17,M2
M2-E02,95,17,M2
M2-E02,96,17,M2
M2-E02,97,17,M2
M2-E02,98,17,M2
M2-E02,99,23,M2
M0-E18,0,17,M0
M0-E18,1,17,M0
M0-E18,2,17,M0
M0-E18,3,17,M0
M0-E18,4,17,M0
M0-E18,5,17,M0
M0-E18,6,17,M0
M0-E18,7,17,M0
M0-E18,8,17,M0
M0-E18,9,17,M0
M0-E18,10,17,M0
M0-E18,11,17,M0
M0-E18,12,17,M0
M0-E18,13,17,M0
M0-E18,14,17,M0
M0-E18,15,17,M0
M0-E18,16,17,M0
M0-E18,17,17,M0
M0-E18,18,17,M0
M0-E18,19,17,M0
M0-E18,20,17,M0
M0-E18,21,17,M0
M0-E18,22,17,M0
M0-E18,23,17,M0
M0-E18,24,17,M0
M0-E18,25,17,M0
M0-E18,26,17,M0
M0-E18,27,17,M0
M0-E18,28,17,M0
M0-E18,29,17,M0
M0-E18,30,17,M0
M0-E18,31,17,M0
M0-E18,32,17,M0
M0-E18,33,17,M0
M0-E18,34,17,M0
M0-E18,35,17,M0
M0-E18,36,17,M0
M0-E18,37,17,M0
M0-E18,38,17,M0
M0-E18,39,17,M0
M0-E18,40,17,M0
M0-E18,41,17,M0
M0-E18,42,17,M0
M0-E18,43,17,M0
M0-E18,44,17,M0
M0-E18,45,17,M0
M0-E18,46,17,M0
M0-E18,47,17,M0
M0-E18,48,17,M0
M0-E18,49,17,M0
M0-E18,50,17,M0
M0-E18,51,17,M0
M0-E18,52,17,M0
M0-E18,53,17,M0
M0-E18,54,17,M0
M0-E18,55,17,M0
M0-E18,56,17,M0
M0-E18,57,17,M0
M0-E18,58,17,M0
M0-E18,59,17,M0
M0-E18,60,17,M0
M0-E18,61,17,M0
M0-E18,62,17,M0
M0-E18,63,17,M0
M0-E18,64,17,M0
M0-E18,65,17,M0
M0-E18,66,17,M0
M0-E18,67,17,M0
M0-E18,68,17,M0
M0-E18,69,17,M0
M0-E18,70,17,M0
M0-E18,71,17,M0
M0-E18,72,17,M0
M0-E18,73,17,M0
M0-E18,74,17,M0
M0-E18,75,17,M0
M0-E18,76,17,M0
M0-E18,77,17,M0
M0-E18,78,17,M0
