feature_set,model,top1_accuracy,macro_f1,permutation_accuracy,chance,confusion_matrix,labels
STRUCTURAL,LogisticRegression,0.25,0.1,0.25,0.25,"[[300, 0, 0, 0], [300, 0, 0, 0], [300, 0, 0, 0], [300, 0, 0, 0]]","[""AGENT"", ""LLM"", ""NOOP"", ""TOOL""]"
STRUCTURAL,RandomForest,0.25,0.1,0.25,0.25,"[[0, 180, 60, 60], [0, 180, 60, 60], [0, 180, 60, 60], [0, 180, 60, 60]]","[""AGENT"", ""LLM"", ""NOOP"", ""TOOL""]"
SIZE,LogisticRegression,0.25,0.1,0.25,0.25,"[[300, 0, 0, 0], [300, 0, 0, 0], [300, 0, 0, 0], [300, 0, 0, 0]]","[""AGENT"", ""LLM"", ""NOOP"", ""TOOL""]"
SIZE,RandomForest,0.25,0.1,0.25,0.25,"[[0, 180, 60, 60], [0, 180, 60, 60], [0, 180, 60, 60], [0, 180, 60, 60]]","[""AGENT"", ""LLM"", ""NOOP"", ""TOOL""]"
TIMING,LogisticRegression,0.48333333333333334,0.42854278739289015,0.26166666666666666,0.25,"[[87, 23, 33, 157], [5, 286, 0, 9], [86, 8, 22, 184], [74, 16, 25, 185]]","[""AGENT"", ""LLM"", ""NOOP"", ""TOOL""]"
TIMING,RandomForest,0.5441666666666667,0.5413791099248947,0.25645833333333334,0.25,"[[93, 20, 126, 61], [19, 250, 11, 20], [94, 5, 137, 64], [59, 17, 51, 173]]","[""AGENT"", ""LLM"", ""NOOP"", ""TOOL""]"
RESOURCE,LogisticRegression,0.46749999999999997,0.36500061356416236,0.25375,0.25,"[[67, 47, 166, 20], [1, 288, 8, 3], [77, 17, 185, 21], [64, 40, 175, 21]]","[""AGENT"", ""LLM"", ""NOOP"", ""TOOL""]"
RESOURCE,RandomForest,0.4725,0.43878906869778583,0.25375,0.25,"[[29, 11, 148, 112], [4, 292, 2, 2], [34, 1, 151, 114], [52, 4, 149, 95]]","[""AGENT"", ""LLM"", ""NOOP"", ""TOOL""]"
ALL,LogisticRegression,0.47833333333333333,0.4396054638283004,0.25583333333333336,0.25,"[[79, 17, 55, 149], [3, 291, 2, 4], [85, 4, 40, 171], [65, 24, 47, 164]]","[""AGENT"", ""LLM"", ""NOOP"", ""TOOL""]"
ALL,RandomForest,0.5766666666666667,0.5742130819803039,0.24041666666666667,0.25,"[[108, 8, 118, 66], [7, 287, 1, 5], [117, 2, 125, 56], [53, 5, 70, 172]]","[""AGENT"", ""LLM"", ""NOOP"", ""TOOL""]"
