attack,feature_set,model,top1_accuracy,macro_f1,permutation_accuracy,chance,confusion_matrix,labels,auc,balanced_accuracy,permutation_auc,permutation_p
TOOL_CLASS,TIMING,LogisticRegression,0.7138666666666666,0.511820633132595,0.4349,0.3333333333333333,"[[0, 899, 91], [0, 3000, 270], [0, 886, 2354]]","[""CLOUD"", ""LOCAL"", ""REMOTE""]",,,,
TOOL_CLASS,TIMING,RandomForest,0.7698666666666667,0.6941416365574263,0.42969999999999997,0.3333333333333333,"[[432, 449, 109], [231, 2906, 133], [282, 522, 2436]]","[""CLOUD"", ""LOCAL"", ""REMOTE""]",,,,
TOOL_CLASS,STRUCTURAL,SYMBOLIC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,EXACT_EQUALITY,"LOCAL,REMOTE,CLOUD",,,,
TOOL_CLASS,SIZE,SYMBOLIC,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,EXACT_EQUALITY,"LOCAL,REMOTE,CLOUD",,,,
FREQUENCY_TSEQ0_V_TSEQ2,TIMING,LogisticRegression,,,,0.5,,,1.0,1.0,0.5277777777777778,0.047619047619047616
FREQUENCY_TSEQ0_V_TSEQ2,TIMING,RandomForest,,,,0.5,,,0.9888888888888889,0.9333333333333333,0.49444444444444446,0.047619047619047616
FREQUENCY_TSEQ0_V_TSEQ2,STRUCTURAL_SIZE,SYMBOLIC,,,,0.5,,,0.5,0.5,0.5,1.0
RARE_TSEQ0_V_TSEQ1,TIMING,LogisticRegression,,,,0.5,,,1.0,1.0,0.5,0.23809523809523808
RARE_TSEQ0_V_TSEQ1,TIMING,RandomForest,,,,0.5,,,1.0,1.0,0.45,0.047619047619047616
RARE_TSEQ0_V_TSEQ1,STRUCTURAL_SIZE,SYMBOLIC,,,,0.5,,,0.5,0.5,0.5,1.0
TRANSITION_TSEQ3_V_TSEQ4,TIMING,LogisticRegression,,,,0.5,,,1.0,1.0,0.5222222222222223,0.047619047619047616
TRANSITION_TSEQ3_V_TSEQ4,TIMING,RandomForest,,,,0.5,,,1.0,1.0,0.4916666666666667,0.047619047619047616
TRANSITION_TSEQ3_V_TSEQ4,STRUCTURAL_SIZE,SYMBOLIC,,,,0.5,,,0.5,0.5,0.5,1.0
REPEATED_TARGET_LINKABILITY,TIMING,LogisticRegression,,,,0.5,,,0.657141069083363,0.611319738207359,0.5010497464065187,0.047619047619047616
REPEATED_TARGET_LINKABILITY,TIMING,RandomForest,,,,0.5,,,0.8310482408085968,0.7522028892968313,0.49962586798627184,0.047619047619047616
REPEATED_TARGET_LINKABILITY,STRUCTURAL_SIZE,SYMBOLIC,,,,0.5,,,0.5,0.5,0.5,1.0
