sample_id,executor_code,event_count,request_bytes,response_bytes,wall_ns,cpu_ns,python_peak_bytes,rss_delta_bytes,thread_delta
0,1,1,1024,1024,35522000,15625000,99019,0,0
1,1,1,1024,1024,31865800,15625000,18706,0,0
2,1,1,1024,1024,12987400,15625000,18650,0,0
3,1,1,1024,1024,1686900,0,18489,0,0
4,1,1,1024,1024,19638000,15625000,18530,0,0
5,1,1,1024,1024,15401400,0,18377,0,0
6,1,1,1024,1024,1673400,0,18281,0,0
7,1,1,1024,1024,14269000,0,18217,0,0
8,1,1,1024,1024,18331300,0,18161,0,0
9,1,1,1024,1024,30361900,0,18202,0,0
10,1,1,1024,1024,16101900,0,18057,0,0
11,1,1,1024,1024,16792300,0,17849,0,0
12,1,1,1024,1024,18643700,0,17753,0,0
13,1,1,1024,1024,17177500,0,17713,0,0
14,1,1,1024,1024,17256400,0,17649,0,0
15,1,1,1024,1024,15006000,0,17617,0,0
16,1,1,1024,1024,29049100,15625000,17682,0,0
17,1,1,1024,1024,20538200,15625000,17658,0,0
18,1,1,1024,1024,15773300,0,17537,0,0
19,1,1,1024,1024,17695600,0,17281,0,0
20,1,1,1024,1024,34307900,15625000,17178,0,0
21,1,1,1024,1024,33481100,0,17162,0,0
22,1,1,1024,1024,30279800,15625000,17130,0,0
23,1,1,1024,1024,18281400,0,17017,0,0
24,1,1,1024,1024,14068200,0,17001,0,0
25,1,1,1024,1024,15080500,0,16985,0,0
26,1,1,1024,1024,7786000,0,16977,0,0
27,1,1,1024,1024,13893000,0,16969,0,0
28,1,1,1024,1024,3730900,0,16969,0,0
29,1,1,1024,1024,1363000,0,16969,0,0
30,1,1,1024,1024,26249900,0,17066,0,0
31,1,1,1024,1024,33736500,15625000,17066,0,0
32,1,1,1024,1024,2376200,0,16969,0,0
33,1,1,1024,1024,10856900,0,17066,0,0
34,1,1,1024,1024,13836400,15625000,17066,0,0
35,1,1,1024,1024,1693900,0,16969,0,0
36,1,1,1024,1024,20791400,0,16969,0,0
37,1,1,1024,1024,3033400,0,16969,0,0
38,1,1,1024,1024,13241500,0,17130,0,0
39,1,1,1024,1024,17482500,0,17377,0,0
40,1,1,1024,1024,3282000,0,17377,0,0
41,1,1,1024,1024,1708800,0,17377,0,0
42,1,1,1024,1024,11304800,0,17377,0,0
43,1,1,1024,1024,30952800,0,17474,0,0
44,1,1,1024,1024,18048300,0,17377,0,0
45,1,1,1024,1024,17963300,0,17377,0,0
46,1,1,1024,1024,2672800,0,17377,0,0
47,1,1,1024,1024,11482500,0,17377,0,0
48,1,1,1024,1024,900900,0,17377,0,0
49,1,1,1024,1024,33370000,15625000,17474,0,0
50,1,1,1024,1024,3484600,0,17377,0,0
51,1,1,1024,1024,13994200,15625000,17474,0,0
52,1,1,1024,1024,3464200,0,17377,0,0
53,1,1,1024,1024,917800,0,17377,0,0
54,1,1,1024,1024,9768300,0,17474,0,0
55,1,1,1024,1024,17753300,0,17377,0,0
56,1,1,1024,1024,1345200,0,17377,0,0
57,1,1,1024,1024,15344500,15625000,17377,0,0
58,1,1,1024,1024,3822100,0,17377,0,0
59,1,1,1024,1024,12952700,0,17377,0,0
60,1,1,1024,1024,16165300,0,17377,0,0
61,1,1,1024,1024,1593200,0,17377,0,0
62,1,1,1024,1024,17071600,0,17377,0,0
63,1,1,1024,1024,11419500,0,17194,0,0
64,1,1,1024,1024,17266800,0,16969,0,0
65,1,1,1024,1024,4001300,0,16969,0,0
66,1,1,1024,1024,11488800,0,16969,0,0
67,1,1,1024,1024,34886000,0,17066,0,0
68,1,1,1024,1024,34503100,15625000,17066,0,0
69,1,1,1024,1024,33291700,15625000,17066,0,0
70,1,1,1024,1024,1283300,0,16969,0,0
71,1,1,1024,1024,3660400,0,16969,0,0
72,1,1,1024,1024,11643900,0,16969,0,0
73,1,1,1024,1024,3034400,0,16969,0,0
74,1,1,1024,1024,4766900,0,16969,0,0
75,1,1,1024,1024,25446700,15625000,16969,0,0
76,1,1,1024,1024,4002100,0,16969,0,0
77,1,1,1024,1024,13203900,15625000,17066,0,0
78,1,1,1024,1024,30786900,0,17066,0,0
79,1,1,1024,1024,36721200,15625000,17066,0,0
80,1,1,1024,1024,1714800,0,16969,0,0
81,1,1,1024,1024,13493400,0,16969,0,0
82,1,1,1024,1024,32802000,15625000,17066,0,0
83,1,1,1024,1024,17350900,0,16969,0,0
84,1,1,1024,1024,17484800,0,16969,0,0
85,1,1,1024,1024,14448300,0,16969,0,0
86,1,1,1024,1024,18144300,0,16969,0,0
87,1,1,1024,1024,14135900,0,16969,0,0
88,1,1,1024,1024,2945800,0,16969,0,0
89,1,1,1024,1024,1330100,15625000,16969,0,0
90,1,1,1024,1024,13111300,0,16969,0,0
91,1,1,1024,1024,16672100,0,16969,0,0
92,1,1,1024,1024,32508100,31250000,17066,0,0
93,1,1,1024,1024,17230400,0,16969,0,0
94,1,1,1024,1024,1819400,0,16969,0,0
95,1,1,1024,1024,1625800,0,16969,0,0
96,1,1,1024,1024,14825900,0,16969,0,0
97,1,1,1024,1024,3784600,0,16969,0,0
