sample_id,private_action_type
0,AGENT
1,LLM
2,LLM
3,TOOL
4,LLM
5,NOOP
6,NOOP
7,TOOL
8,TOOL
9,LLM
10,AGENT
11,TOOL
12,NOOP
13,NOOP
14,TOOL
15,TOOL
16,LLM
17,LLM
18,NOOP
19,AGENT
20,LLM
21,LLM
22,LLM
23,TOOL
24,NOOP
25,AGENT
26,TOOL
27,TOOL
28,TOOL
29,NOOP
30,LLM
31,LLM
32,TOOL
33,LLM
34,LLM
35,NOOP
36,NOOP
37,TOOL
38,LLM
39,TOOL
40,AGENT
41,AGENT
42,TOOL
43,LLM
44,AGENT
45,TOOL
46,NOOP
47,TOOL
48,AGENT
49,LLM
50,NOOP
51,LLM
52,TOOL
53,NOOP
54,LLM
55,AGENT
56,AGENT
57,AGENT
58,TOOL
59,NOOP
60,NOOP
61,AGENT
62,TOOL
63,LLM
64,AGENT
65,TOOL
66,AGENT
67,LLM
68,LLM
69,LLM
70,NOOP
71,TOOL
72,AGENT
73,TOOL
74,TOOL
75,NOOP
76,AGENT
77,LLM
78,LLM
79,LLM
80,NOOP
81,NOOP
82,LLM
83,TOOL
84,TOOL
85,AGENT
86,TOOL
87,NOOP
88,TOOL
89,NOOP
90,NOOP
91,AGENT
92,LLM
93,NOOP
94,NOOP
95,NOOP
96,TOOL
97,AGENT
98,LLM
99,AGENT
100,AGENT
101,TOOL
102,NOOP
103,AGENT
104,AGENT
105,TOOL
106,NOOP
107,LLM
108,NOOP
109,LLM
110,LLM
111,LLM
112,LLM
113,LLM
114,AGENT
115,AGENT
116,NOOP
117,NOOP
118,AGENT
119,TOOL
120,NOOP
121,LLM
122,AGENT
123,TOOL
124,TOOL
125,NOOP
126,NOOP
127,LLM
128,NOOP
129,NOOP
130,NOOP
131,AGENT
132,AGENT
133,LLM
134,AGENT
135,LLM
136,LLM
137,AGENT
138,LLM
139,TOOL
140,NOOP
141,NOOP
142,AGENT
143,AGENT
144,LLM
145,NOOP
146,NOOP
147,TOOL
148,TOOL
149,AGENT
150,LLM
151,LLM
152,TOOL
153,LLM
154,TOOL
155,LLM
156,AGENT
157,NOOP
158,TOOL
159,AGENT
160,NOOP
161,AGENT
162,AGENT
163,AGENT
164,LLM
165,NOOP
166,LLM
167,NOOP
168,NOOP
169,LLM
170,NOOP
171,NOOP
172,TOOL
173,LLM
174,NOOP
175,NOOP
176,NOOP
177,AGENT
178,TOOL
179,AGENT
180,TOOL
181,NOOP
182,AGENT
183,NOOP
184,NOOP
185,AGENT
186,LLM
187,TOOL
188,TOOL
189,TOOL
190,AGENT
191,NOOP
192,NOOP
193,LLM
194,TOOL
195,LLM
196,TOOL
197,NOOP
198,LLM
199,NOOP
200,LLM
201,AGENT
202,TOOL
203,NOOP
204,NOOP
205,AGENT
206,AGENT
207,AGENT
208,LLM
209,NOOP
210,TOOL
211,AGENT
212,TOOL
213,AGENT
214,LLM
215,TOOL
216,NOOP
217,TOOL
218,LLM
219,TOOL
220,NOOP
221,LLM
222,TOOL
223,TOOL
224,TOOL
225,TOOL
226,LLM
227,NOOP
228,AGENT
229,LLM
230,TOOL
231,AGENT
232,NOOP
233,TOOL
234,AGENT
235,NOOP
236,AGENT
237,NOOP
238,TOOL
239,AGENT
240,TOOL
241,LLM
242,AGENT
243,NOOP
244,LLM
245,AGENT
246,NOOP
247,TOOL
248,TOOL
249,TOOL
250,TOOL
251,LLM
252,AGENT
253,TOOL
254,AGENT
255,AGENT
256,NOOP
257,AGENT
258,AGENT
259,AGENT
260,NOOP
261,AGENT
262,LLM
263,TOOL
264,LLM
265,NOOP
266,AGENT
267,AGENT
268,NOOP
269,TOOL
270,LLM
271,LLM
272,AGENT
273,AGENT
274,AGENT
275,TOOL
276,LLM
277,NOOP
278,TOOL
279,NOOP
280,TOOL
281,TOOL
282,TOOL
283,LLM
284,AGENT
285,NOOP
286,TOOL
287,NOOP
288,NOOP
289,LLM
290,NOOP
291,AGENT
292,AGENT
293,NOOP
294,AGENT
295,AGENT
296,AGENT
297,AGENT
298,LLM
299,TOOL
300,TOOL
301,TOOL
302,LLM
303,NOOP
304,NOOP
305,LLM
306,TOOL
307,NOOP
308,NOOP
309,NOOP
310,NOOP
311,TOOL
312,NOOP
313,TOOL
314,TOOL
315,AGENT
316,NOOP
317,NOOP
318,LLM
319,TOOL
320,AGENT
321,TOOL
322,TOOL
323,AGENT
324,AGENT
325,NOOP
326,AGENT
327,LLM
328,NOOP
329,AGENT
330,AGENT
331,LLM
332,TOOL
333,LLM
334,TOOL
335,LLM
336,AGENT
337,LLM
338,LLM
339,LLM
340,AGENT
341,TOOL
