seed,variant,chance_auc,structural_auc,structural_permutation_auc,timing_auc,timing_permutation_auc,size_auc,size_permutation_auc,combined_auc,combined_permutation_auc
0,M0-NATURAL,0.5,1.0,0.5025000000000001,1.0,0.49594375,1.0,0.49775,1.0,0.488075
0,M1-PER-ACTION-OBLIVIOUS,0.5,1.0,0.5025000000000001,1.0,0.4928375,1.0,0.49775,1.0,0.492325
0,M2-BOUNDED-ADAPTIVE,0.5,0.5,0.5,1.0,0.495675,0.5,0.5,1.0,0.48440625
0,M3-BOUNDED-SIZE-CADENCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,M0-NATURAL,0.5,1.0,0.5015000000000001,1.0,0.49125,1.0,0.5085000000000001,1.0,0.49423125
1,M1-PER-ACTION-OBLIVIOUS,0.5,1.0,0.5015000000000001,1.0,0.49201875,1.0,0.5085000000000001,1.0,0.4927875
1,M2-BOUNDED-ADAPTIVE,0.5,0.5,0.5,1.0,0.486325,0.5,0.5,1.0,0.4969375
1,M3-BOUNDED-SIZE-CADENCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,M0-NATURAL,0.5,1.0,0.50275,1.0,0.5088,1.0,0.496,1.0,0.5028875
2,M1-PER-ACTION-OBLIVIOUS,0.5,1.0,0.50275,1.0,0.5107875,1.0,0.496,1.0,0.5003375
2,M2-BOUNDED-ADAPTIVE,0.5,0.5,0.5,1.0,0.50765,0.5,0.5,1.0,0.4962375
2,M3-BOUNDED-SIZE-CADENCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
