runtime,family,variant,feature_set,model,seed,accuracy,auc,permutation_auc,chance,train_tasks,test_tasks
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL,LogisticRegression,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL,LogisticRegression,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL,LogisticRegression,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE,LogisticRegression,0,1.0,1.0,0.4901620370370371,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE,LogisticRegression,1,1.0,1.0,0.4805555555555555,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE,LogisticRegression,2,1.0,1.0,0.5160879629629631,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,TIMING,LogisticRegression,0,1.0,1.0,0.5003858024691359,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,TIMING,RandomForest,0,1.0,1.0,0.49413580246913574,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,TIMING,LogisticRegression,1,1.0,1.0,0.4947530864197532,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,TIMING,RandomForest,1,1.0,1.0,0.4794753086419753,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,TIMING,LogisticRegression,2,1.0,1.0,0.5270833333333333,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,TIMING,RandomForest,2,1.0,1.0,0.533912037037037,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_SIZE,LogisticRegression,0,1.0,1.0,0.48738425925925927,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_SIZE,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_SIZE,LogisticRegression,1,1.0,1.0,0.4812499999999999,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_SIZE,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_SIZE,LogisticRegression,2,1.0,1.0,0.521412037037037,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_SIZE,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_TIMING,LogisticRegression,0,1.0,1.0,0.4996913580246914,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_TIMING,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_TIMING,LogisticRegression,1,1.0,1.0,0.4908950617283951,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_TIMING,RandomForest,1,1.0,1.0,0.4831018518518519,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_TIMING,LogisticRegression,2,1.0,1.0,0.5246141975308641,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,STRUCTURAL_TIMING,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE_TIMING,LogisticRegression,0,1.0,1.0,0.49390432098765435,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE_TIMING,RandomForest,0,1.0,1.0,0.4956018518518519,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE_TIMING,LogisticRegression,1,1.0,1.0,0.4892746913580247,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE_TIMING,RandomForest,1,1.0,1.0,0.4875,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE_TIMING,LogisticRegression,2,1.0,1.0,0.5182098765432099,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,SIZE_TIMING,RandomForest,2,1.0,1.0,0.5257716049382716,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,ALL,LogisticRegression,0,1.0,1.0,0.4925154320987654,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,ALL,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,ALL,LogisticRegression,1,1.0,1.0,0.4890432098765432,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,ALL,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,ALL,LogisticRegression,2,1.0,1.0,0.5195987654320988,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M0,ALL,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,STRUCTURAL,LogisticRegression,0,1.0,1.0,0.48761574074074077,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,STRUCTURAL,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,STRUCTURAL,LogisticRegression,1,1.0,1.0,0.4842592592592593,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,STRUCTURAL,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,STRUCTURAL,LogisticRegression,2,1.0,1.0,0.5185185185185185,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,STRUCTURAL,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE,LogisticRegression,0,1.0,1.0,0.4961805555555555,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE,LogisticRegression,1,1.0,1.0,0.492824074074074,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE,LogisticRegression,2,1.0,1.0,0.5149305555555557,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,TIMING,LogisticRegression,0,1.0,1.0,0.4764660493827161,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,TIMING,RandomForest,0,1.0,1.0,0.497608024691358,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,TIMING,LogisticRegression,1,1.0,1.0,0.48742283950617277,0.5,28,12
