runtime,percentile,task_id,branch,latency_ms,deadline_overflows,wait_fraction,dummy_fraction,throughput_eps
Microsoft Agent Framework,P90,tau2-retail-10,0,28.2063,1,0.9010043855450732,0.8,35.45307254053173
Microsoft Agent Framework,P90,tau2-retail-10,1,28.1811,1,0.8727728867929215,0.6,35.484775257175905
Microsoft Agent Framework,P90,tau2-retail-11,0,28.1977,0,0.9198480727151506,0.8,35.46388535235143
Microsoft Agent Framework,P90,tau2-retail-11,1,28.1927,1,0.884643897179057,0.6,35.47017490343245
Microsoft Agent Framework,P90,tau2-retail-12,0,28.2098,1,0.8969932434827613,0.8,35.448673865110706
Microsoft Agent Framework,P90,tau2-retail-12,1,28.1812,0,0.8982442195506224,0.6,35.48464934069521
Microsoft Agent Framework,P90,tau2-retail-13,0,28.1899,1,0.9043593627504887,0.8,35.47369802659818
Microsoft Agent Framework,P90,tau2-retail-13,1,28.1895,2,0.8515475620355096,0.6,35.474201387041276
Microsoft Agent Framework,P95,tau2-retail-10,0,29.1644,0,0.9099484302780102,0.8,34.28837898259522
Microsoft Agent Framework,P95,tau2-retail-10,1,29.1526,2,0.8124215335853406,0.6,34.30225777460672
Microsoft Agent Framework,P95,tau2-retail-11,0,29.1702,0,0.9117352640708668,0.8,34.28156131942873
Microsoft Agent Framework,P95,tau2-retail-11,1,29.2372,1,0.8444071251693048,0.6,34.203001655425275
Microsoft Agent Framework,P95,tau2-retail-12,0,29.1879,1,0.8981118888306455,0.8,34.26077244337551
Microsoft Agent Framework,P95,tau2-retail-12,1,29.1421,0,0.8847646531993233,0.6,34.31461699740238
Microsoft Agent Framework,P95,tau2-retail-13,0,29.157,1,0.9074458963542202,0.8,34.2970813183798
Microsoft Agent Framework,P95,tau2-retail-13,1,29.177,0,0.8857798951228708,0.6,34.27357164890153
Microsoft Agent Framework,P99,tau2-retail-10,0,34.7946,0,0.9079224937202899,0.8,28.74009185333356
Microsoft Agent Framework,P99,tau2-retail-10,1,34.9158,0,0.885178056925518,0.6,28.640329020099784
Microsoft Agent Framework,P99,tau2-retail-11,0,34.8045,0,0.9128474766194027,0.8,28.73191684983264
Microsoft Agent Framework,P99,tau2-retail-11,1,34.8241,2,0.7460523028592267,0.6,28.715745704842334
Microsoft Agent Framework,P99,tau2-retail-12,0,34.7767,0,0.9054913203380425,0.8,28.754884736044538
Microsoft Agent Framework,P99,tau2-retail-12,1,43.5436,1,0.9199744623779385,0.6,22.965487465436944
Microsoft Agent Framework,P99,tau2-retail-13,0,35.2762,0,0.9278380324411359,0.8,28.347724528152124
Microsoft Agent Framework,P99,tau2-retail-13,1,34.8292,1,0.8253993775337934,0.6,28.711540890976536
OpenAI Agents SDK,P90,tau2-retail-10,0,50.2803,0,0.8694836745206374,0.8,19.888505040741602
OpenAI Agents SDK,P90,tau2-retail-10,1,50.2745,1,0.7915265194084476,0.6,19.890799510686332
OpenAI Agents SDK,P90,tau2-retail-11,0,50.2854,0,0.8818245454943184,0.8,19.88648792691318
OpenAI Agents SDK,P90,tau2-retail-11,1,50.3133,1,0.7227929791923805,0.6,19.875460365350712
OpenAI Agents SDK,P90,tau2-retail-12,0,50.3085,0,0.8802727173340489,0.8,19.877356709104824
OpenAI Agents SDK,P90,tau2-retail-12,1,50.2734,0,0.8052309969089021,0.6,19.891234728504536
OpenAI Agents SDK,P90,tau2-retail-13,0,50.276,1,0.8531207733312117,0.8,19.890206062534805
OpenAI Agents SDK,P90,tau2-retail-13,1,50.4097,1,0.7999313624163603,0.6,19.837451918975912
OpenAI Agents SDK,P95,tau2-retail-10,0,50.8149,0,0.874155021460241,0.8,19.67926730151983
OpenAI Agents SDK,P95,tau2-retail-10,1,50.7588,1,0.761824550619794,0.6,19.701017360536497
OpenAI Agents SDK,P95,tau2-retail-11,0,51.1325,0,0.8462504278101012,0.8,19.557033198063852
OpenAI Agents SDK,P95,tau2-retail-11,1,50.7342,1,0.7962459248396545,0.6,19.71056999026298
OpenAI Agents SDK,P95,tau2-retail-12,0,50.7546,0,0.887844648563874,0.8,19.7026476417901
OpenAI Agents SDK,P95,tau2-retail-12,1,50.7467,1,0.7957029718188572,0.6,19.705714854364917
OpenAI Agents SDK,P95,tau2-retail-13,0,50.7637,0,0.8648719458983486,0.8,19.699115706695927
OpenAI Agents SDK,P95,tau2-retail-13,1,50.7454,1,0.7486649036168795,0.6,19.706219677054474
OpenAI Agents SDK,P99,tau2-retail-10,0,59.2214,0,0.9014005072490687,0.8,16.885787907749563
OpenAI Agents SDK,P99,tau2-retail-10,1,59.0489,0,0.8230381937682159,0.6,16.935116488198762
OpenAI Agents SDK,P99,tau2-retail-11,0,59.0414,0,0.8997754118296653,0.8,16.93726774771601
OpenAI Agents SDK,P99,tau2-retail-11,1,59.2609,0,0.8108854236098338,0.6,16.87453278637348
OpenAI Agents SDK,P99,tau2-retail-12,0,59.0692,0,0.8888574756387424,0.8,16.92929648615522
OpenAI Agents SDK,P99,tau2-retail-12,1,59.0736,0,0.8237943853091736,0.6,16.928035535332196
OpenAI Agents SDK,P99,tau2-retail-13,0,59.1457,0,0.8953178337563001,0.8,16.90739986169747
OpenAI Agents SDK,P99,tau2-retail-13,1,59.1159,1,0.7855027158514037,0.6,16.91592278896202
