horizon,family,branch,task_id,natural_rounds,covered,overflow,privacy_auc,latency_ms,dummy_fraction
3,AUTHORIZATION,0,tau2-retail-0,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-1,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-2,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-5,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-6,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-7,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-8,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-9,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-10,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-11,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-12,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-13,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-14,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-16,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-17,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-18,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-19,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-22,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-23,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,tau2-retail-26,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,agentdojo-workspace-UserTask6,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,agentdojo-workspace-UserTask7,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,agentdojo-workspace-UserTask8,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,agentdojo-workspace-UserTask9,3,True,False,1.0,29.0,0.0
3,AUTHORIZATION,0,agentdojo-workspace-UserTask12,3,True,False,1.0,29.0,0.0
