logical_records,seed,mean_access_us,p95_access_us,physical_bytes_per_access,max_stash_blocks,mean_stash_blocks,trusted_client_bytes
256,0,23.9734375,35.1,36864,0,0,1056
256,1,26.853125,40.0,36864,0,0,1056
256,2,25.0109375,42.1,36864,0,0,1056
1024,0,42.5515625,66.8,45056,0,0,4128
1024,1,41.7171875,66.6,45056,0,0,4128
1024,2,38.1984375,69.0,45056,0,0,4128
4096,0,58.0328125,89.6,53248,0,0,16416
4096,1,69.44375,146.0,53248,2,0.078125,16544
4096,2,61.584375,101.5,53248,2,0.046875,16544
16384,0,77.7859375,126.7,61440,0,0,65568
16384,1,85.128125,135.8,61440,0,0,65568
16384,2,83.0203125,142.9,61440,1,0.015625,65632
