run_id,task_id,family,branch,variant,runtime
r1-0-AUTHORIZATION-0-0-M0,tau2-retail-0,AUTHORIZATION,0,M0,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-0-M1,tau2-retail-0,AUTHORIZATION,0,M1,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-0-M2,tau2-retail-0,AUTHORIZATION,0,M2,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-0-M3,tau2-retail-0,AUTHORIZATION,0,M3,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-1-M0,tau2-retail-0,AUTHORIZATION,0,M0,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-1-M1,tau2-retail-0,AUTHORIZATION,0,M1,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-1-M2,tau2-retail-0,AUTHORIZATION,0,M2,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-1-M3,tau2-retail-0,AUTHORIZATION,0,M3,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-2-M0,tau2-retail-0,AUTHORIZATION,0,M0,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-2-M1,tau2-retail-0,AUTHORIZATION,0,M1,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-2-M2,tau2-retail-0,AUTHORIZATION,0,M2,Microsoft Agent Framework
r1-0-AUTHORIZATION-0-2-M3,tau2-retail-0,AUTHORIZATION,0,M3,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-0-M0,tau2-retail-0,AUTHORIZATION,1,M0,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-0-M1,tau2-retail-0,AUTHORIZATION,1,M1,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-0-M2,tau2-retail-0,AUTHORIZATION,1,M2,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-0-M3,tau2-retail-0,AUTHORIZATION,1,M3,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-1-M0,tau2-retail-0,AUTHORIZATION,1,M0,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-1-M1,tau2-retail-0,AUTHORIZATION,1,M1,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-1-M2,tau2-retail-0,AUTHORIZATION,1,M2,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-1-M3,tau2-retail-0,AUTHORIZATION,1,M3,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-2-M0,tau2-retail-0,AUTHORIZATION,1,M0,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-2-M1,tau2-retail-0,AUTHORIZATION,1,M1,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-2-M2,tau2-retail-0,AUTHORIZATION,1,M2,Microsoft Agent Framework
r1-0-AUTHORIZATION-1-2-M3,tau2-retail-0,AUTHORIZATION,1,M3,Microsoft Agent Framework
r1-0-PROVENANCE_HISTORY-0-0-M0,tau2-retail-0,PROVENANCE_HISTORY,0,M0,Microsoft Agent Framework
r1-0-PROVENANCE_HISTORY-0-0-M1,tau2-retail-0,PROVENANCE_HISTORY,0,M1,Microsoft Agent Framework
