runtime,mode,task_id,branch,wire_bytes,size_sequence
Microsoft Agent Framework,NONE,tau2-retail-14,0,124947,"[8192, 8192, 8192, 547, 200, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 264]"
Microsoft Agent Framework,NONE,tau2-retail-14,1,125714,"[8192, 8192, 8192, 1031, 200, 8192, 8192, 8192, 547, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 264]"
Microsoft Agent Framework,NONE,tau2-retail-16,0,124947,"[8192, 8192, 8192, 547, 200, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 264]"
Microsoft Agent Framework,NONE,tau2-retail-16,1,125714,"[8192, 8192, 8192, 1031, 200, 8192, 8192, 8192, 547, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 264]"
Microsoft Agent Framework,NONE,tau2-retail-17,0,124947,"[8192, 8192, 8192, 547, 200, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 264]"
Microsoft Agent Framework,NONE,tau2-retail-17,1,125920,"[8192, 8192, 8192, 1237, 200, 8192, 8192, 8192, 547, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 264]"
Microsoft Agent Framework,NONE,tau2-retail-18,0,124947,"[8192, 8192, 8192, 547, 200, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 264]"
Microsoft Agent Framework,NONE,tau2-retail-18,1,125816,"[8192, 8192, 8192, 1133, 200, 8192, 8192, 8192, 547, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 8192, 8192, 8192, 264, 264]"
Microsoft Agent Framework,FIXED,tau2-retail-14,0,237568,"[8192, 8192, 8192, 16384, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 16384]"
Microsoft Agent Framework,FIXED,tau2-retail-14,1,237568,"[8192, 8192, 8192, 16384, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 16384]"
Microsoft Agent Framework,FIXED,tau2-retail-16,0,237568,"[8192, 8192, 8192, 16384, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 16384]"
Microsoft Agent Framework,FIXED,tau2-retail-16,1,237568,"[8192, 8192, 8192, 16384, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 16384]"
Microsoft Agent Framework,FIXED,tau2-retail-17,0,237568,"[8192, 8192, 8192, 16384, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 16384]"
Microsoft Agent Framework,FIXED,tau2-retail-17,1,237568,"[8192, 8192, 8192, 16384, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 16384]"
Microsoft Agent Framework,FIXED,tau2-retail-18,0,237568,"[8192, 8192, 8192, 16384, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 16384]"
Microsoft Agent Framework,FIXED,tau2-retail-18,1,237568,"[8192, 8192, 8192, 16384, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 8192, 8192, 8192, 16384, 16384]"
Microsoft Agent Framework,BUCKET,tau2-retail-14,0,126976,"[8192, 8192, 8192, 1024, 512, 8192, 8192, 8192, 512, 8192, 8192, 8192, 512, 8192, 8192, 8192, 512, 8192, 8192, 8192, 512, 512]"
Microsoft Agent Framework,BUCKET,tau2-retail-14,1,128512,"[8192, 8192, 8192, 2048, 512, 8192, 8192, 8192, 1024, 8192, 8192, 8192, 512, 8192, 8192, 8192, 512, 8192, 8192, 8192, 512, 512]"
Microsoft Agent Framework,BUCKET,tau2-retail-16,0,126976,"[8192, 8192, 8192, 1024, 512, 8192, 8192, 8192, 512, 8192, 8192, 8192, 512, 8192, 8192, 8192, 512, 8192, 8192, 8192, 512, 512]"
