task_id,variant,task_success,tool_call_correct,final_state_correct,agent_tool_steps,latency_us,overflow,pass_k
tau2-retail-0,BASELINE,True,True,True,5,18.8,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-0,M3,True,True,True,5,36.5,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-1,BASELINE,True,True,True,5,3.0,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-1,M3,True,True,True,5,9.6,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-2,BASELINE,True,True,True,11,1.9,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-2,M3,True,True,True,11,6.3,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-5,BASELINE,True,True,True,5,1.4,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-5,M3,True,True,True,5,4.6,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-6,BASELINE,True,True,True,6,1.5,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-6,M3,True,True,True,6,4.8,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-7,BASELINE,True,True,True,6,1.4,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-7,M3,True,True,True,6,4.6,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-8,BASELINE,True,True,True,6,1.5,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-8,M3,True,True,True,6,4.3,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-9,BASELINE,True,True,True,6,1.6,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-9,M3,True,True,True,6,4.2,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-10,BASELINE,True,True,True,5,1.4,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-10,M3,True,True,True,5,3.9,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-11,BASELINE,True,True,True,6,1.3,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-11,M3,True,True,True,6,4.1,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-12,BASELINE,True,True,True,5,1.3,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-12,M3,True,True,True,5,3.7,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-13,BASELINE,True,True,True,5,1.2,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-13,M3,True,True,True,5,4.4,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-14,BASELINE,True,True,True,6,1.2,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-14,M3,True,True,True,6,4.1,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-16,BASELINE,True,True,True,9,1.4,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-16,M3,True,True,True,9,3.9,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-17,BASELINE,True,True,True,6,2.3,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-17,M3,True,True,True,6,6.0,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-18,BASELINE,True,True,True,5,1.7,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-18,M3,True,True,True,5,4.5,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-19,BASELINE,True,True,True,7,1.3,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-19,M3,True,True,True,7,4.0,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-22,BASELINE,True,True,True,7,1.9,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-22,M3,True,True,True,7,5.3,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-23,BASELINE,True,True,True,12,1.6,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-23,M3,True,True,True,12,4.5,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-26,BASELINE,True,True,True,8,1.3,False,NOT_APPLICABLE_DETERMINISTIC
tau2-retail-26,M3,True,True,True,8,3.5,False,NOT_APPLICABLE_DETERMINISTIC
